pattern,object,id,site,type,symbol,cult,shape,material,condition,text,text_len,pattern_pos,before_pattern,after_pattern,closed_clean,strict_source_visible,permissive_public_panel,normalized_source_grade,normalized_source_route,broad_register_cell,fine_register_cell,edge_frame,in_002390x_frame
frame_002390095,H-1993,744.2,Harappa,TAB:B,None,None,rectangular,Clay,Poor,+740-000-220-004-002-390-095+,7,4,004,<END>,True,False,False,source_dark,harappa_route_unresolved_not_public_cisi,Harappa|TAB:B|rectangular|Clay,Harappa|TAB:B|None|None|rectangular|Clay,004|002-390-095|<END>,False
tail_125_632032,M-1692,2226.1,Mohenjo-daro,SEAL:S,Bull1:L,SAN,square,Steatite,Good,+390-600-617-002-190-125-632-032+,8,5,190,<END>,True,False,False,not_source_normalized,,Mohenjo-daro|SEAL:S|square|Steatite,Mohenjo-daro|SEAL:S|Bull1:L|SAN|square|Steatite,190|125-632-032|<END>,False
prev235_002390125,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,Good,+740-690-435-255-220-032-240-235-002-390-125-632-032+,13,7,240,632,True,False,False,weak_public_context_not_token_boxable,public_context_low_readability_cisi_india_n055,Mohenjo-daro|SEAL:S|square|Steatite,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|Steatite,240|235-002-390-125|632,False
tail_125_632032,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,Good,+740-690-435-255-220-032-240-235-002-390-125-632-032+,13,10,390,<END>,True,False,False,weak_public_context_not_token_boxable,public_context_low_readability_cisi_india_n055,Mohenjo-daro|SEAL:S|square|Steatite,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|Steatite,390|125-632-032|<END>,True
frame_002390125,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,Good,+740-690-435-255-220-032-240-235-002-390-125-632-032+,13,8,235,632,True,False,False,weak_public_context_not_token_boxable,public_context_low_readability_cisi_india_n055,Mohenjo-daro|SEAL:S|square|Steatite,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|Steatite,235|002-390-125|632,False
frame_002390692,M-70,2598.1,Mohenjo-daro,SEAL:S,Bull1:T,SAF,square,Steatite,Poor,+226-032-002-390-692+,5,2,032,<END>,True,True,True,strict_source_visible_non125_control,public_source_visible_cisi_india_n066,Mohenjo-daro|SEAL:S|square|Steatite,Mohenjo-daro|SEAL:S|Bull1:T|SAF|square|Steatite,032|002-390-692|<END>,False
frame_002390095,M-71,2599.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,Good,+151-279-142-002-390-095+,6,3,142,<END>,True,True,True,strict_source_visible_non125_comparator,public_source_visible_cisi_india_n066,Mohenjo-daro|SEAL:S|square|Steatite,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|Steatite,142|002-390-095|<END>,False
tail_125_632032,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,Good,+151-337-484-002-390-125-632-032-900-563+,10,5,390,900,True,True,True,strict_source_visible_125_candidate,public_source_visible_cisi_india_n076,Mohenjo-daro|SEAL:S|square|Steatite,Mohenjo-daro|SEAL:S|Bull1:S|SAN|square|Steatite,390|125-632-032|900,True
frame_002390125,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,Good,+151-337-484-002-390-125-632-032-900-563+,10,3,484,632,True,True,True,strict_source_visible_125_candidate,public_source_visible_cisi_india_n076,Mohenjo-daro|SEAL:S|square|Steatite,Mohenjo-daro|SEAL:S|Bull1:S|SAN|square|Steatite,484|002-390-125|632,False
prev235_002390125,M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,square,Steatite,Poor,+740-760-235-002-390-125-195+,7,2,760,195,True,True,True,strict_source_visible_125_candidate,public_source_visible_cisi_pakistan_n086,Mohenjo-daro|SEAL:S|square|Steatite,Mohenjo-daro|SEAL:S|Bull1:U|HAF|square|Steatite,760|235-002-390-125|195,False
frame_002390125,M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,square,Steatite,Poor,+740-760-235-002-390-125-195+,7,3,235,195,True,True,True,strict_source_visible_125_candidate,public_source_visible_cisi_pakistan_n086,Mohenjo-daro|SEAL:S|square|Steatite,Mohenjo-daro|SEAL:S|Bull1:U|HAF|square|Steatite,235|002-390-125|195,False
