index,textnum,dockey,sideline,locus,level,inscobj,fs80,dir,posnum,signnum,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,strict,exclusion_reasons
0,1001,1001,1,17,-3,1,351,1,5,4,0,67,72,8,342,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1,1001,1001,2,17,-3,1,351,3,1,1,393,,,,,,,,,,,,,,1,
2,1002,1002,0,28,-4,1,13,1,3,2,*373,244,0,,,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
3,1003,1003,0,20,-2,1,13,1,9,9,*086,55,267,99,121,72,336,89,211,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
4,1004,1004,0,16,-3,1,13,1,7,7,59,127,245,343,75,245,245,,,,,,,,1,
5,1005,1005,0,17,-7,1,13,1,2,2,296,342,,,,,,,,,,,,,1,
6,1006,1006,0,16,-2,1,11,1,11,11,233,81,99,389,65,336,89,87,155,124,169,,,,1,
7,1007,1007,0,17,-3,1,13,1,2,2,*109,162,,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
8,1008,1008,0,16,-3,1,13,1,8,8,76,402,87,59,67,336,89,211,,,,,,,1,
9,1010,1010,0,17,-3,1,13,1,6,6,391,99,48,171,8,342,,,,,,,,,1,
10,1011,1011,0,25,-5,1,13,1,9,9,267,99,67,296,9,342,17,407,169,,,,,,1,
11,1012,1012,1,25,-2,1,13,1,10,10,150,123,51,130,149,342,150,123,387,342,,,,,1,
12,1012,1012,2,25,-2,1,13,1,3,3,28,400,404,,,,,,,,,,,,1,
13,1013,1013,0,16,-3,1,13,1,4,4,51,130,149,342,,,,,,,,,,,1,
14,1014,1014,0,25,-3,1,11,1,7,7,267,99,87,59,67,194,342,,,,,,,,1,
15,1015,1015,0,20,-2,1,13,1,3,3,197,28,54,,,,,,,,,,,,1,
16,1016,1016,1,20,-3,1,13,1,6,6,245,245,345,65,158,*169,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
17,1016,1016,2,20,-3,1,13,3,1,1,393,,,,,,,,,,,,,,1,
18,1017,1017,0,17,-3,1,13,1,8,7,221,127,345,53,171,59,*397,0,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
19,1018,1018,10,17,-2,1,0,3,1,1,336,,,,,,,,,,,,,,1,
20,1018,1018,20,17,-2,1,13,1,4,4,17,336,189,252,,,,,,,,,,,1,
21,1019,1019,0,20,-5,1,13,1,5,5,267,99,104,59,211,,,,,,,,,,1,
22,1020,1020,0,5,-5,1,11,1,8,7,175,230,343,336,0,194,48,342,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
23,1021,1021,0,22,-4,1,13,1,9,9,293,123,345,65,67,51,130,149,342,,,,,,1,
24,1022,1022,0,15,0,1,13,1,5,5,267,99,204,367,342,,,,,,,,,,1,
25,1023,1023,0,17,-9,1,13,1,8,8,*267,*099,53,87,59,48,294,342,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
26,1024,1024,0,20,-6,1,13,1,7,7,293,123,343,72,65,8,342,,,,,,,,1,
27,1025,1025,0,25,-2,1,13,1,2,2,112,169,,,,,,,,,,,,,1,
28,1026,1026,0,4,-9,1,11,1,7,7,87,197,87,99,336,347,342,,,,,,,,1,
29,1027,1027,0,20,-5,1,11,1,8,7,0,*216,*123,51,130,342,48,342,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
30,1028,1028,0,24,-4,1,11,1,6,6,86,381,99,48,8,342,,,,,,,,,1,
31,1029,1029,0,17,-5,1,13,1,5,5,293,123,344,102,402,,,,,,,,,,1,
32,1030,1030,0,16,0,1,13,1,6,6,336,89,211,97,86,15,,,,,,,,,1,
33,1031,1031,0,17,-5,1,11,1,5,5,*238,267,99,104,169,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
34,1032,1032,0,17,-5,1,13,1,7,7,267,99,153,153,171,59,211,,,,,,,,1,
35,1033,1033,0,16,-7,1,13,1,7,7,223,149,180,99,72,219,342,,,,,,,,1,
36,1034,1034,0,25,-3,1,11,1,3,2,0,244,342,,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
37,1035,1035,0,18,-5,1,13,1,5,5,219,381,99,109,162,,,,,,,,,,1,
38,1036,1036,0,29,-6,1,13,1,5,5,76,402,68,287,267,,,,,,,,,,1,
39,1037,1037,0,25,-1,1,13,1,4,4,409,96,19,391,,,,,,,,,,,1,
40,1038,1038,0,20,-3,1,13,1,3,3,244,17,336,,,,,,,,,,,,1,
41,1039,1039,0,20,-2,1,13,1,6,5,267,99,100,155,*102,0,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
42,1040,1040,0,26,-4,1,13,1,4,4,65,249,169,342,,,,,,,,,,,1,
43,1041,1041,0,20,-4,1,13,1,6,6,293,123,343,102,59,211,,,,,,,,,1,
44,1042,1042,0,17,-2,1,13,1,7,7,34,99,72,325,296,87,342,,,,,,,,1,
45,1043,1043,0,25,-5,1,13,1,3,3,27,297,12,,,,,,,,,,,,1,
46,1044,1044,0,24,-2,1,13,1,3,3,65,53,342,,,,,,,,,,,,1,
47,1045,1045,0,25,-3,1,13,1,2,2,387,14,,,,,,,,,,,,,1,
48,1046,1046,0,24,-4,1,13,1,3,3,311,211,176,,,,,,,,,,,,1,
49,1047,1047,0,22,-6,1,13,1,10,9,54,237,175,180,99,87,59,67,216,0,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
50,1048,1048,0,18,-3,1,13,1,5,5,150,162,100,87,60,,,,,,,,,,1,
51,1049,1049,0,25,-2,1,13,1,10,10,387,206,252,99,67,375,51,155,347,342,,,,,1,
52,1050,1050,0,17,-6,1,13,1,7,7,409,96,19,99,171,8,342,,,,,,,,1,
53,1051,1051,0,17,-6,1,13,1,5,5,106,178,254,99,163,,,,,,,,,,1,
54,1052,1052,1,17,-3,1,13,1,7,7,175,*181,400,99,65,249,162,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
55,1052,1052,2,17,-3,1,13,3,1,1,342,,,,,,,,,,,,,,1,
56,1053,1053,0,16,-3,1,13,1,4,4,67,72,342,139,,,,,,,,,,,1,
57,1054,1054,0,20,-5,1,13,1,8,8,253,230,89,89,267,99,106,169,,,,,,,1,
58,1055,1055,0,24,-5,1,13,1,3,3,86,397,169,,,,,,,,,,,,1,
59,1056,1056,0,1,0,1,13,1,5,5,249,336,75,245,245,,,,,,,,,,1,
60,1057,1057,0,2,-9,1,13,1,5,5,267,99,65,342,*139,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
