"corpus","system_class","sequence_id","description","document_type","region","class_or_group","length","duplicate_weight","tokens","source_ids"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00001","Aberlemno 1","PictishStone","Angus","I","5","1","Serpent | Double-Disc | Z | Mirror | Comb","Pictish_stones_00001"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00002","Aberlemno 2","PictishStone","Angus","II","3","1","Divided-Rectangle | Z | Triple-Disc","Pictish_stones_00002"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00003","Aberlemno 3","PictishStone","Angus","II","5","1","Crescent | V | Double-Disc | Z | Centaur","Pictish_stones_00003"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00004","Aberlemno 4","PictishStone","Angus","IV","2","1","Crescent | Beast","Pictish_stones_00004"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00005","Aberlemno 5, Flemington Farm","PictishStone","Angus","I","2","3","Horseshoe | Beast","Pictish_stones_00005|Pictish_stones_00033|Pictish_stones_00052"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00006","Abernethy","PictishStone","Perthshire and Kinross","I","5","1","Hammer | Tuning-Fork | Anvil | Crescent | V","Pictish_stones_00006"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00007","Ackergill 1, Keiss Bay","PictishStone","Highland Caithness","I","2","1","Salmon | Rectangle","Pictish_stones_00007"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00008","Advie","PictishStone","Highland Badenoch and Strathspey","I","3","1","Crescent | V | Mirror-Case","Pictish_stones_00009"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00009","Alyth","PictishStone","Perthshire and Kinross","II","2","12","Double-Disc | Z","Pictish_stones_00010|Pictish_stones_00044|Pictish_stones_00075|Pictish_stones_00087|Pictish_stones_00099|Pictish_stones_00120|Pictish_stones_00133|Pictish_stones_00151|Pictish_stones_00245|Pictish_stones_00248|Pictish_stones_00254|Pictish_stones_00276"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00010","Anwoth, Trusty's Hill","PictishStone","Dumfries and Galloway","I","4","1","Double-Disc | Z | Sword | Fish-Monster","Pictish_stones_00011"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00011","Ardiachie","PictishStone","Aberdeenshire","I","3","1","Wheel | Disc | Step","Pictish_stones_00013"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00012","Ardliar, Kennethmont","PictishStone","Highland Ross and Cromarty","I","3","1","Beast | Tuning-Fork | Mirror","Pictish_stones_00014"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00013","Arndilly","PictishStone","Angus","I","3","1","Mirror-Case | Notched-Rectangle | Z","Pictish_stones_00017"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00014","Baggerton","PictishStone","Angus","IV","3","1","Serpent | Z | Sceptre","Pictish_stones_00018"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00015","Balblair, Monjack, Kilmorack","PictishStone","Highland Inverness","IV","3","1","Man | Cub | Cupmarks","Pictish_stones_00019"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00016","Ballintomb","PictishStone","Highland Badenoch and Strathspey","I","4","1","Crescent | V | Divided-Rectangle | Z","Pictish_stones_00020"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00017","Balluderon, St. Martin's Stone","PictishStone","Angus","II","4","1","Beast | Horseman | Serpent | Z","Pictish_stones_00021"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00018","Balneilan, Balnalon","PictishStone","Moray","I","2","1","Disc | Disc","Pictish_stones_00022"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00019","Benbecula, Strome Shunamal","PictishStone","Western Isles","I","3","1","Rectangle | Disc | Triple-Disc","Pictish_stones_00023"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00020","Benvie Church","PictishStone","Angus","IV","2","2","Horseman | Horseman","Pictish_stones_00024|Pictish_stones_00152"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00021","Birnie","PictishStone","Moray","I","3","2","Eagle | Notched-Rectangle | Z","Pictish_stones_00025|Pictish_stones_00271"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00022","Birse","PictishStone","Aberdeenshire","I","2","1","Beast | Comb","Pictish_stones_00026"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00023","Bourtie","PictishStone","Aberdeenshire","I","6","2","Crescent | V | Double-Disc | Z | Mirror | Comb","Pictish_stones_00027|Pictish_stones_00268"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00024","Brandsbutt, Inverurie","PictishStone","Aberdeenshire","I","4","1","Crescent | V | Serpent | Z","Pictish_stones_00028"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00025","Breck of Hillwell","PictishStone","Shetland","I","2","1","Crescent | Rectangle","Pictish_stones_00029"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00026","Broch of Burrian Bone","PictishStone","Orkney","IV","4","1","Crescent | V | Disc | Notched-Rectangle","Pictish_stones_00030"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00027","Brodie, Rodney's Stone","PictishStone","Orkney","II","4","1","Beast | Beast | Double-Disc | Z","Pictish_stones_00031"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00028","Brough of Birsay","PictishStone","Moray","I","8","1","Mirror-Case | Crescent | V | Beast | Eagle | Warrior | Warrior | Warrior","Pictish_stones_00032"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00029","Burghead 1","PictishStone","Moray","I","2","1","Bull | Findspot","Pictish_stones_00035"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00030","Burrian, Knowe of Burrian","PictishStone","Orkney","I","4","1","Eagle | Crescent | V | Mirror","Pictish_stones_00041"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00031","Cargill","PictishStone","Perthshire and Kinross","I","3","1","Rectangle | Line | Rectangle","Pictish_stones_00042"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00032","Clatt 1","PictishStone","Aberdeenshire","I","5","1","Triple-Disc | Bar | Double-Disc | Z | Mirror","Pictish_stones_00043"
