"term","role","page","page_file","crop_file","xml_coords","crop_x","crop_y","crop_w","crop_h"
"M-49","target_noncore_hit1","India_0058","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\india_n058_w2000.jpg","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M49_target_noncore_hit1_india_0058_label_context.png","749,3271,831,3242,3271","265","2554","1050","900"
"M-49","target_noncore_hit2","India_0058","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\india_n058_w2000.jpg","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M49_target_noncore_hit2_india_0058_label_context.png","1853,3264,1936,3235,3264","1343","2554","1050","900"
"M-21","outside_861_hit1","India_0048","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\india_n048_w2000.jpg","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M21_outside_861_hit1_india_0048_label_context.png","495,3278,573,3249,3278","9","2558","1050","900"
"M-21","outside_861_hit2","India_0048","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\india_n048_w2000.jpg","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M21_outside_861_hit2_india_0048_label_context.png","1761,3272,1839,3242,3272","1275","2558","1050","900"
"M-174","non240_820_hit1","India_0402","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\india_n402_w2000.jpg","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M174_non240_820_hit1_india_0402_label_context.png","133,2813,204,2791,2812","0","2208","1050","900"
"M-174","non240_820_hit2","India_0403","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\india_n403_w2000.jpg","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M174_non240_820_hit2_india_0403_label_context.png","1399,912,1471,890,912","910","307","1050","900"
"M-221","non240_820","India_0026","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\india_n026_w2000.jpg","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M221_non240_820_india_0026_label_context.png","815,737,944,700,737","354","124","1050","900"
"M-375","non240_820_hit1","India_0128","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\india_n128_w2000.jpg","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M375_non240_820_hit1_india_0128_label_context.png","1105,2764,1207,2735,2764","631","2156","1050","900"
"M-375","non240_820_hit2","India_0128","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\india_n128_w2000.jpg","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M375_non240_820_hit2_india_0128_label_context.png","1113,3247,1215,3215,3247","639","2574","1050","900"
"H-597","outside_861","Pakistan_0331","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\pakistan_page_332-332.png","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H597_outside_861_pakistan_0331_label_context.png","2454,2043,2586,2003,2043","1365","923","1050","900"
