run_id,arm,corpus,model,seed,initialization,parameter_count,optimizer_steps,masked_positions_seen,total_records,train_records,train_tokens,null_attrition_fraction,test_records,test_positions,masked_nll,masked_perplexity,masked_top1,masked_top5,multiclass_brier,stored_order_win_share,authentic_corruption_win_share,elapsed_seconds
ivc__micro__seed20260712,ivc,ivc,micro,20260712,random_initialization,886850,900,358400,1796,663,3611,0.0,994,739,4.2355413578843875,69.09907593953244,0.2449255751014885,0.41948579161028415,0.8757428077625486,0.8985507246376812,0.8913043478260869,121.919003678
ivc__micro__seed20260713,ivc,ivc,micro,20260713,random_initialization,886850,900,361345,1796,661,3657,0.0,999,751,3.9448351904491927,51.667822059818064,0.2769640479360852,0.4766977363515313,0.8488605565300953,0.9305555555555556,0.9097222222222222,115.43936378599994
ivc__micro__seed20260714,ivc,ivc,micro,20260714,random_initialization,886850,900,358542,1796,663,3603,0.0,993,768,4.101715882619222,60.44391332745868,0.2526041666666667,0.4427083333333333,0.8686059912045797,0.8695652173913043,0.8478260869565217,115.27077239799996
ivc__micro__seed20260715,ivc,ivc,micro,20260715,random_initialization,886850,900,361948,1796,665,3646,0.0,991,712,3.8867603259140187,48.75268758700102,0.28230337078651685,0.4747191011235955,0.8439211684666322,0.9338235294117647,0.8970588235294118,118.57601461100012
ivc__micro__seed20260716,ivc,ivc,micro,20260716,random_initialization,886850,900,361846,1796,663,3646,0.0,994,775,4.413683771933279,82.5730843364255,0.21548387096774194,0.4180645161290323,0.9137732979559129,0.841726618705036,0.8848920863309353,115.51241534500014
pretrain_known_writing__micro__seed20260712,pretrain_known_writing,known_writing,micro,20260712,random_initialization,859373,1000,294740,662,186,849,0.0,96,508,5.01014769546629,149.92687803403905,0.05708661417322835,0.1732283464566929,0.9830880352831263,0.7708333333333334,0.5625,188.420290257
ivc_transfer_known_writing__micro__seed20260712,ivc_transfer_known_writing,ivc,micro,20260712,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,358400,1796,663,3611,0.0,994,739,4.144568498789538,63.09039244668686,0.2598105548037889,0.4370771312584574,0.859931068265551,0.8913043478260869,0.8768115942028986,144.915039674
pretrain_nonwriting__micro__seed20260712,pretrain_nonwriting,nonwriting,micro,20260712,random_initialization,853310,1000,294740,593,186,849,0.0,88,417,3.294785094775742,26.97161710560049,0.17026378896882494,0.5539568345323741,0.9049621874765812,0.5487804878048781,0.5975609756097561,162.22943992300003
ivc_transfer_nonwriting__micro__seed20260712,ivc_transfer_nonwriting,ivc,micro,20260712,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,358400,1796,663,3611,0.0,994,739,4.1550155866775205,63.75295823686976,0.2557510148849797,0.4397834912043302,0.8553205394615824,0.8985507246376812,0.8695652173913043,144.93904993300004
pretrain_ivc_position_slot_shuffle__micro__seed20260712,pretrain_ivc_position_slot_shuffle,ivc_position_slot_shuffle,micro,20260712,random_initialization,866081,1000,294740,663,186,849,0.0,98,520,4.975596163823054,144.8351448889606,0.10961538461538461,0.21923076923076923,0.9649350991615883,0.8571428571428571,0.7857142857142857,173.36820810300003
