date,path,source_file,width,height,box,sha256,note
2026-05-25,tmp/m315_cisi1/derived/m315_page78_header_context.png,tmp/m315_cisi1/n113_w2000.jpg,2438,420,"[0, 0, 2438, 420]",609e994fa96eaaf282c27f90f767c2cc2b03702bfef309a23ba7b93006f57517,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_page78_header_context_gray_autocontrast.png,tmp/m315_cisi1/n113_w2000.jpg,2438,420,"[0, 0, 2438, 420]",4f607cd3933a90745fdb9f71f4b5aab9777ec30e17b1df3d4a65a0134f679fbd,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_upper_face_full_with_label.png,tmp/m315_cisi1/n113_w2000.jpg,795,770,"[1540, 190, 2335, 960]",dedc3243cb98ea1caecb0b10b5c24a400d5d915660fc252bc657ca11c177adf0,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_upper_face_full_with_label_gray_autocontrast.png,tmp/m315_cisi1/n113_w2000.jpg,795,770,"[1540, 190, 2335, 960]",506b0f682157a0924c5e6e597efe3fc0dd8439978f8ea06af1f0817a46ab05aa,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_lower_impression_full_with_label.png,tmp/m315_cisi1/n113_w2000.jpg,805,865,"[1540, 1020, 2345, 1885]",03c9dbe7da829818b4634c72d227280a350a23f6438e848ddbfcd13dd04aa4db,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_lower_impression_full_with_label_gray_autocontrast.png,tmp/m315_cisi1/n113_w2000.jpg,805,865,"[1540, 1020, 2345, 1885]",6ca5eb1c17a8e13ba6568b1797a8e1ebe43741a8fcd210379a39e1599a3bb40c,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_upper_face_signs_close.png,tmp/m315_cisi1/n113_w2000.jpg,705,400,"[1600, 290, 2305, 690]",2bdb16c693a9b710d78d99004e2e912667de036148cc538125eef1887dae8c00,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_upper_face_signs_close_gray_autocontrast.png,tmp/m315_cisi1/n113_w2000.jpg,705,400,"[1600, 290, 2305, 690]",6a5eae779f44d1d366e7d1d9c87657c5f6bc3e5f2b8f91f5cc4a40e1581284b4,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_lower_impression_signs_close.png,tmp/m315_cisi1/n113_w2000.jpg,715,395,"[1600, 1150, 2315, 1545]",8332f5eb22e99e93cf574da4903240d8eb1a0f1e1f1f4055f789ab2f766dcef7,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_lower_impression_signs_close_gray_autocontrast.png,tmp/m315_cisi1/n113_w2000.jpg,715,395,"[1600, 1150, 2315, 1545]",253bb9a7589bc3bf380f1a9161e95bd750a7d51ba6b0f92e863d462e66290d86,M-315 source crop or provenance overlay
