checked_date,object,row_id,site,type,shape,material,head,x,tail_after_x,tail_family,open,predicted_class,prediction_pass,text
2026-05-31,H-1993,744.2,Harappa,TAB:B,rectangular,Clay,390,095,<END>,<END>,false,terminal_label_close,true,+740-000-220-004-002-390-095+
2026-05-31,H-68,1127.1,Harappa,SEAL:S,square,Steatite,390,072,<END>,<END>,false,terminal_bait_close,true,+090-740-220-003-002-390-072+
2026-05-31,H-773,1665.1,Harappa,TAB:B,plano-convex,Faience,390,530,741,741,true,one_complement_open,true,+740-798-803-002-390-530-741+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,square,Steatite,390,125,632 032,632-032_family,true,tail_menu_open,true,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,square,Steatite,390,692,<END>,<END>,false,raw_boundary_bait,null,+226-032-002-390-692+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,square,Steatite,390,095,<END>,<END>,false,terminal_label_close,true,+151-279-142-002-390-095+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,square,Steatite,390,125,632 032 900 563,632-032_family,true,tail_menu_open,true,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-213,2737.1,Mohenjo-daro,SEAL:S,square,Steatite,390,346,<END>,<END>,false,terminal_bait_close,true,+740-384-002-390-346+
2026-05-31,M-232,2756.1,Mohenjo-daro,SEAL:S,square,Steatite,390,707,<END>,<END>,false,terminal_bait_close,true,+236-002-390-707+
2026-05-31,M-708,3134.1,Mohenjo-daro,SEAL:S,square,Steatite,390,140,<END>,<END>,false,terminal_bait_close,true,+740-061-002-390-140+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,square,Steatite,390,125,195,195,true,tail_menu_open,true,+740-760-235-002-390-125-195+
2026-05-31,-:3335.1,3335.1,Unknown,SEAL:S,square,-,390,590,032,032_family,true,open_extender,true,+740-205-032-002-390-590-032+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,square,-,390,125,820,820_cap,true,tail_menu_open,true,+390-004-002-390-125-820+
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,square,-,390,705,<END>,<END>,false,terminal_default_close,true,+157-031-002-390-705+
2026-05-31,-:4237.1,4237.1,Dholavira,SEAL:S,square,-,390,705,<END>,<END>,false,terminal_default_close,true,+151-032-388-002-390-705+
