pool,sign,occurrences,initial,initial_share,background_initial,background_occurrences,fisher_p,bonferroni_p
tablet_account_rows_only,400,190,178,0.9368421052631579,587,2478,2.7584008400369705e-87,8.44070657051313e-85
tablet_account_rows_only,740,307,154,0.501628664495114,611,2361,1.980174532259332e-17,6.059334068713556e-15
tablet_account_rows_only,700,54,33,0.6111111111111112,732,2614,5.367751368967206e-7,0.0001642531918903965
tablet_account_rows_only,520,27,17,0.6296296296296297,748,2641,0.000203270647048024,0.06220081799669534
tablet_account_rows_only,090,32,19,0.59375,746,2636,0.00025916498835895825,0.07930448643784123
tablet_account_rows_only,868,5,5,1,760,2663,0.0019200765337881575,0.5875434193391762
tablet_account_rows_only,869,5,5,1,760,2663,0.0019200765337881575,0.5875434193391762
tablet_account_rows_only,824,9,7,0.7777777777777778,758,2659,0.0031754338275908115,0.9716827512427884
tablet_account_rows_only,526,4,4,1,761,2664,0.006721529416588807,1
tablet_account_rows_only,167,8,6,0.75,759,2660,0.008778372289242966,1
tablet_account_rows_only,151,14,7,0.5,758,2654,0.074866800777799,1
tablet_account_rows_only,317,2,2,1,763,2666,0.08213834590034035,1
tablet_account_rows_only,511,2,2,1,763,2666,0.08213834590034035,1
tablet_account_rows_only,565,2,2,1,763,2666,0.08213834590034035,1
tablet_account_rows_only,712,2,2,1,763,2666,0.08213834590034035,1
tablet_account_rows_only,856,2,2,1,763,2666,0.08213834590034035,1
tablet_account_rows_only,615,5,3,0.6,762,2663,0.14577462943947878,1
tablet_account_rows_only,154,8,4,0.5,761,2660,0.1704021634984137,1
tablet_account_rows_only,156,8,4,0.5,761,2660,0.1704021634984137,1
tablet_account_rows_only,407,3,2,0.6666666666666666,763,2665,0.1993996154042169,1
tablet_account_rows_only,527,3,2,0.6666666666666666,763,2665,0.1993996154042169,1
tablet_account_rows_only,776,3,2,0.6666666666666666,763,2665,0.1993996154042169,1
tablet_account_rows_only,390,33,12,0.36363636363636365,753,2635,0.21206699214093286,1
tablet_account_rows_only,405,6,3,0.5,762,2662,0.23132840165996674,1
tablet_account_rows_only,617,9,4,0.4444444444444444,761,2659,0.24031004877221762,1
