"site","rows"
"Harappa","2717"
"Mohenjo-daro","1923"
"Dholavira","238"
"Kalibangan","212"
"Lothal","208"
"Chanhu-daro","74"
"Nausharo","38"
"Unknown","28"
"Banawali","26"
"Lakhanjo-daro","15"
"Rakhigarhi","13"
"Allahdino","12"
"Kot-Diji","11"
"Kanmer","10"
"Farmana","8"
"Karanpura","8"
"Shikarpur","8"
"Bala-kot","7"
"Bhirrana","6"
"Gola Dhoro (Bagasra)","6"
"Surkotada","6"
"Amri","5"
"Nuhato","5"
"Rupar","5"
"Ur","5"
"Khirsara","4"
"Ra's al-Junayz","4"
"Rodji","4"
"Alamgirpur","3"
"Chandigarh","3"
"Desalpur","3"
"Karzakan","3"
"Naru-Waro-dharo","3"
"Tarkhanewala-dera","3"
"Daimabad","2"
"Failaka","2"
"Ganweriwala","2"
"Gumla","2"
"Hissam-dheri","2"
"Kish","2"
"Miri Qalat","2"
"Nindowari-damb","2"
"Rahman-deri","2"
"Rajanpur","2"
"Salut","2"
"Susa","2"
"Altyn Depe","1"
"Bakkar Buthi","1"
"Baror","1"
"Derawar Ther","1"
"Gharo Bhiro","1"
"Girsu","1"
"Gonur Depe","1"
"Guddal A","1"
"Hajar","1"
"Hulas","1"
"Janabiyah","1"
"Jhukar","1"
"Juna Khatiya","1"
"Kalba","1"
"Lohumjo-daro","1"
"Luristan","1"
"Murda Sang","1"
"Nippur","1"
"Ornach area","1"
"Pabumath","1"
"Pirak","1"
"Qala'at al-Bahrain","1"
"Rappwala Ther","1"
"Saar","1"
"Shortughai","1"
"Sibri","1"
"Tell Umma","1"
"Tello","1"
"Tepe Yahya","1"
"Tigrana","1"
"Wattoowala","1"
