"control","stratum_kind","stratum_value","model","iterations","observed_value","null_mean","null_sd","null_min","null_p05","null_median","null_p95","null_max","observed_minus_null_mean","null_ge_observed_share"
"duplicate_matched_position_slots","site","Harappa","majority","5","0.277686","0.277686","0","0.277686","0.277686","0.277686","0.277686","0.277686","0","1"
"duplicate_matched_position_slots","site","Harappa","length","5","0.393388","0.393388","0","0.393388","0.393388","0.393388","0.393388","0.393388","0","1"
"duplicate_matched_position_slots","site","Harappa","edge_frame","5","0.461157","0.368925","0.012387","0.34876","0.351405","0.371901","0.382479","0.383471","0.092232","0"
"duplicate_matched_position_slots","site","Harappa","token_nb","5","0.519008","0.293223","0.018892","0.256198","0.264463","0.300826","0.307769","0.309091","0.225785","0"
"duplicate_matched_position_slots","site","Mohenjo-daro","majority","5","0.18143","0.18143","0","0.18143","0.18143","0.18143","0.18143","0.18143","0","1"
"duplicate_matched_position_slots","site","Mohenjo-daro","length","5","0.430096","0.430096","0","0.430096","0.430096","0.430096","0.430096","0.430096","0","1"
"duplicate_matched_position_slots","site","Mohenjo-daro","edge_frame","5","0.495197","0.395731","0.010531","0.383138","0.385059","0.392743","0.411099","0.415155","0.099466","0"
"duplicate_matched_position_slots","site","Mohenjo-daro","token_nb","5","0.506937","0.276628","0.015324","0.258271","0.258911","0.275347","0.294344","0.294557","0.230309","0"
"duplicate_matched_position_slots","type","SEAL:R","majority","5","0.195402","0.195402","0","0.195402","0.195402","0.195402","0.195402","0.195402","0","1"
"duplicate_matched_position_slots","type","SEAL:R","length","5","0.408046","0.408046","0","0.408046","0.408046","0.408046","0.408046","0.408046","0","1"
"duplicate_matched_position_slots","type","SEAL:R","edge_frame","5","0.431034","0.395402","0.012273","0.373563","0.377011","0.402299","0.406897","0.408046","0.035632","0"
"duplicate_matched_position_slots","type","SEAL:R","token_nb","5","0.534483","0.268965","0.023103","0.241379","0.242528","0.270115","0.3","0.304598","0.265518","0"
"duplicate_matched_position_slots","type","SEAL:S","majority","5","0.181913","0.181913","0","0.181913","0.181913","0.181913","0.181913","0.181913","0","1"
