head,frame_rows,exact_text_rows,branch_count,repeated_branch_count,terminal_rows,continuing_rows,determinism_score,determinism_p,determinism_method,exact_text_determinism_score,exact_text_determinism_p,exact_text_method,pure_branches,branch_counts,examples
814,2,2,2,0,2,0,,,,,,,,560:1;084:1,M-17:016-002-814-560-<END>:T|M-92:350-002-814-084-<END>:T
055,2,2,2,0,1,1,,,,,,,,373:1;031:1,M-43:231-002-055-373-<END>:T|-:3882.1:150-002-055-031-319 001 924:C
111,2,2,2,0,2,0,,,,,,,,165:1;700:1,M-95:003-002-111-165-<END>:T|M-721:233-002-111-700-<END>:T
301,2,2,2,0,2,0,,,,,,,,190:1;350:1,M-115:803-002-301-190-<END>:T|M-242:721-002-301-350-<END>:T
850,2,2,2,0,2,0,,,,,,,,493:1;491:1,M-325:803-002-850-493-<END>:T|M-325:803-002-850-491-<END>:T
502,2,2,1,1,2,0,,,,,,,,031:2,M-358:806-002-502-031-<END>:T|M-1284:806-002-502-031-<END>:T
388,2,2,2,0,1,1,,,,,,,,385:1;031:1,M-359:803-002-388-385-705 632:C|M-948:003-002-388-031-<END>:T
308,1,1,1,0,1,0,,,,,,,,072:1,B-17:236-002-308-072-<END>:T
862,1,1,1,0,1,0,,,,,,,,032:1,H-1033:520-002-862-032-<END>:T
003,1,1,1,0,1,0,,,,,,,,861:1,-:543.1:064-002-003-861-<END>:T
293,1,1,1,0,1,0,,,,,,,,360:1,H-1706:003-002-293-360-<END>:T
611,1,1,1,0,0,1,,,,,,,,615:1,H-3:017-002-611-615-703:C
233,1,1,1,0,1,0,,,,,,,,235:1,H-141:070-002-233-235-<END>:T
305,1,1,1,0,0,1,,,,,,,,032:1,H-272:240-002-305-032-904:C
702,1,1,1,0,1,0,,,,,,,,503:1,H-408:240-002-702-503-<END>:T
172,1,1,1,0,1,0,,,,,,,,032:1,H-455:705-002-172-032-<END>:T
452,1,1,1,0,1,0,,,,,,,,000:1,H-461:384-002-452-000-<END>:T
762,1,1,1,0,0,1,,,,,,,,463:1,K-18:307-002-762-463-140:C
285,1,1,1,0,1,0,,,,,,,,491:1,K-28:335-002-285-491-<END>:T
360,1,1,1,0,1,0,,,,,,,,832:1,K-89:362-002-360-832-<END>:T
