checked_date,head_after_002,cisi,row_id,site,type,symbol,cult,prev_before_002,next_after_head,tail_after_head,text
2026-05-31,861,Ad-8,13.1,Allahdino,MISC,Elep,SAN,503,000,000,+740-440-503-002-861-000+
2026-05-31,861,-,18.1,Bakkar Buthi,POT:T:g,None,None,840,<END>,<END>,+405-844-032-840-002-861+
2026-05-31,297,Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,003,350,350-125-413,+226-003-002-297-350-125-413+
2026-05-31,368,Blk-2,20.1,Bala-kot,SEAL:S,Bull1,R,061,634,634,+390-717-061-002-368-634+
2026-05-31,368,B-1,27.1,Banawali,SEAL:S,Bull1:O,HAF,220,550,550-821,+090-740-220-002-368-550-821+
2026-05-31,817,B-5,30.1,Banawali,SEAL:S,Bull3,None,<START>,<END>,<END>,+002-817+
2026-05-31,817,B-7,31.1,Banawali,SEAL:S,Buff,None,<START>,<END>,<END>,+002-817+
2026-05-31,817,B-15,36.1,Banawali,SEAL:S,Rhin,None,<START>,<END>,<END>,+002-817+
2026-05-31,308,B-17,37.1,Banawali,SEAL:S,Htgr,HBF,236,072,072,+236-002-308-072+
2026-05-31,861,B-18,38.1,Banawali,SEAL:S,-,-,000,<END>,<END>,]000-002-861+
2026-05-31,820,-,52.1,Bhirrana,SEAL:S,Bull1,RAN,236,<END>,<END>,+236-002-820+
2026-05-31,817,C-66,61.1,Chanhu-daro,SEAL:S,Bull1:W,RAN,003,<END>,<END>,+390-003-002-817+
2026-05-31,861,C-65,62.1,Chanhu-daro,SEAL:S,Bull1:W,SAF,032,<END>,<END>,+000-100-240-220-032-002-861+
2026-05-31,861,C-60,69.1,Chanhu-daro,SEAL:S,Bull1:W,SAN,032,<END>,<END>,+740-176-032-002-861+
2026-05-31,861,C-53,71.1,Chanhu-daro,SEAL:S,Bull1,-,235,<END>,<END>,+032-031/740-222-235-002-861+
2026-05-31,861,C-58,74.1,Chanhu-daro,SEAL:S,Bull1,-,235,<END>,<END>,+032-031/740-222-235-002-861+
2026-05-31,861,C-74,76.1,Chanhu-daro,SEAL:S,Gaur,Trough,125,<END>,<END>,+125-002-861+
2026-05-31,906,C-71,78.1,Chanhu-daro,SEAL:S,Bull1,-,861,003,003,+000-000-000/000-861-002-906-003+
2026-05-31,817,C-78,81.1,Chanhu-daro,SEAL:S,None,None,240,<END>,<END>,+740-636-240/002-817+
2026-05-31,296,C-57,82.1,Chanhu-daro,SEAL:S,Bull1:W,SAF,840,530,530-000,+740-032-840-002-296-530-000+
2026-05-31,820,C-85,84.1,Chanhu-daro,SEAL:R,-,-,000,<END>,<END>,+000-000-002-820+
2026-05-31,817,C-67,87.1,Chanhu-daro,SEAL:S,Bull1:S,SAN,803,<END>,<END>,+520-233-803-002-817+
2026-05-31,365,C-1,89.1,Chanhu-daro,SEAL:S,Bull1,None,101,287,287-034,+031-840-140-740-101-002-365-287-034+
