scope,block_name,block_key,rows,closure_rows,closure_terminal,closure_rate,branch_rows,branch_terminal,branch_rate,closure_minus_branch,closure_y_counts,branch_y_counts,example_cisi
all_002_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,53,47,38,38/47,6,0,0/6,0.808511,861:22;820:15;817:10,220:2;368:1;300:1;031:1;390:1,M-1675;M-1697;M-1737;M-1677;M-1704;M-1721;M-1726;M-1711;M-1763;M-1661;M-1729;M-1681
all_002_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,28,22,20,20/22,6,0,0/6,0.909091,817:10;861:10;820:2,368:2;031:2;390:1;220:1,M-1850;M-963;M-1709;M-1746;-;M-1752;M-1833;M-36;M-42;M-86;M-91;M-99
all_002_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:R|None,23,22,18,18/22,1,0,0/1,0.818182,820:8;817:7;861:7,900:1,M-1976;M-1974;M-1955;M-1954;M-355;M-362;M-364;M-375;M-376;M-381;M-384;M-385
all_002_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:J,23,16,15,15/16,7,0,0/7,0.937500,861:8;817:7;820:1,390:3;900:2;220:1;031:1,M-1674;M-940;M-32;M-38;M-47;M-71;M-90;M-101;M-142;M-144;M-147;M-152
all_002_strict_dedup,site_type_symbol,Harappa|SEAL:S|Bull1:W,19,16,16,16/16,3,0,0/3,1.000000,817:9;861:4;820:3,031:2;220:1,H-1030;H-1043;H-1680;H-1667;H-1050;H-12;H-13;H-21;H-44;H-45;H-51;H-268
all_002_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1,12,10,9,9/10,2,0,0/2,0.900000,817:6;861:3;820:1,220:1;390:1,M-1693;M-655;M-722;M-723;M-855;M-895;M-897;M-900;M-901;M-903;M-918;M-1825
all_002_strict_dedup,site_type_symbol,Harappa|TAB:B|None,11,10,10,10/10,1,0,0/1,1.000000,820:5;817:3;861:2,390:1,H-2015;H-1882;H-1864;H-1146;H-1788;H-1851;H-231;H-244;H-773;H-829;H-838
all_002_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Gaur,9,8,7,7/8,1,0,0/1,0.875000,817:4;861:3;820:1,368:1,M-1880;M-240;M-245;M-246;M-253;M-1085;M-1088;M-1206;M-1226
all_002_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Zebu,8,7,6,6/7,1,0,0/1,0.857143,820:3;861:2;817:2,031:1,M-1899;M-259;M-260;M-318;M-1109;M-1110;M-1115;M-1119
all_002_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:I,7,6,6,6/6,1,0,0/1,1.000000,820:3;817:2;861:1,368:1,M-1706;M-1708;M-1789;M-116;M-166;M-221;M-889
all_002_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:L,6,5,4,4/5,1,0,0/1,0.800000,861:4;817:1,031:1,M-1753;M-1755;M-1745;M-677;M-839;M-850
all_002_strict_dedup,site_type_symbol,Harappa|SEAL:S|Bull1:I,5,3,2,2/3,2,0,0/2,0.666667,861:1;817:1;820:1,390:1;368:1,H-1051;H-68;H-456;H-506;H-600
all_002_strict_dedup,site_type_symbol,Dholavira|SEAL:R|None,3,2,2,2/2,1,0,0/1,1.000000,861:2,031:1,-;-;-
all_002_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:T,3,2,2,2/2,1,0,0/1,1.000000,820:2,390:1,M-70;M-174;M-726
all_002_strict_dedup,site_type_symbol,Kalibangan|SEAL:S|Bull1:I,2,1,0,0/1,1,0,0/1,0.000000,820:1,368:1,K-10;K-23
all_002_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:U,2,1,1,1/1,1,0,0/1,1.000000,817:1,390:1,M-1844;M-735
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:W|4,11,9,8,8/9,2,0,0/2,0.888889,861:3;820:3;817:3,368:1;220:1,M-1726;M-595;M-1716;M-12;M-46;M-198;M-650;M-651;M-815;M-851;M-1698
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:W|5,10,8,6,6/8,2,0,0/2,0.750000,820:3;861:3;817:2,220:1;300:1,M-1737;M-1681;M-1728;M-29;M-49;M-54;M-629;M-644;M-793;M-868
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:S|3,9,8,8,8/8,1,0,0/1,1.000000,817:4;861:4,390:1,M-1709;-;M-1752;M-42;M-119;M-781;M-785;M-813;M-853
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:J|2,8,6,6,6/6,2,0,0/2,1.000000,861:3;817:2;820:1,220:1;390:1,M-940;M-32;M-142;M-147;M-152;M-200;M-213;M-327
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:J|4,8,6,5,5/6,2,0,0/2,0.833333,817:4;861:2,031:1;900:1,M-1674;M-90;M-101;M-144;M-739;M-819;M-834;M-937
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:S|2,8,5,5,5/5,3,0,0/3,1.000000,861:3;817:2,368:1;220:1;031:1,M-963;M-1833;M-99;M-140;M-204;M-783;M-794;M-1823
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:W|2,8,7,6,6/7,1,0,0/1,0.857143,861:3;820:3;817:1,390:1,M-1697;M-1721;M-1729;M-1750;M-20;M-103;M-708;M-795
all_002_strict_dedup,site_type_symbol_idx002,Harappa|TAB:B|None|3,5,4,4,4/4,1,0,0/1,1.000000,817:2;861:1;820:1,390:1,H-1864;H-1788;H-231;H-773;H-838
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1|2,5,4,4,4/4,1,0,0/1,1.000000,817:2;861:2,390:1,M-895;M-901;M-903;M-918;M-1825
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:J|3,5,3,3,3/3,2,0,0/2,1.000000,861:3,390:1;900:1,M-47;M-71;M-717;M-724;M-958
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:S|4,5,4,3,3/4,1,0,0/1,0.750000,817:2;820:1;861:1,031:1,M-86;M-100;M-211;M-792;M-816
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:W|6,5,4,4,4/4,1,0,0/1,1.000000,861:4,031:1,M-1763;M-21;M-28;M-118;M-678
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Zebu|2,5,4,3,3/4,1,0,0/1,0.750000,820:2;861:1;817:1,031:1,M-1899;M-259;M-318;M-1109;M-1119
all_002_strict_dedup,site_type_symbol_idx002,Harappa|SEAL:S|Bull1:W|4,4,3,3,3/3,1,0,0/1,1.000000,817:2;861:1,031:1,H-1043;H-13;H-389;H-1048
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:S|5,4,3,2,2/3,1,0,0/1,0.666667,861:2;817:1,368:1,M-1746;M-36;M-91;M-199
all_002_strict_dedup,site_type_symbol_idx002,Harappa|SEAL:S|Bull1:I|4,2,1,1,1/1,1,0,0/1,1.000000,820:1,390:1,H-68;H-506
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1|3,2,1,1,1/1,1,0,0/1,1.000000,817:1,220:1,M-655;M-897
all_002_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:L|4,2,1,1,1/1,1,0,0/1,1.000000,861:1,031:1,M-1753;M-1745
all_002_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:W|032,6,5,4,4/5,1,0,0/1,0.800000,820:3;861:2,300:1,M-1737;M-1677;M-1763;M-1728;M-21;M-49
all_002_strict_dedup,site_type_symbol_prev1,Harappa|SEAL:S|Bull1:W|235,5,4,4,4/4,1,0,0/1,1.000000,817:4,031:1,H-1050;H-12;H-389;H-478;H-1048
all_002_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:W|235,3,2,2,2/2,1,0,0/1,1.000000,861:2,220:1,M-46;M-653;M-934
all_002_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:R|None|032,2,1,1,1/1,1,0,0/1,1.000000,820:1,900:1,M-375;M-1358
