date,packet_id,reviewer,blind_id,stage1_visual_token_count,stage1_visual_order_note,stage1_token_boxes_json,stage1_visible_002_y_candidate_notes,stage1_uncertainty_notes,stage2_after_unblind_catalog_alignment,stage2_branch_relation_present_yes_no_uncertain,stage2_confidence,stage2_notes
2026-05-29,branch_gap_source_box_v1,,BG001,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG002,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG003,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG004,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG005,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG006,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG007,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG008,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG009,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG010,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG011,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG012,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG013,,,,,,,,,
2026-05-29,branch_gap_source_box_v1,,BG014,,,,,,,,,
