"scope","group_kind","group_value","source_rows","duplicate_rows_removed","rows","model","masked_tokens","top1","top1_accuracy","top5","top5_accuracy","mrr"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","all","all","2887","1089","1798","frequency","8212","885","0.107769","1965","0.239284","0.187476"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","all","all","2887","1089","1798","position","8212","1241","0.15112","2641","0.321603","0.238405"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","all","all","2887","1089","1798","length_position","8212","1270","0.154652","2935","0.357404","0.253918"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","all","all","2887","1089","1798","bidirectional_bigram","8212","2676","0.325865","4663","0.567828","0.438744"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:S","1101","83","1018","frequency","4920","509","0.103455","1226","0.249187","0.192061"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:S","1101","83","1018","position","4920","809","0.164431","1602","0.32561","0.257085"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:S","1101","83","1018","length_position","4920","835","0.169715","1864","0.378862","0.271301"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:S","1101","83","1018","bidirectional_bigram","4920","1642","0.33374","2795","0.568089","0.442759"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:R","218","6","212","frequency","1085","108","0.099539","245","0.225806","0.173804"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:R","218","6","212","position","1085","124","0.114286","265","0.24424","0.194813"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:R","218","6","212","length_position","1085","145","0.133641","272","0.250691","0.201105"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:R","218","6","212","bidirectional_bigram","1085","307","0.282949","579","0.533641","0.401625"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:I","533","360","173","frequency","559","78","0.139535","158","0.282648","0.238086"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:I","533","360","173","position","559","108","0.193202","218","0.389982","0.293587"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:I","533","360","173","length_position","559","117","0.209302","207","0.370304","0.296239"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:I","533","360","173","bidirectional_bigram","559","154","0.275492","253","0.452594","0.369374"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:B","705","393","312","frequency","1213","159","0.13108","351","0.289365","0.218795"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:B","705","393","312","position","1213","183","0.150866","428","0.352844","0.250952"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:B","705","393","312","length_position","1213","226","0.186315","437","0.360264","0.273591"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:B","705","393","312","bidirectional_bigram","1213","395","0.325639","652","0.53751","0.42845"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:C","157","104","53","frequency","252","31","0.123016","58","0.230159","0.20346"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:C","157","104","53","position","252","33","0.130952","88","0.349206","0.248344"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:C","157","104","53","length_position","252","55","0.218254","114","0.452381","0.326335"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:C","157","104","53","bidirectional_bigram","252","98","0.388889","162","0.642857","0.506786"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Harappa","1430","768","662","frequency","2674","314","0.117427","702","0.262528","0.199015"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Harappa","1430","768","662","position","2674","372","0.139117","893","0.333957","0.239017"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Harappa","1430","768","662","length_position","2674","426","0.159312","879","0.328721","0.250773"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Harappa","1430","768","662","bidirectional_bigram","2674","822","0.307405","1411","0.527674","0.412527"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Kalibangan","55","7","48","frequency","190","21","0.110526","42","0.221053","0.185233"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Kalibangan","55","7","48","position","190","30","0.157895","49","0.257895","0.213433"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Kalibangan","55","7","48","length_position","190","19","0.1","27","0.142105","0.152567"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Kalibangan","55","7","48","bidirectional_bigram","190","27","0.142105","54","0.284211","0.224955"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Lothal","84","21","63","frequency","279","24","0.086022","60","0.215054","0.172048"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Lothal","84","21","63","position","279","31","0.111111","72","0.258065","0.191738"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Lothal","84","21","63","length_position","279","32","0.114695","61","0.218638","0.185826"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Lothal","84","21","63","bidirectional_bigram","279","45","0.16129","104","0.37276","0.273378"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Mohenjo-daro","1217","208","1009","frequency","4889","515","0.105339","1089","0.222745","0.187345"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Mohenjo-daro","1217","208","1009","position","4889","772","0.157906","1489","0.304561","0.243759"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Mohenjo-daro","1217","208","1009","length_position","4889","799","0.163428","1771","0.362242","0.25784"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Mohenjo-daro","1217","208","1009","bidirectional_bigram","4889","1577","0.322561","2813","0.575373","0.440261"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Lower Indus","1282","214","1068","frequency","5156","545","0.105702","1227","0.237975","0.187845"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Lower Indus","1282","214","1068","position","5156","813","0.15768","1596","0.309542","0.243093"
