"next","count","pct_of_220","top_prev","start_count","sites","types","examples"
"415","91","0.1908","520:28;318:11;740:6;<START>:5;000:5;845:5;176:4;717:3","5","Chanhu-daro;Harappa;Khirsara;Lothal;Mohenjo-daro;Pabumath","ROD;SEAL:R;SEAL:S;TAB:B;TAB:C;TAB:I;TAG","83.1;221.1;291.1;479.1;481.1;485.2;517.1;673.2"
"<END>","87","0.1824","<START>:19;000:11;520:7;440:5;032:5;740:4;176:3;236:3","19","Chanhu-daro;Dholavira;Farmana;Guddal A;Harappa;Kalibangan;Kanmer;Lothal;Mohenjo-daro;Rakhigarhi","MDLN;MISC;POT:M;POT:T:g;POT:T:s;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:C;TAB:I;TAG;Unknown","116.1;149.1;185.1;186.1;187.2;217.1;220.1;250.1"
"032","69","0.1447","240:10;<START>:6;235:5;000:4;740:4;904:4;233:4;255:3","6","Chanhu-daro;Dholavira;Farmana;Harappa;Kalibangan;Lothal;Mohenjo-daro;Tarkhanewala-dera","POT:T:g;POT:T:s;SEAL;SEAL:R;SEAL:S;TAB:C;TAB:I;TAG","62.1;98.1;101.1;151.1;175.1;538.1;920.1;1020.1"
"000","29","0.0608","<START>:10;000:6;740:6;002:1;029:1;031:1;227:1;585:1","10","Allahdino;Banawali;Chandigarh;Chanhu-daro;Dholavira;Harappa;Kalibangan;Kot-Diji;Lothal;Mohenjo-daro;Ra's al-Junayz","MISC;POT:T:g;POT:T:p;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:C;TAG;TAG:PC","4.1;53.1;115.1;166.1;576.1;595.1;824.2;925.2"
"002","21","0.044","000:5;520:4;233:2;<START>:1;032:1;100:1;231:1;234:1","1","Banawali;Harappa;Lothal;Mohenjo-daro","POT:T:g;SEAL;SEAL:R;SEAL:S;TAB:B;TAG;TAG:O","27.1;41.1;223.1;1190.1;1394.1;1399.1;2127.2;2129.2"
"003","20","0.0419","740:10;590:5;520:2;000:1;760:1;832:1","0","Harappa;Kalibangan;Kish;Mohenjo-daro;Unknown","POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:C","174.1;237.1;303.1;1127.1;1175.1;1883.1;1884.1;1971.1"
"235","17","0.0356","176:7;520:3;125:1;222:1;241:1;388:1;590:1;740:1","0","Gonur Depe;Harappa;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:C","729.1;937.1;1695.2;1696.2;1697.2;2279.1;2459.1;2551.1"
"016","15","0.0314","520:6;740:3;<START>:2;151:1;626:1;760:1;776:1","2","Chanhu-daro;Harappa;Mohenjo-daro;Nausharo","IMPL;POT:T:s;SEAL:S;TAB:B;TAB:I","121.1;173.1;258.1;318.1;1153.1;1491.1;1680.1;1822.1"
"055","12","0.0252","740:11;091:1","0","Lothal;Saar","SEAL:C;TAG;TAG:L;TAG:W","2068.1;2069.1;2070.1;2071.1;2072.1;2112.1;2113.1;2115.1"
"240","11","0.0231","520:5;000:2;233:1;679:1;717:1;803:1","0","Dholavira;Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B;TAG","199.1;1073.1;1094.1;1258.1;2077.1;2119.1;2265.1;2506.1"
"455","11","0.0231","002:5;<START>:2;001:2;013:1;231:1","2","Dholavira;Harappa;Kalibangan;Karzakan;Mohenjo-daro","SEAL:C;SEAL:R;SEAL:S;TAB:B","388.2;1139.1;1293.1;1882.1;2195.1;2557.1;2589.1;2674.1"
"065","8","0.0168","002:3;<START>:2;060:1;510:1;820:1","2","Kalibangan;Mohenjo-daro","SEAL:S","1899.1;2507.1;2574.1;2635.1;2667.1;2678.1;3268.1;3289.1"
"416","7","0.0147","760:2;<START>:1;518:1;740:1;767:1;879:1","1","Dholavira;Harappa;Pabumath","SEAL:S;TAB:I","130.1;311.1;1148.1;1324.2;1793.1;3861.1;4056.1"
"004","5","0.0105","000:1;060:1;388:1;520:1;700:1","0","Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B;TAB:I;TAG","311.2;744.2;2085.1;2592.1;2603.1"
"031","5","0.0105","000:1;235:1;286:1;368:1;520:1","0","Banawali;Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1170.1;2231.1;2400.1;2593.1;5567.1"
"033","4","0.0084","<START>:2;001:1;590:1","2","Harappa;Rupar;Unknown","POT:T:g;POT:T:s;SEAL:C","1017.1;1032.1;3871.1;5224.1"
"060","4","0.0084","520:1;740:1;798:1;804:1","0","Mohenjo-daro","SEAL:S","2427.1;2779.1;2816.1;3318.1"
"063","4","0.0084","<START>:2;255:1;820:1","2","Chanhu-daro;Harappa;Mohenjo-daro","MISC;SEAL:S","119.1;1065.1;2475.1;3995.1"
"700","4","0.0084","<START>:4","4","Harappa","TAB:B;TAB:I","302.2;1324.1;1793.2;4056.2"
"001","3","0.0063","140:1;233:1;520:1","0","Mohenjo-daro","SEAL:S","2332.1;3073.1;3995.1"
"255","3","0.0063","175:1;240:1;260:1","0","Dholavira;Mohenjo-daro","SEAL:S","2475.1;2660.1;4236.1"
"741","3","0.0063","000:1;236:1;740:1","0","Kalibangan;Lothal;Mohenjo-daro","SEAL:S","1889.1;2016.1;2654.1"
"742","3","0.0063","520:1;740:1;798:1","0","Harappa;Mohenjo-daro;Nausharo","SEAL:S","1095.1;2823.1;5360.1"
"803","3","0.0063","176:1;520:1;705:1","0","Mohenjo-daro","SEAL:S","2513.1;2644.1;2772.1"
"014","2","0.0042","<START>:1;740:1","1","Banawali;Mohenjo-daro","SEAL:S","28.1;2783.1"
"233","2","0.0042","<START>:1;740:1","1","Harappa;Mohenjo-daro","TAB:C;TAB:I","416.1;3729.1"
"368","2","0.0042","520:1;803:1","0","Mohenjo-daro","SEAL:S","2485.1;2798.1"
"786","2","0.0042","<START>:1;001:1","1","Mohenjo-daro","SEAL:R;SEAL:S","2697.1;2910.1"
"920","2","0.0042","892:2","0","Harappa","TAB:B","1216.1;1217.1"
"006","1","0.0021","520:1","0","Kalibangan","SEAL:S","5277.1"
"017","1","0.0021","<START>:1","1","Harappa","SEAL:S","1070.1"
"034","1","0.0021","520:1","0","Mohenjo-daro","SEAL:S","3556.1"
"098","1","0.0021","335:1","0","Shikarpur","SEAL:S","5451.1"
"150","1","0.0021","<START>:1","1","Kalibangan","POT:T:g","5313.1"
"241","1","0.0021","000:1","0","Mohenjo-daro","SEAL:S","2824.1"
"278","1","0.0021","958:1","0","Mohenjo-daro","SEAL:S","2403.1"
"335","1","0.0021","785:1","0","Kalibangan","SEAL:S","1890.1"
"382","1","0.0021","016:1","0","Harappa","POT:T:s","715.1"
"390","1","0.0021","000:1","0","Tello","SEAL:S","3885.1"
"413","1","0.0021","440:1","0","Mohenjo-daro","BNGL","3826.1"
"428","1","0.0021","400:1","0","Mohenjo-daro","SEAL:S","2742.1"
"463","1","0.0021","590:1","0","Dholavira","SEAL:S","4229.1"
"500","1","0.0021","<START>:1","1","Harappa","SEAL:S","293.1"
"520","1","0.0021","033:1","0","Kalibangan","POT:T:g","1950.1"
"528","1","0.0021","924:1","0","Ur","SEAL:C","3897.1"
"530","1","0.0021","140:1","0","Harappa","SEAL:S","1548.1"
"617","1","0.0021","000:1","0","Lothal","TAG","2120.1"
"621","1","0.0021","520:1","0","Mohenjo-daro","SEAL:S","2681.1"
"627","1","0.0021","002:1","0","Mohenjo-daro","TAG:O","3712.1"
"632","1","0.0021","817:1","0","Nindowari-damb","SEAL:S","3858.1"
"705","1","0.0021","440:1","0","Mohenjo-daro","SEAL:S","3431.1"
"760","1","0.0021","<START>:1","1","Harappa","TAB:I","795.2"
"832","1","0.0021","000:1","0","Mohenjo-daro","SEAL","4018.1"
"838","1","0.0021","000:1","0","Chanhu-daro","SEAL:S","63.1"
"840","1","0.0021","000:1","0","Harappa","POT:T:g","206.1"
"880","1","0.0021","002:1","0","Mohenjo-daro","SEAL:S","3097.1"
"892","1","0.0021","760:1","0","Mohenjo-daro","SEAL:S","3157.1"
