iteration,passed_constraints,satisfied_share,passed_ge_observed,share_ge_observed
0,0,0.5008880994671403,false,false
1,0,0.5008880994671403,false,false
2,0,0.5017761989342806,false,false
3,0,0.5115452930728241,false,false
4,0,0.48934280639431615,false,false
5,0,0.5017761989342806,false,false
6,0,0.4911190053285968,false,false
7,0,0.4955595026642984,false,false
8,0,0.4715808170515098,false,false
9,0,0.5062166962699822,false,false
10,0,0.49822380106571934,false,false
11,0,0.49644760213143874,false,false
12,0,0.5062166962699822,false,false
13,0,0.48845470692717585,false,false
14,0,0.5133214920071048,false,false
15,0,0.47513321492007105,false,false
16,0,0.47957371225577267,false,false
17,0,0.4955595026642984,false,false
18,0,0.4857904085257549,false,false
19,0,0.5062166962699822,false,false
20,0,0.48756660746003555,false,false
21,0,0.5115452930728241,false,false
22,0,0.4946714031971581,false,false
23,0,0.5133214920071048,false,false
24,0,0.4928952042628774,false,false
25,0,0.5239786856127886,false,false
26,0,0.5062166962699822,false,false
27,0,0.49733570159857904,false,false
28,0,0.5,false,false
29,0,0.5213143872113677,false,false
30,0,0.5079928952042628,false,false
31,0,0.4769094138543517,false,false
32,0,0.48134991119005327,false,false
33,0,0.5186500888099467,false,false
34,0,0.46714031971580816,false,false
35,0,0.522202486678508,false,false
36,0,0.4937833037300178,false,false
37,0,0.5230905861456483,false,false
38,0,0.5053285968028419,false,false
39,0,0.4769094138543517,false,false
40,0,0.48756660746003555,false,false
41,0,0.522202486678508,false,false
42,0,0.5053285968028419,false,false
43,0,0.48756660746003555,false,false
44,0,0.5106571936056838,false,false
45,0,0.5115452930728241,false,false
46,0,0.48134991119005327,false,false
47,0,0.5230905861456483,false,false
48,0,0.4928952042628774,false,false
49,0,0.5053285968028419,false,false
