checked_date,object,row_id,site,type,shape,material,head,x,tail_after_x,first_after_x,open,text
2026-05-31,H-464,1452.1,Harappa,SEAL:S,square,Steatite,798,590,032,032,true,+000-176-002-798-590-032+
2026-05-31,H-611,1551.1,Harappa,SEAL:S,square,Steatite,125,590,<END>,<END>,false,+527-550-002-125-590+
2026-05-31,Lh-1,1981.1,Lohumjo-daro,SEAL:S,square,-,392,590,125,125,true,+740-760-615-104-717-235-002-392-590-125+
2026-05-31,L-5,1987.1,Lothal,SEAL:S,square,Steatite,455,692,416,416,true,+740-760-552/000-002-455-692-416+
2026-05-31,L-112,2061.1,Lothal,SEAL:R,rectangular,Clay,540,590,<END>,<END>,false,+740-760-605-002-540-590+
2026-05-31,M-1901,2402.1,Mohenjo-daro,SEAL:S,square,Steatite,252,692,<END>,<END>,false,+151-061/156-002-252-692+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,square,Steatite,390,692,<END>,<END>,false,+226-032-002-390-692+
2026-05-31,M-232,2756.1,Mohenjo-daro,SEAL:S,square,Steatite,390,707,<END>,<END>,false,+236-002-390-707+
2026-05-31,M-248,2771.1,Mohenjo-daro,SEAL:S,square,Steatite,705,590,<END>,<END>,false,+740-100-415-002-705-590+
2026-05-31,-:3335.1,3335.1,Unknown,SEAL:S,square,-,390,590,032,032,true,+740-205-032-002-390-590-032+
2026-05-31,?-3,3892.1,Unknown,SEAL:S,square,-,368,590,900,900,true,+002-368-590-900+
