checked_date,cisi,row_id,site,type,symbol,cult,prev_before_002,governed_head,phrase_from_head,template_4,local_around_125,next_after_125,next2_after_125,template_class,text
2026-05-31,Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,003,297,297-350-125-413,297-350-125-413,297-350-125-413,413,<END>,repeated_297_350_125_413_title_template,+226-003-002-297-350-125-413+
2026-05-31,H-55,1114.1,Harappa,SEAL:S,Bull1:X,SAF,004,861,861-125,861-125-<END>-<END>,002-861-125-<END>,<END>,<END>,governed_125_template_singleton,+390-004-002-861-125+
2026-05-31,H-74,1132.1,Harappa,SEAL:S,Bull1:J,RAN,<START>,610,610-125-032,610-125-032-<END>,002-610-125-032,032,<END>,repeated_610_125_032_title_template,+002-610-125-032+
2026-05-31,H-130,1171.1,Harappa,SEAL:R,None,None,806,595,595-812-125-717,595-812-125-717,595-812-125-717,717,<END>,governed_125_template_singleton,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,Lh-1,1981.1,Lohumjo-daro,SEAL:S,Bull1:S,SAN,235,392,392-590-125,392-590-125-<END>,392-590-125-<END>,<END>,<END>,governed_125_template_singleton,+740-760-615-104-717-235-002-392-590-125+
2026-05-31,M-1692,2226.1,Mohenjo-daro,SEAL:S,Bull1:L,SAN,617,190,190-125-632-032,190-125-632-032,002-190-125-632,632,032,title_tail_190_125_632_032,+390-600-617-002-190-125-632-032+
2026-05-31,M-1668,2270.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,803,320,320-705-125,320-705-125-<END>,320-705-125-<END>,<END>,<END>,governed_125_template_singleton,+740-773-233-803-002-320-705-125+
2026-05-31,M-1665,2473.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,240,610,610-125-032,610-125-032-<END>,002-610-125-032,032,<END>,repeated_610_125_032_title_template,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,235,390,390-125-632-032,390-125-632-032,002-390-125-632,632,032,title_tail_390_125_632_032,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,2569.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,235,405,405-125-820,405-125-820-<END>,002-405-125-820,820,<END>,p086_125_820_title_template,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,484,390,390-125-632-032-900-563,390-125-632-032,002-390-125-632,632,032,title_tail_390_125_632_032,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-354,2850.1,Mohenjo-daro,SEAL:R,None,None,236,906,906-125,906-125-<END>-<END>,002-906-125-<END>,<END>,<END>,governed_125_template_singleton,+740-729-407-845-236-002-906-125+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,235,390,390-125-195,390-125-195-<END>,002-390-125-195,195,<END>,governed_125_template_singleton,+740-760-235-002-390-125-195+
2026-05-31,M-761,3184.1,Mohenjo-daro,SEAL:S,Bull1,-,<START>,741,741-455-125,741-455-125-<END>,741-455-125-<END>,<END>,<END>,governed_125_template_singleton,]002-741-455-125+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,004,390,390-125-820,390-125-820-<END>,002-390-125-820,820,<END>,p086_125_820_title_template,+390-004-002-390-125-820+
2026-05-31,M-2055,4030.1,Mohenjo-daro,TAB:C,None,None,<START>,407,407-125-590-831,407-125-590-831,002-407-125-590,590,831,governed_125_template_singleton,+002-407-125-590-831+
2026-05-31,Ns-60,5361.1,Nausharo,SEAL:R,None,None,798,297,297-350-125-413,297-350-125-413,297-350-125-413,413,<END>,repeated_297_350_125_413_title_template,+407-063-740-176-236-798-002-297-350-125-413+
