checked_date,head,frames,takes_x_rate,x_terminal_rate,x_continuing_rate,dominant_x,dominant_x_rate,x_distribution,prior_head_class,valency_class,parser_pressure
2026-05-31,000,8,3/8,3/8,0/8,<END>,5/8,<END>:5;215:1;216:1;350:1,low_support_or_mixed,mixed_or_low_signal,too mixed
2026-05-31,031,5,5/5,5/5,0/5,000,1/5,000:1;165:1;502:1;575:1;892:1,branch_taking_terminal_head,terminal_x_head,predicts X is always terminal
2026-05-31,220,4,4/4,0/4,4/4,455,2/4,455:2;065:1;880:1,branch_bearing_head,open_x_head,predicts X is never terminal
2026-05-31,368,5,5/5,3/5,2/5,119,1/5,119:1;165:1;202:1;518:1;906:1,branch_bearing_head,mixed_x_head,requires sign-specific X subrules
2026-05-31,374,4,4/4,2/4,2/4,228,1/4,228:1;309:1;575:1;840:1,branch_bearing_head,mixed_x_head,requires sign-specific X subrules
2026-05-31,390,8,8/8,5/8,3/8,125,3/8,125:3;095:1;140:1;346:1;692:1;707:1,branch_selector_candidate,mixed_x_head,requires sign-specific X subrules
2026-05-31,817,65,4/65,1/65,3/65,<END>,61/65,<END>:61;000:1;090:1;192:1;690:1,terminal_default_head,terminal_default_head,usually no X slot
2026-05-31,820,34,5/34,4/34,1/34,<END>,29/34,<END>:29;741:2;000:1;001:1;700:1,terminal_default_head,terminal_default_head,usually no X slot
2026-05-31,824,3,0/3,0/3,0/3,<END>,3/3,<END>:3,terminal_default_head,terminal_default_head,usually no X slot
2026-05-31,861,67,10/67,7/67,3/67,<END>,57/67,<END>:57;603:2;698:2;031:1;032:1;036:1;255:1;683:1,terminal_default_head,terminal_default_head,usually no X slot
