full_left,rows,heads,branch_rows,branches,objects,target_objects,has_post002_head_alternation,has_002390_branch_alternation
090 740 220 003,1,390:1,1,072:1,H-68:390->390 072,H-68,no,no
151 032 388,1,390:1,1,705:1,-:390->390 705,-,no,no
151 279 142,1,390:1,1,095:1,M-71:390->390 095,M-71,no,no
151 337 484,1,390:1,1,125:1,M-119:390->390 125 632 032 900 563,M-119,no,no
157 031,1,390:1,1,705:1,M-1825:390->390 705,M-1825,no,no
226 032,1,390:1,1,692:1,M-70:390->390 692,M-70,no,no
236,6,861:3; 308:1; 390:1; 820:1,1,707:1,B-17:308->308 072; -:820->820; L-130:861->861; L-131:861->861; L-202:861->861; M-232:390->390 707,M-232,yes,no
390 004,10,817:4; 861:2; 031:1; 390:1; 705:1; 820:1,1,125:1,H-2003:817->817; -:817->817; H-55:861->861 125; M-1844:817->817; M-1750:861->861; M-984:817->817; M-103:820->820; Sktd-1:390->390 125 820; -:705->705 127; M-1823:031->031 376,Sktd-1,yes,no
740 000 220 004,1,390:1,1,095:1,H-1993:390->390 095,H-1993,no,no
740 061,7,817:2; 390:1; 400:1; 455:1; 575:1; 703:1,1,140:1,H-1671:455->455 420 032; H-2338:575->575 000; M-1787:703->703 000; M-204:817->817; M-708:390->390 140; M-823:817->817; M-1135:400->400 703,M-708,yes,no
740 205 032,2,252:1; 390:1,1,590:1,M-143:252->252 840; -:390->390 590 032,-,yes,no
740 384,2,390:1; 629:1,1,346:1,M-213:390->390 346; -:629->629 279,M-213,yes,no
740 690 435 255 220 032 240 235,1,390:1,1,125:1,M-38:390->390 125 632 032,M-38,no,no
740 760 235,2,390:1; 861:1,1,125:1,M-47:861->861; M-735:390->390 125 195,M-735,yes,no
740 798 803,2,000:1; 390:1,1,530:1,H-773:390->390 530 741; L-205:000->000,H-773,yes,no
