bigram,n,best_window_start,best_window_end,best_hit,best_share,numeric_successors
741-060,31,913,920,31,1,31
752-615,29,496,503,29,1,29
740-407,16,583,590,16,1,16
154-806,16,467,474,16,1,16
740-390,41,583,590,40,0.975609756097561,40
690-435,30,248,255,29,0.9666666666666667,30
740-405,22,583,590,21,0.9545454545454546,21
407-061,22,838,845,20,0.9090909090909091,22
002-405,32,494,501,29,0.90625,32
740-840,16,006,013,14,0.875,16
520-033,47,699,706,41,0.8723404255319149,47
740-690,43,429,436,31,0.7209302325581395,41
061-845,20,799,806,14,0.7,20
740-240,21,228,235,14,0.6666666666666666,21
740-048,17,000,007,11,0.6470588235294118,17
520-240,45,000,007,29,0.6444444444444445,38
740-752,47,608,615,29,0.6170212765957447,46
407-590,18,683,690,11,0.6111111111111112,15
740-032,51,838,845,31,0.6078431372549019,50
407-845,24,026,033,14,0.5833333333333334,24
033-705,82,233,240,47,0.573170731707317,73
740-222,16,228,235,9,0.5625,14
705-233,16,233,240,9,0.5625,14
390-003,27,000,007,15,0.5555555555555556,20
740-585,22,010,017,12,0.5454545454545454,22
740-482,24,233,240,13,0.5416666666666666,23
390-004,22,000,007,11,0.5,18
590-235,17,799,806,8,0.47058823529411764,13
520-220,56,408,415,25,0.44642857142857145,52
740-900,36,000,007,16,0.4444444444444444,36
740-061,18,000,007,8,0.4444444444444444,12
405-590,23,228,235,10,0.43478260869565216,20
240-002,71,398,405,29,0.4084507042253521,71
220-415,70,796,803,28,0.4,44
740-904,20,233,240,8,0.4,20
004-002,20,813,820,8,0.4,20
220-032,51,000,007,20,0.39215686274509803,37
740-923,34,026,033,13,0.38235294117647056,31
803-002,29,813,820,11,0.3793103448275862,29
001-740,19,916,923,7,0.3684210526315789,19
233-002,19,810,817,7,0.3684210526315789,19
235-002,31,817,824,11,0.3548387096774194,31
032-002,34,813,820,12,0.35294117647058826,34
527-550,20,233,240,7,0.35,17
740-100,87,408,415,29,0.3333333333333333,85
003-002,25,813,820,8,0.32,25
740-803,16,228,235,5,0.3125,12
740-384,16,026,033,5,0.3125,12
033-706,39,233,240,12,0.3076923076923077,25
617-142,26,590,597,8,0.3076923076923077,19
233-235,20,801,808,6,0.3,13
100-176,17,415,422,5,0.29411764705882354,14
740-798,35,228,235,10,0.2857142857142857,33
585-017,28,224,231,8,0.2857142857142857,21
400-740,177,171,178,49,0.2768361581920904,176
740-220,44,053,060,12,0.2727272727272727,41
520-233,22,233,240,6,0.2727272727272727,16
090-740,100,215,222,25,0.25,100
390-590,55,233,240,13,0.23636363636363636,47
240-798,18,000,007,4,0.2222222222222222,7
740-388,18,578,585,4,0.2222222222222222,14
100-415,34,000,007,7,0.20588235294117646,25
636-240,16,024,031,3,0.1875,8
240-235,39,583,590,7,0.1794871794871795,27
235-806,17,000,007,3,0.17647058823529413,3
415-798,17,000,007,3,0.17647058823529413,10
220-003,18,000,007,3,0.16666666666666666,9
840-013,16,233,240,2,0.125,5
740-176,121,233,240,15,0.12396694214876033,70
032-840,35,228,235,4,0.11428571428571428,21
740-760,84,598,605,9,0.10714285714285714,83
435-255,48,000,007,5,0.10416666666666667,25
705-235,20,233,240,2,0.1,4
032-700,23,598,605,2,0.08695652173913043,3
700-033,144,704,711,10,0.06944444444444445,16
575-413,16,733,740,1,0.0625,1
060-692,36,513,520,2,0.05555555555555555,5
002-861,141,409,416,6,0.0425531914893617,30
060-550,27,604,611,1,0.037037037037037035,1
033-700,33,843,850,1,0.030303030303030304,1
156-003,36,024,031,1,0.027777777777777776,5
615-503,36,000,007,1,0.027777777777777776,1
002-820,76,734,741,2,0.02631578947368421,5
700-032,94,733,740,2,0.02127659574468085,5
060-920,53,024,031,1,0.018867924528301886,1
700-034,113,000,007,1,0.008849557522123894,3
002-817,123,083,090,1,0.008130081300813009,3
368-817,17,000,007,0,0,0
060-820,23,000,007,0,0,0
861-003,29,000,007,0,0,0
405-501,29,000,007,0,0,0
