"policy","collapse_policy","source_rows","evaluated_rows","model","masked_tokens","top1","top1_accuracy","top5","top5_accuracy","mrr"
"no_edge_removal","exact_sequence_collapsed_after_edge_policy","2887","1798","frequency","8212","885","0.107769","1965","0.239284","0.187476"
"no_edge_removal","exact_sequence_collapsed_after_edge_policy","2887","1798","position","8212","1241","0.15112","2641","0.321603","0.238405"
"no_edge_removal","exact_sequence_collapsed_after_edge_policy","2887","1798","length_position","8212","1270","0.154652","2935","0.357404","0.253918"
"no_edge_removal","exact_sequence_collapsed_after_edge_policy","2887","1798","bidirectional_bigram","8212","2676","0.325865","4663","0.567828","0.438744"
"remove_top_2_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1783","frequency","7239","454","0.062716","1247","0.172261","0.133154"
"remove_top_2_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1783","position","7239","651","0.08993","1856","0.256389","0.177496"
"remove_top_2_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1783","length_position","7239","827","0.114242","2068","0.285675","0.204736"
"remove_top_2_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1783","bidirectional_bigram","7239","2013","0.278077","3683","0.508772","0.386566"
"remove_top_5_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1720","frequency","6636","452","0.068113","1041","0.156872","0.137695"
"remove_top_5_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1720","position","6636","550","0.082881","1547","0.233122","0.167666"
"remove_top_5_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1720","length_position","6636","619","0.093279","1855","0.279536","0.185871"
"remove_top_5_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1720","bidirectional_bigram","6636","1658","0.249849","3202","0.48252","0.358006"
"remove_top_10_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1658","frequency","5913","428","0.072383","1075","0.181803","0.141158"
"remove_top_10_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1658","position","5913","523","0.088449","1356","0.229325","0.171833"
"remove_top_10_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1658","length_position","5913","547","0.092508","1377","0.232877","0.174078"
"remove_top_10_edge_signs","exact_sequence_collapsed_after_edge_policy","2887","1658","bidirectional_bigram","5913","1314","0.222222","2606","0.440724","0.325997"
