checked_date,set_name,predictor,rows,covered,coverage_rate,correct,wrong,accuracy
2026-05-31,raw,head_x_pair,316,121,0.382911,116,5,0.958678
2026-05-31,raw,x_slot_sign,316,247,0.781646,189,58,0.765182
2026-05-31,raw,scope_cell,316,275,0.870253,191,84,0.694545
2026-05-31,raw,scope_x,316,137,0.433544,113,24,0.824818
2026-05-31,collapse_scope_pair_tail,head_x_pair,270,69,0.255556,63,6,0.913043
2026-05-31,collapse_scope_pair_tail,x_slot_sign,270,197,0.729630,138,59,0.700508
2026-05-31,collapse_scope_pair_tail,scope_cell,270,224,0.829630,141,83,0.629464
2026-05-31,collapse_scope_pair_tail,scope_x,270,78,0.288889,54,24,0.692308
2026-05-31,collapse_scope_pair,head_x_pair,266,65,0.244361,59,6,0.907692
2026-05-31,collapse_scope_pair,x_slot_sign,266,193,0.725564,134,59,0.694301
2026-05-31,collapse_scope_pair,scope_cell,266,220,0.827068,141,79,0.640909
2026-05-31,collapse_scope_pair,scope_x,266,73,0.274436,49,24,0.671233
2026-05-31,collapse_pair_tail,head_x_pair,243,18,0.074074,12,6,0.666667
2026-05-31,collapse_pair_tail,x_slot_sign,243,165,0.679012,101,64,0.612121
2026-05-31,collapse_pair_tail,scope_cell,243,197,0.810700,126,71,0.639594
2026-05-31,collapse_pair_tail,scope_x,243,68,0.279835,48,20,0.705882
2026-05-31,collapse_pair,head_x_pair,231,0,0.000000,0,0,
2026-05-31,collapse_pair,x_slot_sign,231,150,0.649351,87,63,0.580000
2026-05-31,collapse_pair,scope_cell,231,187,0.809524,124,63,0.663102
2026-05-31,collapse_pair,scope_x,231,62,0.268398,41,21,0.661290
