"target","role","label","label_families","proxy_kind","proxy_field","top_proxy_value","top_proxy_count","proxy_total_for_label","top_proxy_share"
"vertical_bin","dimension_anchor","v_000_010","305","metadata","phase","B/C","84","230","0.365217"
"vertical_bin","dimension_anchor","v_000_010","305","metadata","direction","R/L","269","305","0.881967"
"vertical_bin","dimension_anchor","v_000_010","305","metadata","horizontal_bin","h_015_025","172","299","0.575251"
"vertical_bin","dimension_anchor","v_000_010","305","metadata","thickness_bin","th_000_003","75","149","0.503356"
"vertical_bin","dimension_anchor","v_000_010","305","metadata","area_bin","area_0000_0200","267","299","0.892977"
"vertical_bin","dimension_anchor","v_000_010","305","metadata","aspect_bin","aspect_wide","144","299","0.481605"
"vertical_bin","dimension_anchor","v_000_010","305","sign","first_sign","400","87","305","0.285246"
"vertical_bin","dimension_anchor","v_000_010","305","sign","last_sign","240","17","305","0.055738"
"vertical_bin","dimension_anchor","v_000_010","305","sign","edge_frame","400...240","9","305","0.029508"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","length","6","49","269","0.182156"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","type","SEAL:S","259","269","0.962825"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","site","Mohenjo-daro","188","269","0.698885"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","region","Lower Indus","202","269","0.750929"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","material","Steatite","237","249","0.951807"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","shape","square","262","263","0.996198"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","symbol","Bull1:W","154","264","0.583333"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","cult","SAN","117","212","0.551887"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","period","Intermediate","43","102","0.421569"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","phase","III","43","130","0.330769"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","direction","R/L","265","269","0.98513"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","horizontal_bin","h_025_035","143","267","0.535581"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","thickness_bin","th_007_012","84","120","0.7"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","area_bin","area_gt_1000","214","267","0.801498"
"vertical_bin","dimension_anchor","v_gt_030","269","metadata","aspect_bin","aspect_squareish","263","267","0.985019"
"vertical_bin","dimension_anchor","v_gt_030","269","sign","first_sign","740","106","269","0.394052"
"vertical_bin","dimension_anchor","v_gt_030","269","sign","last_sign","820","23","269","0.085502"
"vertical_bin","dimension_anchor","v_gt_030","269","sign","edge_frame","740...820","16","269","0.05948"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","length","5","84","368","0.228261"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","type","SEAL:S","275","368","0.747283"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","site","Mohenjo-daro","319","368","0.866848"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","region","Lower Indus","325","368","0.883152"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","material","Steatite","312","353","0.883853"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","shape","square","277","364","0.760989"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","symbol","Bull1:W","76","290","0.262069"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","cult","SAN","136","228","0.596491"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","period","Intermediate","150","322","0.465839"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","phase","III","119","324","0.367284"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","direction","R/L","363","368","0.986413"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","horizontal_bin","h_025_035","210","366","0.57377"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","vertical_bin","v_020_030","169","344","0.491279"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","area_bin","area_0500_1000","196","344","0.569767"
"thickness_bin","dimension_anchor","th_007_012","368","metadata","aspect_bin","aspect_squareish","265","344","0.770349"
"thickness_bin","dimension_anchor","th_007_012","368","sign","first_sign","740","140","368","0.380435"
"thickness_bin","dimension_anchor","th_007_012","368","sign","last_sign","817","27","368","0.07337"
"thickness_bin","dimension_anchor","th_007_012","368","sign","edge_frame","740...817","13","368","0.035326"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","length","3","75","317","0.236593"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","type","SEAL:S","175","317","0.55205"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","site","Mohenjo-daro","160","317","0.504732"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","region","Lower Indus","166","317","0.523659"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","material","Steatite","203","306","0.663399"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","shape","square","182","314","0.579618"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","symbol","Bull1:J","31","222","0.13964"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","cult","SAN","79","155","0.509677"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","period","3","91","268","0.339552"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","phase","I","58","264","0.219697"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","direction","R/L","298","317","0.940063"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","horizontal_bin","h_015_025","195","309","0.631068"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","vertical_bin","v_010_020","123","304","0.404605"
