leave_site,edge,tier,exact_cells,terminal_cells,terminal_share,remaining_sites,remaining_types
NONE,002-817,strict,108,105,0.9722222222222222,10,9
NONE,002-820,strict,75,70,0.9333333333333333,7,6
NONE,002-861,near_leaky,126,102,0.8095238095238095,8,9
NONE,060-920,strict,52,51,0.9807692307692307,9,7
NONE,060-550,strict,24,23,0.9583333333333334,4,6
NONE,060-820,strict,23,23,1,5,4
NONE,060-692,near_leaky,33,28,0.8484848484848485,5,4
Alamgirpur,002-817,strict,108,105,0.9722222222222222,10,9
Alamgirpur,002-820,strict,75,70,0.9333333333333333,7,6
Alamgirpur,002-861,near_leaky,126,102,0.8095238095238095,8,9
Alamgirpur,060-920,strict,52,51,0.9807692307692307,9,7
Alamgirpur,060-550,strict,24,23,0.9583333333333334,4,6
Alamgirpur,060-820,strict,23,23,1,5,4
Alamgirpur,060-692,near_leaky,33,28,0.8484848484848485,5,4
Allahdino,002-817,strict,108,105,0.9722222222222222,10,9
Allahdino,002-820,strict,75,70,0.9333333333333333,7,6
Allahdino,002-861,near_leaky,126,102,0.8095238095238095,8,9
Allahdino,060-920,strict,52,51,0.9807692307692307,9,7
Allahdino,060-550,strict,24,23,0.9583333333333334,4,6
Allahdino,060-820,strict,23,23,1,5,4
Allahdino,060-692,near_leaky,33,28,0.8484848484848485,5,4
Altyn Depe,002-817,strict,108,105,0.9722222222222222,10,9
Altyn Depe,002-820,strict,75,70,0.9333333333333333,7,6
Altyn Depe,002-861,near_leaky,126,102,0.8095238095238095,8,9
Altyn Depe,060-920,strict,52,51,0.9807692307692307,9,7
Altyn Depe,060-550,strict,24,23,0.9583333333333334,4,6
Altyn Depe,060-820,strict,23,23,1,5,4
Altyn Depe,060-692,near_leaky,33,28,0.8484848484848485,5,4
Amri,002-817,strict,108,105,0.9722222222222222,10,9
Amri,002-820,strict,75,70,0.9333333333333333,7,6
Amri,002-861,near_leaky,126,102,0.8095238095238095,8,9
Amri,060-920,strict,52,51,0.9807692307692307,9,7
Amri,060-550,strict,24,23,0.9583333333333334,4,6
Amri,060-820,strict,23,23,1,5,4
Amri,060-692,near_leaky,33,28,0.8484848484848485,5,4
Bakkar Buthi,002-817,strict,108,105,0.9722222222222222,10,9
Bakkar Buthi,002-820,strict,75,70,0.9333333333333333,7,6
Bakkar Buthi,002-861,near_leaky,125,101,0.808,7,9
Bakkar Buthi,060-920,strict,52,51,0.9807692307692307,9,7
Bakkar Buthi,060-550,strict,24,23,0.9583333333333334,4,6
Bakkar Buthi,060-820,strict,23,23,1,5,4
Bakkar Buthi,060-692,near_leaky,33,28,0.8484848484848485,5,4
Bala-kot,002-817,strict,108,105,0.9722222222222222,10,9
Bala-kot,002-820,strict,75,70,0.9333333333333333,7,6
Bala-kot,002-861,near_leaky,126,102,0.8095238095238095,8,9
Bala-kot,060-920,strict,52,51,0.9807692307692307,9,7
Bala-kot,060-550,strict,24,23,0.9583333333333334,4,6
Bala-kot,060-820,strict,23,23,1,5,4
Bala-kot,060-692,near_leaky,33,28,0.8484848484848485,5,4
Banawali,002-817,strict,105,102,0.9714285714285714,9,9
Banawali,002-820,strict,75,70,0.9333333333333333,7,6
Banawali,002-861,near_leaky,126,102,0.8095238095238095,8,9
Banawali,060-920,strict,52,51,0.9807692307692307,9,7
Banawali,060-550,strict,24,23,0.9583333333333334,4,6
Banawali,060-820,strict,23,23,1,5,4
Banawali,060-692,near_leaky,32,27,0.84375,4,4
Bhirrana,002-817,strict,108,105,0.9722222222222222,10,9
Bhirrana,002-820,strict,74,69,0.9324324324324325,6,6
Bhirrana,002-861,near_leaky,126,102,0.8095238095238095,8,9
Bhirrana,060-920,strict,52,51,0.9807692307692307,9,7
Bhirrana,060-550,strict,24,23,0.9583333333333334,4,6
Bhirrana,060-820,strict,23,23,1,5,4
Bhirrana,060-692,near_leaky,33,28,0.8484848484848485,5,4
Chandigarh,002-817,strict,108,105,0.9722222222222222,10,9
Chandigarh,002-820,strict,75,70,0.9333333333333333,7,6
Chandigarh,002-861,near_leaky,126,102,0.8095238095238095,8,9
Chandigarh,060-920,strict,52,51,0.9807692307692307,9,7
Chandigarh,060-550,strict,24,23,0.9583333333333334,4,6
Chandigarh,060-820,strict,23,23,1,5,4
Chandigarh,060-692,near_leaky,33,28,0.8484848484848485,5,4
Chanhu-daro,002-817,strict,103,100,0.970873786407767,9,9
Chanhu-daro,002-820,strict,75,70,0.9333333333333333,7,6
Chanhu-daro,002-861,near_leaky,123,99,0.8048780487804879,7,9
Chanhu-daro,060-920,strict,48,47,0.9791666666666666,8,7
Chanhu-daro,060-550,strict,24,23,0.9583333333333334,4,6
Chanhu-daro,060-820,strict,23,23,1,5,4
Chanhu-daro,060-692,near_leaky,32,27,0.84375,4,4
