"before_pair","count","categories","top_next1","terminal_share","top_sites","example_ids"
"<START>-<START>","95","outside_a_220_x_032:95","<END>:47;700:20;031:8;820:4;032:3;840:3;000:2;999:2","0.494737","Harappa:66;Mohenjo-daro:10;Chanhu-daro:7;Dholavira:7;Kalibangan:4","70.1;71.1;72.1;73.1;74.1;112.1;116.1;326.1;328.1;332.1"
"<START>-700","95","outside_a_220_x_032:95","<END>:89;740:2;000:1;220:1;390:1;690:1","0.936842","Harappa:93;Kalibangan:1;Unknown:1","229.2;249.2;255.1;257.2;270.2;273.2;280.2;282.1;313.2;317.2"
"<START>-740","40","outside_a_220_x_032:40","840:30;000:2;025:1;028:1;029:1;055:1;059:1;165:1","0","Harappa:22;Mohenjo-daro:13;Lothal:2;Chanhu-daro:1;Dholavira:1","82.1;535.1;535.2;694.1;871.2;877.2;1054.2;1124.1;1144.1;1172.1"
"400-740","16","outside_a_220_x_032:16","027:5;028:3;<END>:1;000:1;014:1;015:1;025:1;059:1","0.0625","Harappa:16","490.2;544.2;549.2;567.2;630.2;638.2;640.2;659.2;1325.1;1344.1"
"<START>-407","9","outside_a_220_x_032:9","520:9","0","Mohenjo-daro:9","2284.2;3019.1;3020.1;3021.1;3791.1;3792.1;3793.1;3794.1;5587.1"
"142-597","9","outside_a_220_x_032:9","905:8;904:1","0","Mohenjo-daro:9","3045.1;3046.1;3047.1;3778.1;3779.1;3780.1;3781.1;3782.2;4028.1"
"240-220","9","target_240_220_032:9","002:5;<END>:2;368:1;806:1","0.222222","Mohenjo-daro:7;Chanhu-daro:1;Harappa:1","62.1;920.1;2417.1;2577.1;2763.1;2837.1;3081.1;3146.1;3572.1"
"<START>-226","7","outside_a_220_x_032:7","<END>:1;002:1;060:1;231:1;741:1;798:1;803:1","0.142857","Mohenjo-daro:6;Harappa:1","2349.1;2585.1;2590.1;2598.1;2883.1;3224.1;4090.1"
"740-877","7","outside_a_220_x_032:7","<END>:3;235:2;033:1;233:1","0.428571","Harappa:3;Mohenjo-daro:3;Rupar:1","1087.1;1184.1;1533.1;2584.1;2741.1;2851.1;3872.1"
"<START>-824","4","outside_a_220_x_032:4","578:4","0","Harappa:4","222.1;407.2;484.2;1379.1"
