id,object,site,type,symbol,cult,full_left,left_last1,left_last2,after_002_head,after_002_tail,branch_after_390,tail_after_branch,terminal_after_branch,is_002390,source_status,text
13.1,Ad-8,Allahdino,MISC,Elep,SAN,740 440 503,503,440 503,861,861 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-440-503-002-861-000+
18.1,-,Bakkar Buthi,POT:T:g,None,None,405 844 032 840,840,032 840,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+405-844-032-840-002-861+
19.1,Blk-1,Bala-kot,SEAL:S,Bull1,-,226 003,003,226 003,297,297 350 125 413,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+226-003-002-297-350-125-413+
20.1,Blk-2,Bala-kot,SEAL:S,Bull1,R,390 717 061,061,717 061,368,368 634,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+390-717-061-002-368-634+
27.1,B-1,Banawali,SEAL:S,Bull1:O,HAF,090 740 220,220,740 220,368,368 550 821,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+090-740-220-002-368-550-821+
30.1,B-5,Banawali,SEAL:S,Bull3,None,<START>,<START>,<START>,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-817+
31.1,B-7,Banawali,SEAL:S,Buff,None,<START>,<START>,<START>,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-817+
36.1,B-15,Banawali,SEAL:S,Rhin,None,<START>,<START>,<START>,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-817+
37.1,B-17,Banawali,SEAL:S,Htgr,HBF,236,236,236,308,308 072,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+236-002-308-072+
38.1,B-18,Banawali,SEAL:S,-,-,000,000,000,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-002-861+
41.1,B-23,Banawali,TAG,Scene,None,520 220,220,520 220,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-220-002[
