checked_date,complement,global_rows,global_terminal,global_terminal_share,branch_rows,branch_terminal,branch_terminal_share,branch_heads,head_rows,head_terminal,head_terminal_share,head_branches,classification
2026-05-31,000,1324,502,0.379154,27,24,0.888889,000:3;575:3;817:3;031:2;820:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1,11,8,0.727273,000:3;090:2;031:1;215:1;216:1;317:1;350:1;861:1,branch_terminal_class
2026-05-31,032,360,88,0.244444,7,4,0.571429,168:1;172:1;305:1;817:1;840:1;861:1;862:1,0,0,NA,,not_terminal_class
2026-05-31,125,56,15,0.267857,11,2,0.181818,390:4;610:2;190:1;405:1;407:1;861:1;906:1,2,2,1.000000,350:1;590:1,head_terminal_class
2026-05-31,741,200,23,0.115000,4,4,1.000000,298:2;820:2,3,0,0.000000,060:2;455:1,branch_terminal_class
2026-05-31,820,215,156,0.725581,3,3,1.000000,031:1;060:1;717:1,8,6,0.750000,000:2;741:2;001:1;033:1;700:1;906:1,branch_terminal_class
2026-05-31,900,85,18,0.211765,0,0,NA,,5,3,0.600000,003:2;285:1;615:1;630:1,not_terminal_class
2026-05-31,904,56,7,0.125000,0,0,NA,,1,1,1.000000,346:1,head_terminal_class
