feature,nonbare_mi_bits,tail_class_mi_bits,tail_identity_mi_bits
prefix,0.737562,0.986610,1.559061
prefix_last3,0.723673,0.972721,1.545172
prefix_last2,0.673069,0.908228,1.480679
prefix_last1,0.409266,0.616648,1.175210
register_key,0.424267,0.615921,1.195453
broad_register_key,0.398909,0.568028,1.147560
text_length,0.237409,0.389235,0.820959
prefix_len,0.227883,0.330269,0.761993
type,0.174622,0.260607,0.551142
symbol,0.114282,0.190456,0.591449
shape,0.064288,0.158851,0.384531
site,0.049976,0.096645,0.389378
