policy,cisi,length,sequence
raw_lipi_numeric,M-1,5,L001 L368 L861 L255 L371
raw_lipi_numeric,M-3,3,L717 L032 L521
raw_lipi_numeric,M-5,6,L740 L773 L240 L235 L060 L692
raw_lipi_numeric,M-6,4,L820 L880 L065 L244
raw_lipi_numeric,M-8,3,L706 L140 L632
raw_lipi_numeric,M-9,3,L031 L311 L745
raw_lipi_numeric,M-12,9,L740 L390 L590 L233 L002 L368 L202 L892 L371
raw_lipi_numeric,M-13,3,L368 L304 L125
raw_lipi_numeric,M-14,5,L740 L776 L503 L002 L817
raw_lipi_numeric,M-15,5,L090 L740 L176 L002 L861
raw_lipi_numeric,M-16,4,L820 L130 L035 L171
raw_lipi_numeric,M-17,5,L390 L016 L002 L814 L560
raw_lipi_numeric,M-18,3,L932 L740 L055
raw_lipi_numeric,M-21,8,L350 L001 L740 L362 L692 L032 L002 L861
raw_lipi_numeric,M-24,7,L090 L740 L240 L235 L002 L906 L140
raw_lipi_numeric,M-26,5,L090 L740 L531 L060 L692
raw_lipi_numeric,M-29,9,L740 L055 L240 L235 L806 L002 L220 L455 L503
raw_lipi_numeric,M-30,7,L740 L752 L017 L503 L240 L235 L806
raw_lipi_numeric,M-31,6,L740 L269 L511 L233 L060 L820
raw_lipi_numeric,M-32,4,L390 L003 L002 L817
raw_lipi_numeric,M-33,7,L740 L032 L923 L382 L233 L002 L112
raw_lipi_numeric,M-34,7,L740 L336 L176 L002 L405 L372 L374
raw_lipi_numeric,M-35,7,L740 L390 L590 L233 L231 L002 L107
raw_lipi_numeric,M-36,9,L740 L794 L630 L220 L032 L002 L368 L906 L329
raw_lipi_numeric,M-37,3,L520 L220 L415
raw_lipi_numeric,M-38,13,L740 L690 L435 L255 L220 L032 L240 L235 L002 L390 L125 L632 L032
raw_lipi_numeric,M-40,5,L391 L002 L527 L475 L005
raw_lipi_numeric,M-42,5,L527 L550 L240 L002 L817
raw_lipi_numeric,M-43,6,L740 L798 L231 L002 L055 L373
raw_lipi_numeric,M-44,8,L740 L760 L033 L705 L803 L002 L920 L317
raw_lipi_numeric,M-46,8,L740 L798 L240 L235 L002 L220 L065 L215
raw_lipi_numeric,M-47,5,L740 L760 L235 L002 L861
raw_lipi_numeric,M-48,6,L390 L820 L463 L060 L368 L920
raw_lipi_numeric,M-51,8,L740 L798 L460 L350 L235 L741 L390 L140
raw_lipi_numeric,M-52,10,L740 L904 L032 L220 L415 L235 L803 L002 L504 L717
raw_lipi_numeric,M-53,9,L090 L740 L220 L016 L002 L297 L190 L920 L140
raw_lipi_numeric,M-54,7,L236 L240 L033 L705 L798 L002 L820
raw_lipi_numeric,M-56,8,L740 L877 L032 L235 L060 L550 L611 L840
raw_lipi_numeric,M-57,6,L226 L032 L231 L798 L002 L693
raw_lipi_numeric,M-58,5,L740 L460 L503 L002 L817
raw_lipi_numeric,M-59,5,L368 L003 L742 L060 L920
raw_lipi_numeric,M-63,4,L526 L555 L060 L550
raw_lipi_numeric,M-64,6,L520 L033 L706 L060 L220 L004
raw_lipi_numeric,M-65,6,L520 L220 L031 L001 L706 L575
raw_lipi_numeric,M-69,5,L740 L803 L231 L060 L692
raw_lipi_numeric,M-70,5,L226 L032 L002 L390 L692
raw_lipi_numeric,M-71,6,L151 L279 L142 L002 L390 L095
raw_lipi_numeric,M-74,4,L595 L575 L704 L140
raw_lipi_numeric,M-75,5,L520 L220 L004 L002 L817
raw_lipi_numeric,M-77,5,L832 L390 L803 L002 L861
raw_lipi_numeric,M-78,4,L740 L344 L032 L545
raw_lipi_numeric,M-80,5,L156 L003 L060 L368 L817
raw_lipi_numeric,M-82,6,L740 L222 L002 L207 L550 L390
raw_lipi_numeric,M-83,3,L390 L018 L796
raw_lipi_numeric,M-84,6,L740 L765 L240 L001 L368 L920
raw_lipi_numeric,M-85,5,L520 L233 L741 L081 L272
raw_lipi_numeric,M-86,7,L520 L033 L705 L231 L002 L820 L700
raw_lipi_numeric,M-87,3,L400 L890 L104
raw_lipi_numeric,M-88,3,L527 L388 L233
raw_lipi_numeric,M-89,5,L740 L794 L734 L032 L235
raw_lipi_numeric,M-90,6,L740 L840 L013 L031 L002 L817
raw_lipi_numeric,M-91,9,L740 L100 L798 L220 L032 L002 L861 L255 L416
raw_lipi_numeric,M-92,7,L740 L798 L460 L350 L002 L814 L084
raw_lipi_numeric,M-93,5,L156 L003 L240 L741 L345
raw_lipi_numeric,M-94,5,L740 L390 L590 L220 L003
raw_lipi_numeric,M-95,5,L390 L003 L002 L111 L165
raw_lipi_numeric,M-96,2,L156 L004
raw_lipi_numeric,M-97,3,L156 L435 L255
raw_lipi_numeric,M-99,5,L740 L215 L002 L368 L119
raw_lipi_numeric,M-100,6,L090 L740 L255 L705 L002 L861
raw_lipi_numeric,M-101,6,L390 L503 L740 L168 L002 L817
raw_lipi_numeric,M-102,4,L154 L003 L900 L545
raw_lipi_numeric,M-103,4,L390 L004 L002 L820
raw_lipi_numeric,M-104,5,L090 L740 L220 L235 L853
raw_lipi_numeric,M-107,6,L740 L565 L233 L002 L940 L260
raw_lipi_numeric,M-108,7,L413 L820 L220 L065 L798 L550 L820
raw_lipi_numeric,M-109,7,L740 L879 L220 L415 L002 L287 L140
raw_lipi_numeric,M-112,8,L740 L760 L220 L016 L382 L741 L572 L684
raw_lipi_numeric,M-113,6,L740 L032 L840 L741 L060 L920
raw_lipi_numeric,M-114,6,L740 L760 L440 L002 L297 L416
raw_lipi_numeric,M-115,8,L390 L844 L140 L176 L803 L002 L301 L190
raw_lipi_numeric,M-116,7,L740 L100 L176 L840 L013 L002 L817
raw_lipi_numeric,M-117,8,L520 L033 L705 L220 L803 L055 L002 L820
raw_lipi_numeric,M-118,8,L740 L772 L033 L705 L233 L803 L002 L861
raw_lipi_numeric,M-119,10,L151 L337 L484 L002 L390 L125 L632 L032 L900 L563
raw_lipi_numeric,M-121,5,L740 L900 L790 L233 L798
raw_lipi_numeric,M-122,3,L520 L033 L705
raw_lipi_numeric,M-123,4,L400 L093 L368 L072
raw_lipi_numeric,M-124,4,L740 L923 L220 L032
raw_lipi_numeric,M-127,5,L565 L740 L220 L741 L176
raw_lipi_numeric,M-128,6,L740 L923 L803 L741 L500 L705
raw_lipi_numeric,M-129,6,L520 L233 L240 L235 L741 L360
raw_lipi_numeric,M-130,6,L740 L094 L220 L032 L002 L144
raw_lipi_numeric,M-131,6,L740 L390 L590 L741 L390 L790
raw_lipi_numeric,M-132,3,L156 L003 L545
raw_lipi_numeric,M-133,8,L527 L550 L240 L220 L255 L812 L906 L388
raw_lipi_numeric,M-134,3,L872 L032 L692
raw_lipi_numeric,M-135,4,L520 L033 L705 L031
raw_lipi_numeric,M-136,7,L090 L740 L220 L016 L031 L908 L545
raw_lipi_numeric,M-138,3,L740 L900 L005
raw_lipi_numeric,M-139,5,L033 L832 L236 L741 L361
raw_lipi_numeric,M-140,7,L740 L336 L002 L220 L065 L440 L455
raw_lipi_numeric,M-142,4,L136 L140 L002 L861
raw_lipi_numeric,M-143,6,L740 L205 L032 L002 L252 L840
raw_lipi_numeric,M-144,6,L740 L100 L415 L240 L002 L817
raw_lipi_numeric,M-145,4,L740 L400 L142 L880
raw_lipi_numeric,M-146,5,L740 L255 L920 L060 L692
raw_lipi_numeric,M-147,6,L226 L803 L002 L220 L455 L520
raw_lipi_numeric,M-148,3,L740 L817 L556
raw_lipi_numeric,M-149,5,L740 L760 L440 L060 L550
raw_lipi_numeric,M-150,2,L740 L832
raw_lipi_numeric,M-151,3,L220 L065 L864
raw_lipi_numeric,M-152,4,L740 L772 L002 L861
raw_lipi_numeric,M-153,3,L269 L130 L190
raw_lipi_numeric,M-154,7,L520 L220 L621 L415 L002 L257 L898
raw_lipi_numeric,M-155,3,L740 L176 L031
raw_lipi_numeric,M-157,7,L740 L900 L790 L233 L798 L001 L820
raw_lipi_numeric,M-158,4,L390 L016 L060 L550
raw_lipi_numeric,M-159,5,L740 L048 L741 L250 L579
raw_lipi_numeric,M-160,6,L151 L243 L031 L002 L820 L741
