checked_date,set_name,pair,gated_rows,gated_open_rate,ungated_rows,ungated_open_rate,open_rate_delta,gated_objects,ungated_objects_sample,decision
2026-05-31,raw,000-000,3,0/3,372,224/372,-0.602151,K-44;M-1995;Ns-67,Ad-7;Blk-3;B-25;B-25;-;-;Ch-4;C-71;C-71;C-71;C-85;C-29,strong_terminalizing_shift
2026-05-31,raw,000-031,1,0/1,12,9/12,-0.750000,M-2005,B-25;C-18;H-1947;K-14;M-169;M-422;M-790;M-1126;M-1575;M-1581;M-1878;K-404,strong_terminalizing_shift
2026-05-31,raw,000-090,2,1/2,8,5/8,-0.125000,M-902;-,-;H-1918;H-2341;H-2047;M-737;H-1031;-;-,no_shift
2026-05-31,raw,000-317,1,1/1,1,1/1,0.000000,-,-,no_shift
2026-05-31,raw,000-350,1,0/1,2,1/2,-0.500000,M-106,K-31;-,strong_terminalizing_shift
2026-05-31,raw,000-861,1,1/1,7,3/7,0.571429,H-486,C-71;H-2005;H-234;L-17;M-952;-;-,strong_opening_shift
2026-05-31,raw,002-817,1,0/1,155,8/155,-0.051613,M-658,B-5;B-7;B-15;C-66;C-78;C-67;C-4;C-10;C-18;-;Dlv-2;H-1042,no_shift
2026-05-31,raw,003-861,1,0/1,1,1/1,-1.000000,-,H-305,strong_terminalizing_shift
2026-05-31,raw,031-000,2,0/2,9,8/9,-0.888889,M-141;-,-;H-100;L-147;M-422;M-474;M-1380;M-1581;M-1878;-,strong_terminalizing_shift
2026-05-31,raw,031-480,2,1/2,3,3/3,-0.500000,H-389;M-1386,H-2133;H-718;M-1765,strong_terminalizing_shift
2026-05-31,raw,031-575,2,0/2,2,0/2,0.000000,M-318;-,M-318;L-54,no_shift
2026-05-31,raw,031-820,1,0/1,2,1/2,-0.500000,K-429,H-1198;-,strong_terminalizing_shift
2026-05-31,raw,031-892,2,0/2,2,0/2,0.000000,H-44;M-1745,K-59;M-1637,no_shift
2026-05-31,raw,033-705,1,0/1,103,93/103,-0.902913,M-1155,Ad-3;C-64;C-7;C-9;H-2015;H-2015;H-2014;H-1816;H-1815;H-2139;H-1814;H-1813,strong_terminalizing_shift
2026-05-31,raw,055-031,1,1/1,1,1/1,0.000000,-,M-1745,no_shift
2026-05-31,raw,060-820,1,0/1,25,0/25,0.000000,M-1369,H-2090;H-2264;H-715;K-16;L-21;L-122;L-148;M-1760;M-808;M-1804;M-1768;M-1906,no_shift
2026-05-31,raw,095-000,1,0/1,2,0/2,0.000000,TY-106,H-225;-,no_shift
2026-05-31,raw,125-590,1,0/1,1,1/1,-1.000000,H-611,M-2055,strong_terminalizing_shift
2026-05-31,raw,130-035,3,2/3,2,2/2,-0.333333,L-12;M-699;M-1112,M-16;-,weak_terminalizing_shift
2026-05-31,raw,168-032,1,0/1,1,0/1,0.000000,M-1159,M-675,no_shift
2026-05-31,raw,190-125,1,1/1,1,1/1,0.000000,M-1692,M-624,no_shift
2026-05-31,raw,220-000,1,0/1,28,11/28,-0.392857,H-593,-;Ch-1;C-33;H-1392;H-1685;H-1892;H-1775;H-1838;H-1837;H-1805;H-1007;K-46,weak_terminalizing_shift
2026-05-31,raw,220-065,3,3/3,5,5/5,0.000000,K-25;M-46;M-140,M-1730;M-108;M-151;M-856;M-881,no_shift
2026-05-31,raw,220-455,5,5/5,6,6/6,0.000000,H-1874;H-82;H-268;M-29;M-147,K-7;M-1749;M-61;M-1329;-;-,no_shift
2026-05-31,raw,233-235,1,0/1,23,16/23,-0.695652,H-141,H-21;H-768;H-769;M-1917;M-1906;-;M-41;M-572;M-573;M-574;M-675;M-703,strong_terminalizing_shift
2026-05-31,raw,297-000,1,0/1,1,0/1,0.000000,H-1038,M-1919,no_shift
2026-05-31,raw,297-190,1,1/1,1,0/1,1.000000,M-53,M-1087,strong_opening_shift
2026-05-31,raw,315-850,1,0/1,2,1/2,-0.500000,M-1002,H-80;M-1164,strong_terminalizing_shift
2026-05-31,raw,368-260,2,0/2,1,0/1,0.000000,H-600;M-1789,M-1673,no_shift
2026-05-31,raw,368-590,1,1/1,1,0/1,1.000000,?-3,H-951,strong_opening_shift
2026-05-31,raw,368-634,1,0/1,1,0/1,0.000000,Blk-2,Blk-4,no_shift
2026-05-31,raw,368-840,1,1/1,1,1/1,0.000000,L-213,H-410,no_shift
2026-05-31,raw,368-861,1,1/1,11,6/11,0.454545,K-10,H-139;H-458;K-6;L-29;M-1;M-210;M-573;M-574;M-806;M-894;H-1022,weak_opening_shift
2026-05-31,raw,388-031,1,0/1,3,1/3,-0.333333,M-948,H-1834;H-982;H-999,weak_terminalizing_shift
2026-05-31,raw,390-095,2,0/2,1,1/1,-1.000000,H-1993;M-71,C-40,strong_terminalizing_shift
2026-05-31,raw,390-125,4,4/4,5,2/5,0.600000,M-38;M-119;M-735;Sktd-1,Ad-2;H-467;M-314;M-320;M-878,strong_opening_shift
2026-05-31,raw,390-140,1,0/1,1,0/1,0.000000,M-708,M-51,no_shift
2026-05-31,raw,390-590,1,1/1,72,59/72,0.180556,-,Ad-1;C-2;C-12;H-1109;H-1776;H-1692;H-1801;H-1802;H-733;H-39;H-52;H-75,no_shift
2026-05-31,raw,400-703,1,0/1,1,1/1,-1.000000,M-1135,M-1794,strong_terminalizing_shift
2026-05-31,raw,435-000,1,0/1,3,1/3,-0.333333,M-1027,M-1018;H-1035;M-594,weak_terminalizing_shift
2026-05-31,raw,435-255,1,1/1,60,33/60,0.450000,H-598,-;-;H-1179;H-2063;H-1938;H-1797;H-2062;H-2066;H-2065;H-2064;H-1937;H-12,weak_opening_shift
2026-05-31,raw,520-000,1,1/1,11,8/11,0.272727,M-451,H-1112;-;L-188;M-1842;M-1157;-;-;-;-;-;-,weak_opening_shift
2026-05-31,raw,575-000,3,0/3,4,0/4,0.000000,H-2338;-;H-78,H-1173;L-103;L-204;M-1965,no_shift
2026-05-31,raw,575-031,1,0/1,1,1/1,-1.000000,L-4,-,strong_terminalizing_shift
2026-05-31,raw,595-575,1,1/1,3,3/3,0.000000,H-131,H-1;M-74;M-1052,no_shift
2026-05-31,raw,595-632,1,1/1,2,1/2,0.500000,H-385,H-645;H-809,strong_opening_shift
2026-05-31,raw,700-000,1,0/1,31,2/31,-0.064516,M-279,B-35;-;-;H-2060;H-1849;H-2025;-;H-2212;H-2132;H-2199;H-2071;H-2161,no_shift
2026-05-31,raw,705-590,1,0/1,6,0/6,0.000000,M-248,-;H-2069;H-2062;H-2007;H-896;H-899,no_shift
2026-05-31,raw,717-747,1,0/1,3,0/3,0.000000,H-639,M-521;M-1470;M-1472,no_shift
2026-05-31,raw,741-060,2,2/2,36,36/36,0.000000,K-4;M-1114,C-16;H-1309;H-2127;H-2128;H-89;H-175;H-735;L-28;L-217;M-1805;M-966;M-1757,no_shift
2026-05-31,raw,741-455,1,1/1,1,1/1,0.000000,M-761,M-1129,no_shift
2026-05-31,raw,817-000,3,0/3,4,2/4,-0.500000,H-609;M-692;K-155,-;H-1121;H-1167;M-1713,strong_terminalizing_shift
2026-05-31,raw,820-000,2,0/2,5,3/5,-0.600000,H-909;M-1045,M-1126;M-2087;-;-;-,strong_terminalizing_shift
2026-05-31,raw,820-033,1,0/1,4,1/4,-0.250000,K-23,H-992;-;-;-,weak_terminalizing_shift
2026-05-31,raw,840-032,1,0/1,4,2/4,-0.500000,M-1791,H-2211;H-340;M-45;M-619,strong_terminalizing_shift
2026-05-31,raw,861-000,2,0/2,4,1/4,-0.250000,Ad-8;-,H-2116;H-234;H-820;-,weak_terminalizing_shift
2026-05-31,raw,861-031,1,0/1,2,0/2,0.000000,M-706,H-305;H-486,no_shift
2026-05-31,raw,861-032,1,1/1,1,1/1,0.000000,M-1661,M-1346,no_shift
2026-05-31,raw,861-125,1,0/1,1,0/1,0.000000,H-55,M-1903,no_shift
2026-05-31,raw,861-216,1,0/1,1,0/1,0.000000,H-446,H-155,no_shift
2026-05-31,raw,861-255,1,1/1,1,1/1,0.000000,M-91,M-1,no_shift
2026-05-31,raw,861-416,6,0/6,1,0/1,0.000000,H-2094;H-2097;H-2095;-;H-2096;H-910,H-2098,no_shift
2026-05-31,raw,892-000,1,1/1,5,0/5,1.000000,Ns-66,H-813;L-192;H-1134;-;-,strong_opening_shift
2026-05-31,raw,900-003,2,2/2,13,11/13,0.153846,M-958;M-979,H-1657;H-25;H-60;H-141;H-450;H-468;H-667;M-374;M-384;M-1003;M-1287;M-1597,no_shift
2026-05-31,raw,920-491,2,0/2,1,0/1,0.000000,H-2016;H-811,H-1915,no_shift
2026-05-31,collapse_scope_pair_tail_gate,000-000,3,0/3,279,203/279,-0.727599,K-44;M-1995;Ns-67,Ad-7;Blk-3;B-25;B-25;-;-;Ch-4;C-71;C-71;C-71;C-85;C-29,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,000-031,1,0/1,12,9/12,-0.750000,M-2005,B-25;C-18;H-1947;K-14;M-169;M-422;M-790;M-1126;M-1575;M-1581;M-1878;K-404,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,000-090,2,1/2,8,5/8,-0.125000,M-902;-,-;H-1918;H-2341;H-2047;M-737;H-1031;-;-,no_shift
2026-05-31,collapse_scope_pair_tail_gate,000-317,1,1/1,1,1/1,0.000000,-,-,no_shift
2026-05-31,collapse_scope_pair_tail_gate,000-350,1,0/1,2,1/2,-0.500000,M-106,K-31;-,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,000-861,1,1/1,7,3/7,0.571429,H-486,C-71;H-2005;H-234;L-17;M-952;-;-,strong_opening_shift
2026-05-31,collapse_scope_pair_tail_gate,002-817,1,0/1,55,8/55,-0.145455,M-658,B-5;B-7;C-66;-;Dlv-2;H-1042;-;H-2015;H-2014;H-1864;-;H-1726,no_shift
2026-05-31,collapse_scope_pair_tail_gate,003-861,1,0/1,1,1/1,-1.000000,-,H-305,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,031-000,2,0/2,9,8/9,-0.888889,M-141;-,-;H-100;L-147;M-422;M-474;M-1380;M-1581;M-1878;-,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,031-480,2,1/2,3,3/3,-0.500000,H-389;M-1386,H-2133;H-718;M-1765,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,031-575,2,0/2,2,0/2,0.000000,M-318;-,M-318;L-54,no_shift
2026-05-31,collapse_scope_pair_tail_gate,031-820,1,0/1,2,1/2,-0.500000,K-429,H-1198;-,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,031-892,2,0/2,2,0/2,0.000000,H-44;M-1745,K-59;M-1637,no_shift
2026-05-31,collapse_scope_pair_tail_gate,033-705,1,0/1,81,72/81,-0.888889,M-1155,Ad-3;C-64;C-7;H-2015;H-2015;H-2014;H-1816;H-1815;H-2139;H-1814;H-1813;H-24,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,055-031,1,1/1,1,1/1,0.000000,-,M-1745,no_shift
2026-05-31,collapse_scope_pair_tail_gate,060-820,1,0/1,12,0/12,0.000000,M-1369,H-2090;H-2264;H-715;K-16;L-21;L-122;L-148;M-1760;M-390;M-931;M-1364;-,no_shift
2026-05-31,collapse_scope_pair_tail_gate,095-000,1,0/1,2,0/2,0.000000,TY-106,H-225;-,no_shift
2026-05-31,collapse_scope_pair_tail_gate,125-590,1,0/1,1,1/1,-1.000000,H-611,M-2055,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,130-035,2,1/2,2,2/2,-0.500000,L-12;M-699,M-16;-,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,168-032,1,0/1,1,0/1,0.000000,M-1159,M-675,no_shift
2026-05-31,collapse_scope_pair_tail_gate,190-125,1,1/1,1,1/1,0.000000,M-1692,M-624,no_shift
2026-05-31,collapse_scope_pair_tail_gate,220-000,1,0/1,26,10/26,-0.384615,H-593,-;Ch-1;C-33;H-1392;H-1685;H-1892;H-1775;H-1838;H-1805;H-1007;K-46;H-401,weak_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,220-065,3,3/3,5,5/5,0.000000,K-25;M-46;M-140,M-1730;M-108;M-151;M-856;M-881,no_shift
2026-05-31,collapse_scope_pair_tail_gate,220-455,5,5/5,6,6/6,0.000000,H-1874;H-82;H-268;M-29;M-147,K-7;M-1749;M-61;M-1329;-;-,no_shift
2026-05-31,collapse_scope_pair_tail_gate,233-235,1,0/1,17,14/17,-0.823529,H-141,H-21;H-768;H-769;M-1917;M-1906;-;M-41;M-572;M-573;M-675;M-703;M-757,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,297-000,1,0/1,1,0/1,0.000000,H-1038,M-1919,no_shift
2026-05-31,collapse_scope_pair_tail_gate,297-190,1,1/1,1,0/1,1.000000,M-53,M-1087,strong_opening_shift
2026-05-31,collapse_scope_pair_tail_gate,315-850,1,0/1,2,1/2,-0.500000,M-1002,H-80;M-1164,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,368-260,2,0/2,1,0/1,0.000000,H-600;M-1789,M-1673,no_shift
2026-05-31,collapse_scope_pair_tail_gate,368-590,1,1/1,1,0/1,1.000000,?-3,H-951,strong_opening_shift
2026-05-31,collapse_scope_pair_tail_gate,368-634,1,0/1,1,0/1,0.000000,Blk-2,Blk-4,no_shift
2026-05-31,collapse_scope_pair_tail_gate,368-840,1,1/1,1,1/1,0.000000,L-213,H-410,no_shift
2026-05-31,collapse_scope_pair_tail_gate,368-861,1,1/1,10,6/10,0.400000,K-10,H-139;H-458;K-6;L-29;M-1;M-210;M-573;M-574;M-806;H-1022,weak_opening_shift
2026-05-31,collapse_scope_pair_tail_gate,388-031,1,0/1,3,1/3,-0.333333,M-948,H-1834;H-982;H-999,weak_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,390-095,2,0/2,1,1/1,-1.000000,H-1993;M-71,C-40,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,390-125,4,4/4,4,2/4,0.500000,M-38;M-119;M-735;Sktd-1,Ad-2;H-467;M-314;M-320,strong_opening_shift
2026-05-31,collapse_scope_pair_tail_gate,390-140,1,0/1,1,0/1,0.000000,M-708,M-51,no_shift
2026-05-31,collapse_scope_pair_tail_gate,390-590,1,1/1,63,53/63,0.158730,-,Ad-1;C-2;C-12;H-1109;H-1776;H-1692;H-1801;H-1802;H-733;H-39;H-52;H-75,no_shift
2026-05-31,collapse_scope_pair_tail_gate,400-703,1,0/1,1,1/1,-1.000000,M-1135,M-1794,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,435-000,1,0/1,3,1/3,-0.333333,M-1027,M-1018;H-1035;M-594,weak_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,435-255,1,1/1,40,29/40,0.275000,H-598,-;-;H-1179;H-2063;H-1938;H-1797;H-1937;H-12;H-20;H-61;H-299;H-579,weak_opening_shift
2026-05-31,collapse_scope_pair_tail_gate,520-000,1,1/1,11,8/11,0.272727,M-451,H-1112;-;L-188;M-1842;M-1157;-;-;-;-;-;-,weak_opening_shift
2026-05-31,collapse_scope_pair_tail_gate,575-000,2,0/2,4,0/4,0.000000,H-2338;H-78,H-1173;L-103;L-204;M-1965,no_shift
2026-05-31,collapse_scope_pair_tail_gate,575-031,1,0/1,1,1/1,-1.000000,L-4,-,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,595-575,1,1/1,3,3/3,0.000000,H-131,H-1;M-74;M-1052,no_shift
2026-05-31,collapse_scope_pair_tail_gate,595-632,1,1/1,2,1/2,0.500000,H-385,H-645;H-809,strong_opening_shift
2026-05-31,collapse_scope_pair_tail_gate,700-000,1,0/1,20,2/20,-0.100000,M-279,B-35;-;-;H-2060;H-1849;H-2025;-;H-2212;H-2199;H-1805;M-1582;H-1353,no_shift
2026-05-31,collapse_scope_pair_tail_gate,705-590,1,0/1,3,0/3,0.000000,M-248,-;H-2069;H-2007,no_shift
2026-05-31,collapse_scope_pair_tail_gate,717-747,1,0/1,2,0/2,0.000000,H-639,M-521;M-1472,no_shift
2026-05-31,collapse_scope_pair_tail_gate,741-060,2,2/2,17,17/17,0.000000,K-4;M-1114,C-16;H-1309;H-2127;H-89;H-175;H-735;L-28;L-217;M-1805;M-427;M-820;M-1190,no_shift
2026-05-31,collapse_scope_pair_tail_gate,741-455,1,1/1,1,1/1,0.000000,M-761,M-1129,no_shift
2026-05-31,collapse_scope_pair_tail_gate,817-000,3,0/3,4,2/4,-0.500000,H-609;M-692;K-155,-;H-1121;H-1167;M-1713,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,820-000,2,0/2,5,3/5,-0.600000,H-909;M-1045,M-1126;M-2087;-;-;-,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,820-033,1,0/1,4,1/4,-0.250000,K-23,H-992;-;-;-,weak_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,840-032,1,0/1,4,2/4,-0.500000,M-1791,H-2211;H-340;M-45;M-619,strong_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,861-000,2,0/2,3,1/3,-0.333333,Ad-8;-,H-2116;H-234;-,weak_terminalizing_shift
2026-05-31,collapse_scope_pair_tail_gate,861-031,1,0/1,2,0/2,0.000000,M-706,H-305;H-486,no_shift
2026-05-31,collapse_scope_pair_tail_gate,861-032,1,1/1,1,1/1,0.000000,M-1661,M-1346,no_shift
2026-05-31,collapse_scope_pair_tail_gate,861-125,1,0/1,1,0/1,0.000000,H-55,M-1903,no_shift
2026-05-31,collapse_scope_pair_tail_gate,861-216,1,0/1,1,0/1,0.000000,H-446,H-155,no_shift
2026-05-31,collapse_scope_pair_tail_gate,861-255,1,1/1,1,1/1,0.000000,M-91,M-1,no_shift
2026-05-31,collapse_scope_pair_tail_gate,861-416,2,0/2,1,0/1,0.000000,H-2094;H-2095,H-2098,no_shift
2026-05-31,collapse_scope_pair_tail_gate,892-000,1,1/1,5,0/5,1.000000,Ns-66,H-813;L-192;H-1134;-;-,strong_opening_shift
