object,site,region,type,material,shape,symbol,condition,complete,seal_r_context,boundary_next,next,prev,has_154_158_806_46x_motif,text
H-661,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,true,<END>,055,false,+740-055-806+
H-1114,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,false,true,<END>,235,false,+400-740-405-590-235-806+
H-1852,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,false,true,<END>,740,false,+740-806[
H-1999,Harappa,Inter-Riverine,TAB:B,Clay,twisted cuboid,Mult,Fair,Y,false,false,467,154,true,+400-154-806-467+
H-2568,Harappa,Inter-Riverine,POT:T:g,Stone,NA,NA,Poor,?,false,false,820,798,false,]798-806-820-388[
H-1980,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Phyt,Poor,Y,false,false,475,158,true,+400-158-806-475+
H-1788,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,false,false,470,154,true,+154-806-470-002-861+
H-1731,Harappa,Inter-Riverine,POT:T:s,Clay,NA,NA,Poor,N,false,false,000,154,false,]154-806-000[
H-1657,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,false,235,003,false,+740-405-590-032-900-003-806-235-220-032-002-690-921+
H-1808,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,N,false,false,000,158,false,+400-158-806-000+
H-1979,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Phyt,Poor,Y,false,false,467,158,true,+740-158-806-467+
H-20,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,false,false,060,032,false,+740-176-690-435-255-220-032-806-060-550+
H-21,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,false,true,002,235,false,+405-061-527-555-233-235-806-002-817+
H-22,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,false,true,002,233,false,+740-920-320-233-806-002-405-321+
H-25,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,false,033,003,false,+740-900-003-806-033-705-235-055+
H-27,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,false,false,468,154,true,+154-806-468-001-740-877-032+
H-58,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,false,468,158,true,+158-806-468-740-752-231-235+
H-78,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Poor,N,false,true,002,000,false,]000-806-002-575-000+
H-103,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Fair,Y,false,true,<END>,415,false,+159-097/520-033-705/740-717-220-415-806+
H-130,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Fair,Y,true,true,002,231,false,+409-032-845-033-705-231-806-002-595-812-125-717+
H-132,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Fine,Y,true,false,471,154,true,+154-806-471-407-845-740-233-231-798+
H-135,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,true,002,231,false,+740-773-231-806-002-861+
H-143,Harappa,Inter-Riverine,SEAL:R,Terracotta,rectangular,NA,Good,Y,true,false,469,154,true,+154-806-469-001-740-877-032+
H-145,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Poor,?,true,false,001,798,false,]233-798-806-001-922+
H-146,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,true,false,467,154,true,+154-806-467-031+
M-1986,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,468,154,true,+154-806-468+
H-154,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,467,154,true,+154-806-467-013-817+
H-158,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,false,472,154,true,+154-806-472-001-740-405-590+
H-160,Harappa,Inter-Riverine,SEAL:R,Steatite,plano-convex,NA,Good,Y,true,false,468,154,true,+400-154-806-468+
H-189,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Othr,Good,Y,false,false,470,158,true,+400-158-806-470+
H-1105,Harappa,Inter-Riverine,TAB:B,Steatite,cylindrical,Phyt,Fair,Y,false,false,465,158,true,+158-806-465+
H-775,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,false,false,472,158,true,+400-158-806-472+
H-388,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,false,true,002,231,false,+520-033-706-231-806-002-817+
H-396,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,false,false,000,415,false,+832-904-220-415-806-000[
H-405,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Poor,Y,false,true,002,236,false,+236-806-002-863+
H-649,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,true,true,002,240,false,+520-033-705-233-240-806-002-820+
H-654,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Poor,Y,true,true,<END>,740,false,+405-061-740-806+
H-667,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,true,false,900,235,false,]000-235-806-900-003-140+
H-679,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,true,<END>,565,false,+565-806+
H-695,Harappa,Inter-Riverine,TAB:B,NA,square,Bull1:S,Fair,Y,false,true,<END>,368,false,+740-390-590-235-368-806+
H-725,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Poor,N,false,false,000,158,false,+000-158-806-000+
H-727,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Poor,N,false,false,000,158,false,+158-806-000+
L-19,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Poor,N,false,false,000,798,false,+000-000-000-798-806-000[
L-82,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,true,false,231,<START>,false,+806-231-002-221+
L-83,Lothal,Gujarat/Kutch,SEAL:L,Agate,oval,NA,Poor,Y,false,false,240,740,false,+740-806-240-002-820+
M-1953,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,true,<END>,233,false,+407-845-233-806+
-:2217.1,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,N,true,true,<END>,706,false,]000-033-706-806[
M-1683,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,false,467,155,false,+155-806-467-001-692+
M-1956,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,true,<END>,798,false,+740-900-790-220-415-798-806+
M-2050,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Anth,Fair,Y,false,true,<END>,845,false,+740-900-850-407-061-845-806+
M-1784,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,<END>,923,false,+740-923-806+
M-2091,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,N,false,false,467,000,false,]000-806-467+
M-1957,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,474,154,true,+154-806-474-013-820+
