checked_date,cisi,row_id,site,type,shape,prev,next,signs_after,terminal,after_002_h,head_if_after_002,tail_after_530,local_context,exact_sequence,text
2026-05-31,C-76,72.1,Chanhu-daro,SEAL:S,square,032,740,3,false,false,,740 741 456,032-031-850-032-530-740-741-456,032 031 850 032 530 740 741 456,+032-031/850-032-530-740-741-456+
2026-05-31,C-57,82.1,Chanhu-daro,SEAL:S,square,296,000,1,false,true,296,000,032-840-002-296-530-000,740 032 840 002 296 530 000,+740-032-840-002-296-530-000+
2026-05-31,H-19,1079.1,Harappa,SEAL:S,square,000,820,1,false,false,,820,390-000-003-000-530-820,000 390 000 003 000 530 820,]000-390-000-003/000-530-820+
2026-05-31,H-1005,1158.1,Harappa,POT:T:g,-,748,323,2,false,false,,323 316,748-530-323-316,748 530 323 316,+748-530-323-316+
2026-05-31,H-608,1548.1,Harappa,SEAL:S,square,220,<END>,0,true,false,,<END>,140-220-530,140 220 530,+140-220/530+
2026-05-31,H-773,1665.1,Harappa,TAB:B,plano-convex,390,741,1,false,true,390,741,798-803-002-390-530-741,740 798 803 002 390 530 741,+740-798-803-002-390-530-741+
2026-05-31,K-7,1882.1,Kalibangan,SEAL:S,square,455,741,1,false,false,,741,838-001-220-455-530-741,740 100 176 838 001 220 455 530 741,+740-100-176-838-001-220-455-530-741+
2026-05-31,-:2491.1,2491.1,Mohenjo-daro,MISC,-,<START>,000,4,false,false,,000 000 000 808,530-000-000-000-808,530 000 000 000 808,+530-000-000-000-808[
2026-05-31,M-426,2920.3,Mohenjo-daro,TAG:W,-,000,000,1,false,false,,000,000-000-530-000,000 000 530 000,+000-000-530-000+
2026-05-31,M-623,3074.1,Mohenjo-daro,SEAL:S,square,299,820,1,false,true,299,820,415-798-002-299-530-820,740 760 175 176 220 415 798 002 299 530 820,+740-760-175-176-220-415-798-002-299-530-820+
2026-05-31,M-725,3149.1,Mohenjo-daro,SEAL:S,square,252,<END>,0,true,false,,<END>,220-003-741-252-530,090 740 220 003 741 252 530,+090-740-220-003-741-252-530+
2026-05-31,M-758,3181.1,Mohenjo-daro,SEAL:S,square,742,786,1,false,false,,786,760-001-240-742-530-786,740 760 001 240 742 530 786,+740-760-001-240-742-530-786+
2026-05-31,M-1575,3799.1,Mohenjo-daro,POT:T:g,-,031,742,1,false,false,,742,061-032-000-031-530-742,000 061 032 000 031 530 742,]000-061-032-000-031-530-742[
2026-05-31,H-2269,3939.1,Harappa,POT:T:g,-,<START>,000,2,false,false,,000 003,530-000-003,530 000 003,]530-000-003+
2026-05-31,H-1471,4129.1,Harappa,POT:T:g,-,<START>,<END>,0,true,false,,<END>,530,530,+530[
2026-05-31,H-1511,4138.1,Harappa,TAB:I,spherical,413,<END>,0,true,false,,<END>,413-530,413 530,+413-530+
2026-05-31,-:4182.1,4182.1,Dholavira,SEAL:S,-,705,904,1,false,true,705,904,590-231-002-705-530-904,740 390 590 231 002 705 530 904,+740-390-590-231-002-705-530-904+
2026-05-31,-:5548.1,5548.1,Harappa,POT:T:p,-,000,<END>,0,true,false,,<END>,000-530,000 530,]000-530[
