"prev","total_occurrences","known_next_count","end_after_220_count","damaged_or_open_count","clean_closed_count","clean_known_next_count","exact_triplet_count","exact_triplet_formulas","source_hint_occurrence_count","source_hint_cisi_count","source_hint_cisis","dominant_next","dominant_next_count","dominant_next_share","top_site","top_site_count","top_site_share","top_type","top_type_count","top_type_share","site_counts","type_counts","examples"
"520","67","60","7","8","59","55","21","520-220-415:17;520-220-003:1;520-220-006:1;520-220-016:1;520-220-034:1","10","10","H-2240;H-786;H-938;H-940;H-941;H-942;M-1912;M-37;M-1206;K-150","415","28","0.466667","Mohenjo-daro","32","0.477612","SEAL:S","38","0.567164","Mohenjo-daro:32;Harappa:30;Banawali:1;Dholavira:1;Kalibangan:1;Lothal:1;Nausharo:1","SEAL:S:38;TAB:I:18;TAB:B:7;SEAL:R:2;TAG:2","41.1;199.1;221.1;258.1;277.2;282.2;479.1;481.1;485.2;517.1;739.1;816.1"
"740","52","48","4","5","47","44","9","740-220-003:5;090-740-220:1;400-740-220:1;740-220-000:1;740-220-032:1","0","0","","055","11","0.229167","Mohenjo-daro","23","0.442308","SEAL:S","20","0.384615","Mohenjo-daro:23;Harappa:12;Lothal:12;Dholavira:2;Banawali:1;Kalibangan:1;Nausharo:1","SEAL:S:20;TAB:B:9;TAG:7;SEAL:R:5;TAG:L:5;TAB:C:2;TAB:I:2;SEAL:1;TAG:W:1","27.1;237.1;576.1;1127.1;1234.1;1324.2;1409.1;1480.1;1584.1;1640.1;1641.1;1659.1"
"<START>","63","44","19","28","35","25","7","220-700-004:3;220-000-700:1;220-063-051:1;220-065-864:1;220-786-255:1","0","0","","000","10","0.227273","Harappa","39","0.619048","SEAL:S","14","0.222222","Harappa:39;Mohenjo-daro:8;Chanhu-daro:2;Dholavira:2;Kalibangan:2;Lothal:2;Allahdino:1;Banawali:1;Chandigarh:1;Farmana:1;Guddal A:1;Kanmer:1;Karzakan:1;Pabumath:1","SEAL:S:14;TAB:I:14;POT:T:g:9;TAB:B:7;POT:T:s:5;SEAL:R:4;MISC:3;SEAL:2;TAG:2;POT:M:1;POT:T:p:1;SEAL:C:1","4.1;28.1;53.1;115.1;119.1;151.1;173.1;175.1;187.2;250.1;252.1;293.1"
"000","43","32","11","25","18","14","3","000-000-220:1;000-220-000:1;000-220-415:1","0","0","","000","6","0.1875","Harappa","16","0.372093","SEAL:S","15","0.348837","Harappa:16;Mohenjo-daro:13;Kalibangan:4;Lothal:3;Chanhu-daro:2;Dholavira:2;Banawali:1;Rakhigarhi:1;Tello:1","SEAL:S:15;POT:T:g:6;TAG:6;TAB:I:5;TAB:B:4;ROD:2;SEAL:2;MDLN:1;SEAL:R:1;TAG:O:1","63.1;101.1;166.1;186.1;206.1;223.1;308.2;517.2;744.2;891.2;1078.1;1394.1"
"176","18","15","3","5","13","12","1","740-176-220:1","0","0","","235","7","0.466667","Harappa","8","0.444444","TAB:B","8","0.444444","Harappa:8;Mohenjo-daro:8;Chanhu-daro:1;Kalibangan:1","TAB:B:8;SEAL:S:6;TAB:C:2;POT:T:g:1;SEAL:R:1","83.1;467.2;729.1;937.1;1695.2;1696.2;1697.2;1954.1;2550.1;2772.1;2987.2;2988.2"
"240","15","13","2","1","14","12","0","","0","0","","032","10","0.769231","Mohenjo-daro","10","0.666667","SEAL:S","11","0.733333","Mohenjo-daro:10;Harappa:3;Chanhu-daro:1;Farmana:1","SEAL:S:11;SEAL:R:2;SEAL:1;TAB:I:1","62.1;149.1;217.1;920.1;1522.1;2277.1;2417.1;2577.1;2660.1;2763.1;2837.1;2865.1"
"002","11","11","0","1","10","10","0","","0","0","","455","5","0.454545","Mohenjo-daro","6","0.545455","SEAL:S","9","0.818182","Mohenjo-daro:6;Harappa:4;Kalibangan:1","SEAL:S:9;TAB:B:1;TAG:O:1","388.2;1139.1;1293.1;1537.1;1899.1;2557.1;2574.1;2667.1;2674.1;3097.1;3712.1"
"318","11","11","0","0","11","11","0","","0","0","","415","11","1","Harappa","11","1","TAB:B","11","1","Harappa:11","TAB:B:11","291.1;1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1;1754.1;1755.1;1756.1"
"233","10","9","1","2","8","7","0","","0","0","","032","4","0.444444","Mohenjo-daro","4","0.4","SEAL:S","5","0.5","Mohenjo-daro:4;Harappa:3;Lothal:3","SEAL:S:5;SEAL:R:2;TAG:2;TAB:B:1","1416.1;1544.1;1738.2;2041.1;2077.1;2129.2;2357.3;2871.1;3073.1;3305.1"
"590","10","9","1","2","8","8","0","","0","0","","003","5","0.555556","Mohenjo-daro","4","0.4","SEAL:R","3","0.3","Mohenjo-daro:4;Harappa:2;Dholavira:1;Kish:1;Lothal:1;Rupar:1","SEAL:R:3;SEAL:S:3;POT:T:g:2;TAB:C:1;TAG:1","174.1;1175.1;1971.1;2122.1;2621.1;2855.1;2888.1;3066.2;3871.1;4229.1"
