checked_date,sign,cisi,row_id,site,type,symbol,cult,prev_before_002,next_after_selector,terminal_after_selector,proposed_parse_class,text
2026-05-31,072,H-68,1127.1,Harappa,SEAL:S,Bull1:I,RAN,003,<END>,true,continuation_selector_wild,+090-740-220-003-002-390-072+
2026-05-31,095,H-1993,744.2,Harappa,TAB:B,None,None,004,<END>,true,admin_status_selector_candidate,+740-000-220-004-002-390-095+
2026-05-31,095,M-71,2599.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,142,<END>,true,admin_status_selector_candidate,+151-279-142-002-390-095+
2026-05-31,125,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,484,632,false,rank_title_selector_candidate,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,125,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,235,632,false,rank_title_selector_candidate,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,125,M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,235,195,false,rank_title_selector_candidate,+740-760-235-002-390-125-195+
2026-05-31,125,Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,004,820,false,rank_title_selector_candidate,+390-004-002-390-125-820+
2026-05-31,140,M-708,3134.1,Mohenjo-daro,SEAL:S,Bull1:W,S,061,<END>,true,continuation_selector_wild,+740-061-002-390-140+
2026-05-31,346,M-213,2737.1,Mohenjo-daro,SEAL:S,Bull1:J,RAF,384,<END>,true,rare_terminal_selector_wild,+740-384-002-390-346+
2026-05-31,530,H-773,1665.1,Harappa,TAB:B,None,None,803,741,false,continuation_selector_wild,+740-798-803-002-390-530-741+
2026-05-31,590,-,3335.1,Unknown,SEAL:S,Bull1:J,RAF,032,032,false,embedded_formula_bridge_candidate,+740-205-032-002-390-590-032+
2026-05-31,692,M-70,2598.1,Mohenjo-daro,SEAL:S,Bull1:T,SAF,032,<END>,true,hard_terminal_closure_candidate,+226-032-002-390-692+
2026-05-31,705,-,4237.1,Dholavira,SEAL:S,Bull1:I,RB,388,<END>,true,terminal_390_selector_candidate_semantics_wild,+151-032-388-002-390-705+
2026-05-31,705,M-1825,3992.1,Mohenjo-daro,SEAL:S,Bull1,S,031,<END>,true,terminal_390_selector_candidate_semantics_wild,+157-031-002-390-705+
2026-05-31,707,M-232,2756.1,Mohenjo-daro,SEAL:S,Bull2,SAF,236,<END>,true,rare_terminal_selector_wild,+236-002-390-707+
