checked_date,branch,branch_class,frame_object,frame_row_id,frame_source_bucket,frame_tail,frame_status,global_nonframe_occurrences,exact_tail_seen_nonframe,exact_tail_nonframe_hits,first_tail_seen_nonframe,first_tail_nonframe_hits,top_nonframe_next1,text
2026-05-31,072,close_terminal,H-68,1127.1,metadata_only,<END>,terminal,13,true,4,true,4,<END>:4;921:3;002:2;170:1;219:1;233:1;255:1,+090-740-220-003-002-390-072+
2026-05-31,095,close_terminal,H-1993,744.2,route_pressure,<END>,terminal,20,true,6,true,6,<END>:6;000:3;585:3;033:2;031:1;550:1;717:1;741:1,+740-000-220-004-002-390-095+
2026-05-31,095,close_terminal,M-71,2599.1,strict,<END>,terminal,20,true,6,true,6,<END>:6;000:3;585:3;033:2;031:1;550:1;717:1;741:1,+151-279-142-002-390-095+
2026-05-31,125,open_continue,M-38,2566.1,metadata_only,632 032,continuing,52,true,2,true,2,<END>:15;032:3;000:2;001:2;002:2;176:2;413:2;575:2,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,125,open_continue,M-119,2646.1,strict,632 032 900 563,continuing,52,false,0,true,2,<END>:15;032:3;000:2;001:2;002:2;176:2;413:2;575:2,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,125,open_continue,M-735,3159.1,strict,195,continuing,52,false,0,false,0,<END>:15;032:3;000:2;001:2;002:2;176:2;413:2;575:2,+740-760-235-002-390-125-195+
2026-05-31,125,open_continue,Sktd-1,3875.1,route_pressure,820,continuing,52,true,1,true,1,<END>:15;032:3;000:2;001:2;002:2;176:2;413:2;575:2,+390-004-002-390-125-820+
2026-05-31,140,close_terminal,M-708,3134.1,metadata_only,<END>,terminal,101,true,41,true,41,<END>:41;002:9;000:7;003:5;740:4;220:3;015:2;032:2,+740-061-002-390-140+
2026-05-31,346,close_terminal,M-213,2737.1,metadata_only,<END>,terminal,5,true,3,true,3,<END>:3;510:1;706:1,+740-384-002-390-346+
2026-05-31,530,open_continue,H-773,1665.1,route_pressure,741,continuing,17,true,1,true,1,<END>:5;000:4;820:2;323:1;740:1;741:1;742:1;786:1,+740-798-803-002-390-530-741+
2026-05-31,590,open_continue,-:3335.1,3335.1,metadata_only,032,continuing,168,true,16,true,16,<END>:40;032:16;220:10;002:9;235:8;741:8;000:7;033:5,+740-205-032-002-390-590-032+
2026-05-31,692,close_terminal,M-70,2598.1,strict,<END>,terminal,67,true,49,true,49,<END>:49;740:3;000:2;520:2;001:1;003:1;032:1;401:1,+226-032-002-390-692+
2026-05-31,705,close_terminal,M-1825,3992.1,route_pressure,<END>,terminal,163,true,36,true,36,<END>:36;233:18;000:13;002:11;235:11;240:9;220:7;231:7,+157-031-002-390-705+
2026-05-31,705,close_terminal,-:4237.1,4237.1,route_pressure,<END>,terminal,163,true,36,true,36,<END>:36;233:18;000:13;002:11;235:11;240:9;220:7;231:7,+151-032-388-002-390-705+
2026-05-31,707,close_terminal,M-232,2756.1,metadata_only,<END>,terminal,0,false,0,false,0,,+236-002-390-707+
