"control","iteration","stratum_kind","stratum_value","model","evaluated_rows","label_count","labels","majority_label","majority_share","accuracy","macro_f1","macro_recall"
"observed_lipi_exact_families","observed","type_site","SEAL:S@Mohenjo-daro","length","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.474302","0.296337","0.326411"
"observed_lipi_exact_families","observed","type_site","SEAL:S@Mohenjo-daro","edge_frame","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.518355","0.406568","0.398256"
"observed_lipi_exact_families","observed","type_site","SEAL:S@Mohenjo-daro","token_nb","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.456681","0.348565","0.347265"
"observed_lipi_exact_families","observed","type_site","TAB:B@Harappa","majority","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.324873","0.098084","0.2"
"observed_lipi_exact_families","observed","type_site","TAB:B@Harappa","length","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.294416","0.226614","0.309311"
"observed_lipi_exact_families","observed","type_site","TAB:B@Harappa","edge_frame","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.329949","0.312034","0.33557"
"observed_lipi_exact_families","observed","type_site","TAB:B@Harappa","token_nb","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.527919","0.558656","0.565251"
"observed_lipi_exact_families","observed","type_site","TAB:I@Harappa","majority","118","3","MT;SC;SS","SC","0.432203","0.432203","0.201183","0.333333"
"observed_lipi_exact_families","observed","type_site","TAB:I@Harappa","length","118","3","MT;SC;SS","SC","0.432203","0.423729","0.315102","0.341006"
"observed_lipi_exact_families","observed","type_site","TAB:I@Harappa","edge_frame","118","3","MT;SC;SS","SC","0.432203","0.542373","0.544695","0.535217"
"observed_lipi_exact_families","observed","type_site","TAB:I@Harappa","token_nb","118","3","MT;SC;SS","SC","0.432203","0.720339","0.720004","0.733366"
"duplicate_matched_position_slots","1","site","Harappa","majority","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.277686","0.043467","0.1"
"duplicate_matched_position_slots","1","site","Harappa","length","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.393388","0.201493","0.264066"
"duplicate_matched_position_slots","1","site","Harappa","edge_frame","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.371901","0.232276","0.256426"
"duplicate_matched_position_slots","1","site","Harappa","token_nb","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.297521","0.137885","0.147601"
"duplicate_matched_position_slots","1","site","Mohenjo-daro","majority","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.18143","0.034126","0.111111"
"duplicate_matched_position_slots","1","site","Mohenjo-daro","length","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.430096","0.308802","0.337802"
"duplicate_matched_position_slots","1","site","Mohenjo-daro","edge_frame","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.383138","0.28178","0.29727"
"duplicate_matched_position_slots","1","site","Mohenjo-daro","token_nb","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.258271","0.158726","0.18834"
"duplicate_matched_position_slots","1","type","SEAL:R","majority","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.195402","0.046703","0.142857"
"duplicate_matched_position_slots","1","type","SEAL:R","length","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.408046","0.275975","0.332357"
"duplicate_matched_position_slots","1","type","SEAL:R","edge_frame","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.408046","0.303785","0.341548"
"duplicate_matched_position_slots","1","type","SEAL:R","token_nb","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.270115","0.191059","0.217837"
"duplicate_matched_position_slots","1","type","SEAL:S","majority","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.181913","0.034203","0.111111"
"duplicate_matched_position_slots","1","type","SEAL:S","length","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.461538","0.289766","0.321252"
"duplicate_matched_position_slots","1","type","SEAL:S","edge_frame","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.424116","0.284233","0.300319"
