"blind_id","neutral_image_path","site","type","symbol","material","condition_or_lipi_complete","direction","adjudication_task"
"SBP1_001","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_001.png","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Poor","","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_002","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_002.png","Harappa","SEAL:S","Bull1:W","-","Good","","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_003","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_003.png","Chanhu-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_004","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_004.png","Chanhu-daro","SEAL:S","Bull1:W","Steatite","Good","","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_005","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_005.png","Mohenjo-daro","SEAL:S","Bull1","Steatite","Poor","","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_006","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_006.png","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_007","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_007.png","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_008","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_008.png","Mohenjo-daro","SEAL:R","None","Steatite","Good","","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_009","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_009.png","Mohenjo-daro","SEAL:S","None","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_010","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_010.png","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_011","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_011.png","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_012","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_012.png","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_013","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_013.png","Harappa","SEAL:S","Bull1:J","Steatite","Fair","","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_014","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_014.png","Harappa","TAB:I","None","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_015","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_015.png","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Good","","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_016","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_016.png","Chanhu-daro","SEAL:S","Bull1:W","Steatite","Poor","","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_017","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_017.png","Harappa","TAB:I","None","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_018","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_018.png","Chanhu-daro","SEAL:S","Bull1","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_019","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_019.jpg","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
"SBP1_020","C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_blind_packet_v1\SBP1_020.png","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","score_visible_032_002_y_packet_without_using_catalog_text"
