scope,y_after_002,y_class,rows,terminal_rows,continuing_rows,terminal_rate,distinct_full_tails,repeated_full_tails,top_next1,top_full_tails,frame_counts,site_counts,type_counts,symbol_counts,example_cisi
all_002_strict_dedup,861,leaky_closure,119,95,24,95/119,21,2,603:3;533:2;416:1;125:1;244:1;216:1;831:1;791:1;626:1;392:1,603:3;533 717:2;416:1;125:1;244 165:1;216:1;831 165:1;791 440 717:1;626:1;392:1,,Mohenjo-daro:77;Harappa:24;Dholavira:5;Lothal:5;Kalibangan:4;Chanhu-daro:2;Bakkar Buthi:1;Unknown:1,SEAL:S:85;SEAL:R:13;TAB:B:11;SEAL:3;POT:T:g:2;TAG:L:2;TAB:I:1;TAG:1;ROD:1,Bull1:W:27;None:26;Bull1:J:11;Bull1:S:10;Bull1:7;Gaur:6;Elep:6;Bull1:L:5;Phyt:3;Bull1:I:2,-;C-60;C-74;-;-;Dlv-1;H-1051;H-1030;H-1043;H-1942;H-2094;H-1692
all_002_strict_dedup,817,hard_closure,103,100,3,100/103,3,0,808:1;090:1;690:1,808:1;090 370:1;690 544:1,,Mohenjo-daro:61;Harappa:25;Lothal:5;Chanhu-daro:4;Dholavira:3;Banawali:1;Jhukar:1;Kalibangan:1;Unknown:1;Nausharo:1,SEAL:S:76;SEAL:R:12;TAB:B:8;SEAL:2;POT:T:s:1;TAB:I:1;TAG:B:1;IMPL:1;TAG:P:1,Bull1:W:21;None:19;Bull1:S:11;Bull1:J:10;Bull1:8;Gaur:4;Bull1:L:3;Zebu:3;Bull1:I:3;-:3,B-5;C-66;C-67;C-4;C-10;-;H-2003;H-2015;H-1864;H-1667;-;H-1726
all_002_strict_dedup,820,leaky_closure,71,66,5,66/71,4,1,741:2;033:1;001:1;700:1,741:2;033:1;001 440 012:1;700:1,,Mohenjo-daro:43;Harappa:16;Kalibangan:3;Lothal:3;Nausharo:3;Unknown:2;Bhirrana:1,SEAL:S:47;SEAL:R:11;TAB:B:10;SEAL:L:1;TAG:1;TAG:P:1,None:19;Bull1:W:19;Bull1:I:6;Bull1:J:4;Zebu:4;Bull1:3;Bull1:S:3;Rhin:3;Mult:2;Gavi:2,-;H-1045;H-1967;H-1882;H-1680;H-1146;H-45;H-149;H-231;H-244;H-506;H-514
all_002_strict_dedup,390,branch_head,14,0,14,0/14,13,1,125:4;705:2;072:1;530:1;692:1;095:1;346:1;707:1;140:1;590:1,705:2;072:1;530 741:1;125 632 032:1;692:1;095:1;125 632 032 900 563:1;346:1;707:1;140:1,,Mohenjo-daro:9;Harappa:2;Unknown:1;Surkotada:1;Dholavira:1,SEAL:S:13;TAB:B:1,Bull1:J:4;Bull1:I:2;Bull1:2;None:1;Bull1:T:1;Bull1:S:1;Bull2:1;Bull1:W:1;Bull1:U:1,H-68;H-773;M-38;M-70;M-71;M-119;M-213;M-232;M-708;M-735;-;Sktd-1
all_002_strict_dedup,368,branch_head,11,0,11,0/11,10,1,260:2;634:1;550:1;861:1;202:1;906:1;119:1;518:1;165:1;590:1,260:2;634:1;550 821:1;861 590 032 368:1;202 892 371:1;906 329:1;119:1;518:1;165:1;590 900:1,,Mohenjo-daro:6;Bala-kot:1;Banawali:1;Harappa:1;Kalibangan:1;Unknown:1,SEAL:S:11,Bull1:I:3;Bull1:S:2;Bull1:1;Bull1:O:1;Bull1:W:1;Gaur:1;Comp:1;None:1,Blk-2;B-1;H-600;K-10;M-1789;M-12;M-36;M-99;M-253;M-311;?-3
all_002_strict_dedup,031,branch_head,9,0,9,0/9,8,1,892:2;480:1;165:1;575:1;502:1;350:1;376:1;104:1,892:2;480 625:1;165:1;575:1;502:1;350 550 692:1;376:1;104:1,,Mohenjo-daro:6;Harappa:2;Dholavira:1,SEAL:S:8;SEAL:R:1,Bull1:W:3;Bull1:S:2;Bull1:L:1;Zebu:1;Bull1:J:1;None:1,H-44;H-389;M-1745;M-211;M-318;M-678;M-739;M-1823;-
all_002_strict_dedup,220,branch_head,9,0,9,0/9,9,0,455:4;065:3;880:1;627:1,455 741:1;455 920:1;065 132 082:1;455 503:1;065 215:1;065 440 455:1;455 520:1;880 689:1;627 615 906 388:1,,Mohenjo-daro:6;Harappa:2;Kalibangan:1,SEAL:S:8;TAG:O:1,Bull1:W:3;Bull1:3;Gaur:1;Bull1:S:1;Bull1:J:1,H-82;H-268;K-25;M-29;M-46;M-140;M-147;M-655;M-1427
all_002_strict_dedup,824,other,6,6,0,6/6,0,0,,,,Mohenjo-daro:3;Harappa:1;Lothal:1;Unknown:1,SEAL:S:5;SEAL:R:1,Bull1:J:2;-:1;T-A-T:1;Bull1:I:1;Tigr:1,H-1670;L-91;M-309;M-788;M-872;-
all_002_strict_dedup,297,other,4,0,4,0/4,3,1,350:2;190:1;416:1,350 125 413:2;190 920 140:1;416:1,,Mohenjo-daro:2;Bala-kot:1;Nausharo:1,SEAL:S:3;SEAL:R:1,Bull1:1;Bull1:W:1;Bull1:S:1;None:1,Blk-1;M-53;M-114;Ns-60
all_002_strict_dedup,405,other,4,0,4,0/4,4,0,321:1;501:1;372:1;125:1,321:1;501:1;372 374:1;125 820:1,,Harappa:2;Mohenjo-daro:2,SEAL:S:3;TAB:B:1,Bull1:W:3;Bull1:I:1,H-22;H-252;M-34;M-41
