"control","iteration","source_rows","source_tokens","unique_sequences","exact_duplicate_groups","exact_duplicate_rows","exact_duplicate_row_share","top_sequence_count","collapsed_rows","collapsed_tokens","unique_signs","rows_length_gt_1","stored_higher_than_reversed","reversed_higher_than_stored","ties","stored_higher_share","mean_stored_minus_reversed","median_stored_minus_reversed","frequency_top1_accuracy","frequency_top5_accuracy","position_top1_accuracy","position_top5_accuracy","length_position_top1_accuracy","length_position_top5_accuracy","bidirectional_top1_accuracy","bidirectional_top5_accuracy"
"observed_lipi_numeric_clean_candidate","observed","2883","11645","1798","266","1351","0.468609","117","1798","8212","571","1798","1705","84","9","0.948276","9.403535","9.200559","0.107769","0.239284","0.15112","0.321603","0.154652","0.357404","0.325865","0.567828"
"duplicate_matched_position_slots","1","2883","11645","1798","266","1351","0.468609","117","1798","8212","443","1798","1720","71","7","0.956618","6.432362","6.74168","0.101802","0.234413","0.142353","0.322942","0.176449","0.41208","0.139552","0.309303"
"duplicate_matched_position_slots","2","2883","11645","1798","266","1351","0.468609","117","1798","8212","456","1798","1717","76","5","0.95495","6.902694","7.220007","0.110692","0.241354","0.151242","0.335728","0.185582","0.418777","0.15319","0.31868"
"duplicate_matched_position_slots","3","2883","11645","1798","266","1351","0.468609","117","1798","8212","461","1798","1703","89","6","0.947164","6.365126","6.742881","0.108743","0.245616","0.147102","0.33585","0.174744","0.407453","0.14077","0.319654"
"duplicate_matched_position_slots","4","2883","11645","1798","266","1351","0.468609","117","1798","8212","441","1798","1714","78","6","0.953281","6.928382","7.388328","0.111422","0.249026","0.156113","0.340721","0.193376","0.425353","0.151364","0.318558"
"duplicate_matched_position_slots","5","2883","11645","1798","266","1351","0.468609","117","1798","8212","459","1798","1715","78","5","0.953838","6.494014","6.911104","0.102289","0.241841","0.150024","0.341086","0.178763","0.423405","0.146006","0.318924"
"duplicate_matched_position_slots","6","2883","11645","1798","266","1351","0.468609","117","1798","8212","447","1798","1705","82","11","0.948276","6.191047","6.677803","0.112396","0.249756","0.153434","0.335728","0.180955","0.424135","0.146249","0.32209"
"duplicate_matched_position_slots","7","2883","11645","1798","266","1351","0.468609","117","1798","8212","463","1798","1700","87","11","0.945495","6.333985","6.669485","0.109961","0.244642","0.154408","0.341573","0.197151","0.426571","0.150755","0.321603"
"duplicate_matched_position_slots","8","2883","11645","1798","266","1351","0.468609","117","1798","8212","450","1798","1709","81","8","0.950501","6.482836","6.937244","0.104968","0.234048","0.147345","0.323673","0.176327","0.403799","0.144788","0.311617"
"duplicate_matched_position_slots","9","2883","11645","1798","266","1351","0.468609","117","1798","8212","457","1798","1696","99","3","0.94327","6.069287","6.464588","0.112153","0.243668","0.154286","0.335728","0.187165","0.426327","0.143327","0.310156"
"duplicate_matched_position_slots","10","2883","11645","1798","266","1351","0.468609","117","1798","8212","447","1798","1719","72","7","0.956062","6.529672","7.064759","0.111301","0.248052","0.153556","0.330127","0.185095","0.416951","0.15039","0.318924"
"duplicate_matched_position_slots","11","2883","11645","1798","266","1351","0.468609","117","1798","8212","438","1798","1707","84","7","0.949388","6.449337","6.991855","0.110813","0.233682","0.151851","0.332927","0.190453","0.419873","0.149781","0.32282"
"duplicate_matched_position_slots","12","2883","11645","1798","266","1351","0.468609","117","1798","8212","443","1798","1691","99","8","0.940489","6.15362","6.532951","0.102411","0.239893","0.146858","0.33244","0.168534","0.412202","0.1415","0.303093"
"duplicate_matched_position_slots","13","2883","11645","1798","266","1351","0.468609","117","1798","8212","451","1798","1712","74","12","0.952169","6.571281","6.97006","0.109839","0.243546","0.155139","0.330614","0.186434","0.409279","0.147224","0.317949"
"duplicate_matched_position_slots","14","2883","11645","1798","266","1351","0.468609","117","1798","8212","449","1798","1709","80","9","0.950501","6.610475","7.122867","0.111179","0.246956","0.15246","0.336094","0.188261","0.424501","0.146615","0.316488"
"duplicate_matched_position_slots","15","2883","11645","1798","266","1351","0.468609","117","1798","8212","464","1798","1690","97","11","0.939933","6.362729","6.824637","0.110205","0.240623","0.148685","0.320872","0.185095","0.41622","0.142474","0.314783"
"duplicate_matched_position_slots","16","2883","11645","1798","266","1351","0.468609","117","1798","8212","462","1798","1719","73","6","0.956062","6.415233","6.706903","0.105334","0.231003","0.144788","0.332075","0.183999","0.412323","0.135777","0.301997"
"duplicate_matched_position_slots","17","2883","11645","1798","266","1351","0.468609","117","1798","8212","459","1798","1718","74","6","0.955506","6.625686","7.010286","0.104481","0.233682","0.145762","0.329152","0.180955","0.410619","0.138821","0.306137"
"duplicate_matched_position_slots","18","2883","11645","1798","266","1351","0.468609","117","1798","8212","449","1798","1701","86","11","0.946051","6.383682","6.896492","0.111909","0.242815","0.14491","0.34133","0.184973","0.432051","0.148928","0.318924"
"duplicate_matched_position_slots","19","2883","11645","1798","266","1351","0.468609","117","1798","8212","455","1798","1701","88","9","0.946051","6.309491","6.6996","0.107404","0.221505","0.150511","0.337068","0.186556","0.41756","0.14832","0.314418"
"duplicate_matched_position_slots","20","2883","11645","1798","266","1351","0.468609","117","1798","8212","450","1798","1703","89","6","0.947164","6.349054","6.669022","0.109352","0.241841","0.154774","0.336581","0.193132","0.430589","0.146615","0.31661"
"administrative_register_code","1","2883","11645","1798","266","1351","0.468609","117","1798","8212","292","1798","1782","13","3","0.991101","13.161966","12.571993","0.074403","0.283975","0.172309","0.449708","0.249635","0.546761","0.473088","0.691184"
"administrative_register_code","2","2883","11645","1798","266","1351","0.468609","117","1798","8212","277","1798","1782","13","3","0.991101","13.04817","12.413152","0.071359","0.27813","0.169264","0.420969","0.23697","0.518144","0.467","0.685095"
