checked_date,x,rows,open_rate,terminal_rate,class,prev1s,prev2s,tails,scopes,objects
2026-05-31,072,1,0/1,1/1,terminal_payload,003:1,220:1,<END>:1,Harappa|SEAL:S|square|Steatite:1,H-68
2026-05-31,095,2,0/2,2/2,terminal_payload,004:1;142:1,220:1;279:1,<END>:2,Harappa|TAB:B|rectangular|Clay:1;Mohenjo-daro|SEAL:S|square|Steatite:1,H-1993;M-71
2026-05-31,125,4,4/4,0/4,open_payload,235:2;004:1;484:1,240:1;337:1;390:1;760:1,195:1;632 032:1;632 032 900 563:1;820:1,Mohenjo-daro|SEAL:S|square|Steatite:3;Surkotada|SEAL:S|square|-:1,M-38;M-119;M-735;Sktd-1
2026-05-31,140,1,0/1,1/1,terminal_payload,061:1,740:1,<END>:1,Mohenjo-daro|SEAL:S|square|Steatite:1,M-708
2026-05-31,346,1,0/1,1/1,terminal_payload,384:1,740:1,<END>:1,Mohenjo-daro|SEAL:S|square|Steatite:1,M-213
2026-05-31,530,1,1/1,0/1,open_payload,803:1,798:1,741:1,Harappa|TAB:B|plano-convex|Faience:1,H-773
2026-05-31,590,1,1/1,0/1,open_payload,032:1,205:1,032:1,Unknown|SEAL:S|square|-:1,-
2026-05-31,692,1,0/1,1/1,terminal_payload,032:1,226:1,<END>:1,Mohenjo-daro|SEAL:S|square|Steatite:1,M-70
2026-05-31,705,2,0/2,2/2,terminal_payload,031:1;388:1,032:1;157:1,<END>:2,Dholavira|SEAL:S|square|-:1;Mohenjo-daro|SEAL:S|square|-:1,M-1825;-
2026-05-31,707,1,0/1,1/1,terminal_payload,236:1,-:1,<END>:1,Mohenjo-daro|SEAL:S|square|Steatite:1,M-232
