pool,hit,pool_rows,elephant_rows,background_rows,target_a,target_c,target_total,fisher_p,rank,bonferroni_p,maxstat_fpr,target_label_shuffle_fpr
all,any_520,3503,46,3457,10,214,224,0.0004944211765318167,1/714,0.35301672004371715,0.05366666666666667,0.0003333333333333333
seal_s_only,any_520,1545,39,1506,9,142,151,0.010416253972437355,1/551,1,0.578,0.007333333333333333
square_only,any_520,1569,39,1530,9,142,151,0.009443761963646534,2/556,1,0.5903333333333334,0.010666666666666666
complete_only,any_520,2184,31,2153,6,164,170,0.029172797916983427,10/661,1,0.9996666666666667,0.029
non_poor_only,any_520,1733,31,1702,6,127,133,0.02716124824167651,11/605,1,0.9983333333333333,0.03166666666666667
without_mohenjo,any_520,1971,17,1954,2,98,100,0.21210817089774778,28/544,1,1,0.214
without_harappa,any_520,2321,39,2282,9,163,172,0.0016591067889499384,1/623,1,0.199,0
mohenjo_only,any_520,1532,29,1503,8,116,124,0.001477750897189305,1/546,0.8068519898653606,0.13966666666666666,0.0013333333333333333
all_initial_only,initial_520,3503,46,3457,7,172,179,0.007962916789978323,not_all_sign_ranked_initial_only,,0.5893333333333334,0.008666666666666666
seal_s_initial_only,initial_520,1545,39,1506,6,124,130,0.10306106228755958,not_all_sign_ranked_initial_only,,1,0.10033333333333333
