source_a,source_a_sign,source_b,top_source_b_sign,mapping_state,candidate_grade,total_aligned_positions,top_count,top_share,runner_up_sign,runner_up_count,distinct_candidate_count,position_counts,evidence_types,evidence_refs,example_artifacts,review_status,confidence,counterexamples
mayig_parpola,P325,lipi_numeric,741,uncertain,high_consistency_positional_candidate,10,10,1.000000,,0,1,medial:9;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-85;M-93;M-112;M-113;M-129;M-131;M-139;M-159,needs_image_or_authoritative_sign_list_validation,medium_low,
mayig_parpola,P147,lipi_numeric,033,uncertain,medium_consistency_positional_candidate,9,9,1.000000,,0,1,medial:8;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-44;M-54;M-64;M-86;M-117;M-118;M-122;M-135,needs_image_or_authoritative_sign_list_validation,low,
mayig_parpola,P154,lipi_numeric,900,uncertain,conflicted_positional_candidate,9,5,0.555556,920,4,2,medial:7;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-44;M-48;M-53;M-84;M-102;M-119;M-121;M-138,needs_image_or_authoritative_sign_list_validation,very_low,920:4
mayig_parpola,P256,lipi_numeric,692,uncertain,medium_consistency_positional_candidate,9,8,0.888889,690,1,2,terminal:7;medial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-5;M-21;M-26;M-38;M-69;M-70;M-134;M-146,needs_image_or_authoritative_sign_list_validation,low,690:1
mayig_parpola,P011,lipi_numeric,140,uncertain,medium_consistency_positional_candidate,8,8,1.000000,,0,1,terminal:5;medial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-8;M-24;M-51;M-53;M-74;M-109;M-115;M-142,needs_image_or_authoritative_sign_list_validation,low,
mayig_parpola,P013,lipi_numeric,090,uncertain,medium_consistency_positional_candidate,8,8,1.000000,,0,1,initial:8,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-15;M-24;M-26;M-53;M-100;M-104;M-136;M-184,needs_image_or_authoritative_sign_list_validation,low,
mayig_parpola,P073,lipi_numeric,255,uncertain,medium_consistency_positional_candidate,7,7,1.000000,,0,1,medial:6;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-1;M-38;M-91;M-97;M-100;M-133;M-146,needs_image_or_authoritative_sign_list_validation,low,
mayig_parpola,P144,lipi_numeric,031,uncertain,medium_consistency_positional_candidate,7,7,1.000000,,0,1,medial:4;terminal:2;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-9;M-65;M-90;M-135;M-136;M-155;M-160,needs_image_or_authoritative_sign_list_validation,low,
mayig_parpola,P205,lipi_numeric,297,uncertain,conflicted_positional_candidate,7,3,0.428571,295,1,5,medial:6;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-9;M-13;M-53;M-114;M-115;M-181;M-183,needs_image_or_authoritative_sign_list_validation,very_low,295:1;301:1;304:1;311:1
mayig_parpola,P004,lipi_numeric,156,uncertain,low_consistency_positional_candidate,6,5,0.833333,154,1,2,initial:6,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-80;M-93;M-96;M-97;M-102;M-132,needs_image_or_authoritative_sign_list_validation,very_low,154:1
mayig_parpola,P056,lipi_numeric,231,uncertain,low_consistency_positional_candidate,6,5,0.833333,220,1,2,medial:6,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-35;M-43;M-57;M-69;M-86;M-112,needs_image_or_authoritative_sign_list_validation,very_low,220:1
mayig_parpola,P092,lipi_numeric,415,uncertain,low_consistency_positional_candidate,6,5,0.833333,621,1,2,medial:5;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-37;M-52;M-109;M-144;M-154;M-163,needs_image_or_authoritative_sign_list_validation,very_low,621:1
mayig_parpola,P121,lipi_numeric,001,uncertain,medium_consistency_positional_candidate,6,6,1.000000,,0,1,medial:5;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-1;M-21;M-65;M-84;M-157;M-172,needs_image_or_authoritative_sign_list_validation,low,
mayig_parpola,P126,lipi_numeric,016,uncertain,medium_consistency_positional_candidate,6,6,1.000000,,0,1,medial:5;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-17;M-53;M-112;M-136;M-158;M-178,needs_image_or_authoritative_sign_list_validation,low,
mayig_parpola,P175,lipi_numeric,923,uncertain,medium_consistency_positional_candidate,6,6,1.000000,,0,1,medial:6,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-33;M-124;M-128;M-170;M-171;M-174,needs_image_or_authoritative_sign_list_validation,low,
mayig_parpola,P194,lipi_numeric,176,uncertain,medium_consistency_positional_candidate,6,6,1.000000,,0,1,medial:5;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-15;M-34;M-115;M-116;M-127;M-155,needs_image_or_authoritative_sign_list_validation,low,
