object,site,type,symbol,condition,complete,has_405,has_806,text
-:18.1,Bakkar Buthi,POT:T:g,NA,Poor,Y,true,false,+405-844-032-840-002-861+
C-87,Chanhu-daro,TAG:P,NA,Fair,Y,true,false,+740-405+
H-1401,Harappa,POT:T:g,NA,Poor,N,true,false,+000-000-000-000-405[
H-661,Harappa,SEAL:R,NA,Fair,Y,false,true,+740-055-806+
M-1641,Mohenjo-daro,BNGL,NA,Poor,Y,true,false,+405+
H-1517,Harappa,ROD,NA,Fair,Y,true,false,+405-005-002+
M-404,Mohenjo-daro,SEAL:R,NA,Fine,Y,true,false,+405-005+
H-1942,Harappa,TAB:B,Bult,Good,Y,true,false,+405-035-002-861+
K-97,Kalibangan,POT:T:g,NA,Fair,Y,true,false,+405-003+
H-1114,Harappa,TAB:B,NA,Fair,Y,true,true,+400-740-405-590-235-806+
H-1852,Harappa,TAB:B,NA,Poor,?,false,true,+740-806[
H-1999,Harappa,TAB:B,Mult,Fair,Y,false,true,+400-154-806-467+
H-1706,Harappa,SEAL:R,NA,Good,Y,true,false,+405-003-002-293-360+
H-2568,Harappa,POT:T:g,NA,Poor,?,false,true,]798-806-820-388[
H-1980,Harappa,TAB:B,Phyt,Poor,Y,false,true,+400-158-806-475+
H-1983,Harappa,TAB:B,NA,Fair,Y,true,false,+405-004-013-817+
H-1788,Harappa,TAB:B,NA,Poor,Y,false,true,+154-806-470-002-861+
H-1731,Harappa,POT:T:s,NA,Poor,N,false,true,]154-806-000[
H-1720,Harappa,TAG:L,NA,Poor,?,true,false,+033-413-893-405-090-405-326[
H-1719,Harappa,TAG:L,NA,Poor,?,true,false,]405-090-405-326-920+
H-1808,Harappa,TAB:B,NA,Fair,N,false,true,+400-158-806-000+
H-1979,Harappa,TAB:B,Phyt,Poor,Y,false,true,+740-158-806-467+
H-78,Harappa,SEAL:S,Gaur,Poor,N,false,true,]000-806-002-575-000+
H-103,Harappa,SEAL:S,NA,Fair,Y,false,true,+159-097/520-033-705/740-717-220-415-806+
H-130,Harappa,SEAL:R,NA,Fair,Y,false,true,+409-032-845-033-705-231-806-002-595-812-125-717+
H-132,Harappa,SEAL:R,NA,Fine,Y,false,true,+154-806-471-407-845-740-233-231-798+
H-134,Harappa,SEAL:R,NA,Good,Y,true,false,+740-405-590-220-003-002-861+
H-135,Harappa,SEAL:R,NA,Fine,Y,false,true,+740-773-231-806-002-861+
H-136,Harappa,SEAL:R,NA,Poor,N,true,false,+405-585-033-705-235-000[
H-141,Harappa,SEAL:R,NA,Good,Y,true,false,+405-032-900-003-070-002-233-235+
