"scope","policy","iterations","stored_as_is","null_mean","null_p05","null_median","null_p95","null_min","null_max","null_ge_stored_as_is_share"
"all_harsh","random_row_flips","1000","0.841096","0.471134","0.416438","0.471233","0.526027","0.375342","0.572603","0"
"all_harsh","random_site_flips","1000","0.841096","0.697553","0.553425","0.761644","0.816438","0.539726","0.841096","0"
"all_harsh","random_direction_label_flips","1000","0.841096","0.827315","0.813699","0.813699","0.841096","0.813699","0.841096","0"
"R_L_only","random_row_flips","1000","0.838983","0.469201","0.412429","0.468927","0.528249","0.364407","0.584746","0"
"R_L_only","random_site_flips","1000","0.838983","0.694768","0.576271","0.745763","0.813559","0.559322","0.838983","0.002"
"R_L_only","random_direction_label_flips","1000","0.838983","0.838983","0.838983","0.838983","0.838983","0.838983","0.838983","1"
"Mohenjo_daro_R_L_only","random_row_flips","1000","0.813397","0.448268","0.37799","0.449761","0.521531","0.296651","0.578947","0"
"Mohenjo_daro_R_L_only","random_site_flips","1000","0.813397","0.813397","0.813397","0.813397","0.813397","0.813397","0.813397","1"
"Mohenjo_daro_R_L_only","random_direction_label_flips","1000","0.813397","0.813397","0.813397","0.813397","0.813397","0.813397","0.813397","1"
"Harappa_R_L_only","random_row_flips","1000","0.769231","0.430923","0.326923","0.432692","0.538462","0.192308","0.625","0"
"Harappa_R_L_only","random_site_flips","1000","0.769231","0.769231","0.769231","0.769231","0.769231","0.769231","0.769231","0"
"Harappa_R_L_only","random_direction_label_flips","1000","0.769231","0.769231","0.769231","0.769231","0.769231","0.769231","0.769231","0"
