pool,sign,pool_rows,context_rows,a,b,c,d,total,fisher_p,bonferroni_p
all_canonical,407,3503,444,53,391,17,3042,70,1.7672622753809527e-34,1.2618252646220003e-31
all_canonical,806,3503,444,49,395,48,3011,97,4.0652180940653055e-20,2.902565719162628e-17
all_canonical,845,3503,444,18,426,3,3056,21,4.828613866200323e-14,3.4476303004670305e-11
all_canonical,001,3503,444,58,386,129,2930,187,8.449876094793465e-12,6.033211531682534e-9
all_canonical,154,3503,444,19,425,19,3040,38,2.189235384945729e-8,0.000015631140648512503
all_canonical,405,3503,444,27,417,44,3015,71,3.864107315619941e-8,0.00002758972623352638
all_canonical,747,3503,444,6,438,1,3058,7,0.000025151289423100507,0.01795802064809376
all_canonical,798,3503,444,33,411,97,2962,130,0.00004399464754590392,0.0314121783477754
all_canonical,595,3503,444,16,428,29,3030,45,0.000065096197249506,0.04647868483614728
all_canonical,233,3503,444,39,405,133,2926,172,0.00013620654332535673,0.09725147193430471
all_canonical,095,3503,444,10,434,12,3047,22,0.00015131586271720804,0.10803952598008654
all_canonical,900,3503,444,23,421,60,2999,83,0.00015889896813667964,0.11345386324958927
all_canonical,423,3503,444,5,439,1,3058,6,0.0001723122540638776,0.1230309494016086
all_canonical,142,3503,444,19,425,44,3015,63,0.00017707867438111513,0.1264341735081162
all_canonical,706,3503,444,22,422,57,3002,79,0.0002038233198091174,0.14552985034370983
all_canonical,503,3503,444,15,429,30,3029,45,0.0002527844048338978,0.18048806505140302
all_canonical,597,3503,444,4,440,0,3059,4,0.0002550534021650454,0.1821081291458424
all_canonical,003,3503,444,35,409,119,2940,154,0.00028836446230317506,0.205892226084467
all_canonical,063,3503,444,7,437,6,3053,13,0.00043316673986256885,0.30928105226187413
all_canonical,617,3503,444,17,427,41,3018,58,0.0005610843854581344,0.4006142512171079
