object,region,site,type,material,shape,symbol,condition,complete,register_context,text
Dlp-2,Gujarat/Kutch,Desalpur,SEAL:R,NA,cuboid-convex,NA,Fair,Y,true,+590-407-790-440+
-:135.1,Gujarat/Kutch,Dholavira,SEAL:R,Clay,rectangular,NA,Fair,Y,true,+590-407-790-032+
-:139.1,Gujarat/Kutch,Dholavira,SEAL:R,Steatite,rectangular,NA,Good,Y,true,+740-100-407-590+
M-584,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Anth,Poor,N,true,+740-900-000-407-000-000-000+
H-873,Inter-Riverine,Harappa,TAB:B,Clay,cylindrical,Gavi,Poor,Y,false,+740-407-590-690-436-255-920-318-220-415-803+
H-1714,Inter-Riverine,Harappa,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,+407-790-032+
M-1063,Lower Indus,Mohenjo-daro,SEAL:S,Steatite,square,NA,Poor,Y,false,+407-004-002-861+
H-2340,Inter-Riverine,Harappa,POT:T:g,Clay,NA,NA,Poor,N,false,+407-033-127-000[
H-1014,Inter-Riverine,Harappa,MISC,NA,NA,NA,Poor,Y,false,+407-016-013-861+
H-132,Inter-Riverine,Harappa,SEAL:R,NA,rectangular,NA,Fine,Y,true,+154-806-471-407-845-740-233-231-798+
H-151,Inter-Riverine,Harappa,SEAL:R,NA,rectangular,NA,Good,Y,true,+407-017-060-193+
H-196,Inter-Riverine,Harappa,TAB:B,Faience,cylindrical,Mult,Fair,Y,false,+407-590-740-072+
H-420,Inter-Riverine,Harappa,SEAL:S,Steatite,square,Bull1:W,Fair,Y,false,+407-004-001-740-443-388-140+
H-518,Inter-Riverine,Harappa,SEAL:S,Steatite,square,Bull1:W,Fair,Y,false,+407-004+
H-639,Inter-Riverine,Harappa,SEAL:R,NA,cuboid-convex,NA,Poor,N,true,+407-000-000-705-832-904-845-235-002-717-747+
H-657,Inter-Riverine,Harappa,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,true,+407-061-231-235-000[
H-659,Inter-Riverine,Harappa,SEAL:R,NA,cuboid-convex,NA,Fair,Y,true,+407-845-140-740-233-240-798-365-263+
H-665,Inter-Riverine,Harappa,SEAL:R,NA,rectangular,NA,Good,Y,true,+407-004-060-692+
H-689,Inter-Riverine,Harappa,SEAL:S,Steatite,square,NA,Poor,?,false,]746-407-575[
H-689,Inter-Riverine,Harappa,SEAL:S,Steatite,square,NA,Poor,N,false,]000-407-575[
H-756,Inter-Riverine,Harappa,TAB:B,Faience,rectangular,NA,Fair,Y,false,+407-005-741-500-561+
M-1452,Lower Indus,Mohenjo-daro,TAB:C,Copper,square,Othr,Poor,Y,true,+740-407-590+
L-90,Gujarat/Kutch,Lothal,SEAL:R,NA,cuboid-convex,NA,Fair,Y,true,+423-003-060-407-140+
L-114,Gujarat/Kutch,Lothal,SEAL:R,Steatite,rectangular,NA,Poor,Y,true,+740-407-590-904-220-032-803-060-920+
M-1953,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,+407-845-233-806+
M-1984,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,rectangular,NA,Poor,Y,true,+407-003+
M-1722,Lower Indus,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:W,Poor,N,false,+740-407-000[
M-2053,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Fair,Y,true,+407-032-520-095-585-017-220+
M-2050,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Anth,Fair,Y,true,+740-900-850-407-061-845-806+
M-1920,Lower Indus,Mohenjo-daro,SEAL:S,Steatite,square,NA,Good,Y,false,+407-005+
M-1954,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,+740-407-590-031-752-033-705-220-415-798-002-861+
-:2481.1,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Unknown,Poor,Y,true,+407-063-845-240-798+
M-1965,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,rectangular,NA,Poor,N,true,+407-061-740-575-000[
M-1524,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Poor,Y,true,+407-585-033-705-233-235-806+
M-7,Lower Indus,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,+407-845-140-740-101-923-240-002-861+
M-171,Lower Indus,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:W,Fair,Y,false,+407-061-740-923-233-806-060-692+
M-354,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,+740-729-407-845-236-002-906-125+
