branch_after_390,raw_rows,objects,terminal_rows,continuation_rows,strict_source_visible_rows,strict_source_visible_objects,permissive_public_rows,broad_register_cells,strict_broad_register_cells,strict_source_convention_cells,tails,branch_score
125,4,M-38 M-119 M-735 Sktd-1,0,4,2,M-119 M-735,3,2,1,2,195 | 632 032 | 632 032 900 563 | 820,424
095,2,H-1993 M-71,2,0,1,M-71,1,2,1,1,<END>,210
705,2,M-1825 Dholavira:4237.1,2,0,0,,0,2,0,0,<END>,200
692,1,M-70,1,0,1,M-70,1,1,1,1,<END>,110
072,1,H-68,1,0,0,,0,1,0,0,<END>,100
140,1,M-708,1,0,0,,0,1,0,0,<END>,100
346,1,M-213,1,0,0,,0,1,0,0,<END>,100
530,1,H-773,0,1,0,,0,1,0,0,741,101
590,1,Unknown:3335.1,0,1,0,,0,1,0,0,032,101
707,1,M-232,1,0,0,,0,1,0,0,<END>,100
