"corpus","scope","control","iteration","rows","tokens","unique_signs_or_symbols","masked_tokens","masked_top1_accuracy","masked_top5_accuracy","masked_mrr"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","0","187","684","78","684","0.106725","0.450292","0.265928"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","1","187","684","78","684","0.071637","0.419591","0.22609"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","2","187","684","78","684","0.099415","0.426901","0.252385"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","3","187","684","78","684","0.086257","0.440058","0.248576"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","4","187","684","78","684","0.122807","0.451754","0.273961"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","5","187","684","78","684","0.105263","0.397661","0.250775"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","6","187","684","78","684","0.099415","0.440058","0.255601"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","7","187","684","78","684","0.071637","0.435673","0.237646"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","8","187","684","78","684","0.080409","0.429825","0.240676"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","9","187","684","78","684","0.081871","0.428363","0.233243"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","10","187","684","78","684","0.084795","0.399123","0.233287"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","11","187","684","78","684","0.106725","0.47076","0.264859"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","12","187","684","78","684","0.096491","0.440058","0.249336"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","13","187","684","78","684","0.081871","0.435673","0.243882"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","14","187","684","78","684","0.111111","0.461988","0.266667"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","15","187","684","78","684","0.096491","0.419591","0.246369"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","16","187","684","78","684","0.080409","0.435673","0.246054"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","17","187","684","78","684","0.076023","0.407895","0.232863"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","18","187","684","78","684","0.095029","0.409357","0.242719"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","19","187","684","78","684","0.084795","0.406433","0.239025"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","20","187","684","78","684","0.093567","0.400585","0.239949"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","21","187","684","78","684","0.054094","0.399123","0.218016"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","22","187","684","78","684","0.076023","0.434211","0.242129"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","23","187","684","78","684","0.083333","0.407895","0.236959"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","24","187","684","78","684","0.096491","0.429825","0.248636"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","25","187","684","78","684","0.096491","0.431287","0.251323"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","26","187","684","78","684","0.093567","0.425439","0.250579"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","27","187","684","78","684","0.097953","0.419591","0.258929"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","28","187","684","78","684","0.086257","0.432749","0.240395"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","29","187","684","78","684","0.084795","0.442982","0.248302"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","30","187","684","78","684","0.074561","0.399123","0.230552"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","31","187","684","78","684","0.105263","0.413743","0.257025"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","32","187","684","78","684","0.083333","0.418129","0.239106"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","33","187","684","78","684","0.062865","0.422515","0.224818"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","34","187","684","78","684","0.087719","0.412281","0.243439"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","35","187","684","78","684","0.096491","0.426901","0.255724"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","36","187","684","78","684","0.087719","0.399123","0.239418"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","37","187","684","78","684","0.076023","0.435673","0.235804"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","38","187","684","78","684","0.080409","0.416667","0.240848"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","39","187","684","78","684","0.090643","0.402047","0.239262"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","0","187","684","78","684","0.181287","0.476608","0.322277"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","1","187","684","78","684","0.172515","0.476608","0.320726"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","2","187","684","78","684","0.172515","0.46345","0.315902"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","3","187","684","78","684","0.175439","0.475146","0.320326"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","4","187","684","78","684","0.168129","0.461988","0.306734"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","5","187","684","78","684","0.169591","0.466374","0.311869"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","6","187","684","78","684","0.178363","0.480994","0.31973"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","7","187","684","78","684","0.172515","0.495614","0.318563"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","8","187","684","78","684","0.153509","0.479532","0.305471"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","9","187","684","78","684","0.140351","0.472222","0.298077"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","10","187","684","78","684","0.162281","0.469298","0.308439"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","11","187","684","78","684","0.162281","0.466374","0.30451"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","12","187","684","78","684","0.138889","0.467836","0.295002"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","13","187","684","78","684","0.175439","0.473684","0.317252"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","14","187","684","78","684","0.160819","0.472222","0.308088"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","15","187","684","78","684","0.187135","0.505848","0.337313"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","16","187","684","78","684","0.156433","0.475146","0.304469"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","17","187","684","78","684","0.20614","0.495614","0.3511"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","18","187","684","78","684","0.184211","0.476608","0.325782"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","19","187","684","78","684","0.159357","0.47076","0.304087"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","20","187","684","78","684","0.181287","0.483918","0.322647"
