checked_date,x,polarity,x_count,x_terminal_rate,global_terminal_rate,terminal_delta,nonterminal_count,nonterminal_next1,nonterminal_tail_entropy,unique_heads,heads,sites,types,sample_objects
2026-05-31,501,global_edge,29,1.000,0.935,0.065,0,,0.000,1,405:29,Harappa:29,TAB:B:29,H-252;H-253;H-254;H-255;H-256;H-257;H-258;H-259;H-260;H-261;H-262;H-263
2026-05-31,091,global_edge,8,1.000,0.857,0.143,0,,0.000,1,056:8,Kalibangan:8,TAG:8,K-69;K-70;K-71;K-72;K-73;K-74;K-75;K-156
2026-05-31,692,global_edge,3,0.667,0.766,-0.100,1,416:1,0.000,3,252:1;390:1;455:1,Mohenjo-daro:2;Lothal:1,SEAL:S:3,L-5;M-1901;M-70
2026-05-31,350,mixed,7,0.429,0.208,0.220,4,125:2;032:1;550:1,1.500,6,297:2;000:1;031:1;125:1;300:1;301:1,Mohenjo-daro:5;Bala-kot:1;Nausharo:1,SEAL:S:6;SEAL:R:1,Blk-1;M-49;M-106;M-242;M-251;M-739;Ns-60
2026-05-31,032,mixed,7,0.571,0.418,0.153,3,320:1;520:1;904:1,1.585,7,168:1;172:1;305:1;817:1;840:1;861:1;862:1,Mohenjo-daro:4;Harappa:3,SEAL:S:6;TAG:O:1,H-1033;H-272;H-455;M-1791;M-1661;M-1159;M-1391
2026-05-31,590,mixed,7,0.429,0.259,0.170,4,032:2;125:1;900:1,1.500,7,125:1;368:1;390:1;392:1;540:1;705:1;798:1,Harappa:2;Unknown:2;Lohumjo-daro:1;Lothal:1;Mohenjo-daro:1,SEAL:S:6;SEAL:R:1,H-464;H-611;Lh-1;L-112;M-248;-:3335.1;?-3
2026-05-31,550,mixed,4,0.500,0.435,0.065,2,390:1;821:1,1.000,4,207:1;257:1;365:1;368:1,Banawali:1;Baror:1;Dholavira:1;Mohenjo-daro:1,SEAL:S:4,B-1;-:216.1;M-82;-:4196.1
2026-05-31,615,mixed,3,0.667,0.137,0.530,1,703:1,0.000,3,550:1;611:1;900:1,Mohenjo-daro:2;Harappa:1,SEAL:S:3,H-3;M-849;M-937
2026-05-31,892,mixed,3,0.667,0.222,0.444,1,810:1,0.000,2,031:2;269:1,Mohenjo-daro:2;Harappa:1,SEAL:S:3,H-44;M-1766;M-1745
2026-05-31,632,mixed,3,0.667,0.500,0.167,1,354:1,0.000,3,244:1;460:1;595:1,Mohenjo-daro:2;Harappa:1,SEAL:S:3,H-385;M-845;M-1188
2026-05-31,840,mixed,3,0.667,0.280,0.386,1,900:1,0.000,3,252:1;368:1;374:1,Mohenjo-daro:2;Lothal:1,SEAL:S:2;TAG:1,L-213;M-143;M-1089
2026-05-31,125,open_operator,11,0.182,0.288,-0.106,9,632:3;032:2;820:2;195:1;590:1,2.503,7,390:4;610:2;190:1;405:1;407:1;861:1;906:1,Mohenjo-daro:8;Harappa:2;Surkotada:1,SEAL:S:9;SEAL:R:1;TAB:C:1,H-55;H-74;M-1692;M-1665;M-38;M-41;M-119;M-354;M-735;Sktd-1;M-2055
2026-05-31,455,open_operator,8,0.250,0.239,0.011,6,000:1;125:1;503:1;520:1;741:1;920:1,2.585,4,220:5;267:1;590:1;741:1,Mohenjo-daro:5;Harappa:3,SEAL:S:7;TAB:B:1,H-1874;H-82;H-268;M-10;M-29;M-147;M-761;M-1909
2026-05-31,530,open_operator,4,0.000,0.316,-0.316,4,000:1;741:1;820:1;904:1,2.000,4,296:1;299:1;390:1;705:1,Chanhu-daro:1;Dholavira:1;Harappa:1;Mohenjo-daro:1,SEAL:S:3;TAB:B:1,C-57;H-773;M-623;-:4182.1
2026-05-31,003,open_operator,3,0.333,0.564,-0.230,2,590:2,0.000,2,900:2;906:1,Mohenjo-daro:2;Chanhu-daro:1,SEAL:S:3,C-71;M-958;M-979
