id,object,site,type,prev_before_390,branch_after_390,tail_after_branch,terminal_after_branch,is_002390,text
6.1,Ad-1,Allahdino,SEAL:S,740,590,<END>,yes,no,+740-390-590+
7.1,Ad-2,Allahdino,SEAL:S,368,125,033,no,no,+368-390-125-033+
90.1,C-2,Chanhu-daro,SEAL:S,740,590,<END>,yes,no,+740-390-590+
100.1,C-12,Chanhu-daro,SEAL:S,161,590,031 740 060 920,no,no,+161-390-590-031-740-060-920+
121.1,C-40,Chanhu-daro,IMPL,<START>,095,909 005 825 776 220 016,no,no,+390-095-909-005-825-776-220-016+
269.1,H-1109,Harappa,TAB:B,740,590,<END>,yes,no,+740-390-590[
378.1,H-1776,Harappa,TAB:B,740,590,060 550,no,no,+740-390-590-060-550+
537.1,H-1692,Harappa,SEAL:S,740,590,002 861,no,no,+740-390-590-002-861+
629.1,H-1801,Harappa,TAB:B,740,590,741,no,no,+740-390-590-741[
744.2,H-1993,Harappa,TAB:B,002,095,<END>,yes,yes,+740-000-220-004-002-390-095+
868.1,H-1802,Harappa,TAB:B,740,590,<END>,yes,no,+740-390-590[
1057.1,H-733,Harappa,TAB:B,740,590,240,no,no,+740-390-590-240+
1098.1,H-39,Harappa,SEAL:S,740,590,231 240 235 745 060 920,no,no,+740-390-590-231-240-235-745-060-920+
1111.1,H-52,Harappa,SEAL:S,740,590,125 741 000 000,no,no,+740-390-590-125-741-000-000+
1133.1,H-75,Harappa,SEAL:S,740,590,<END>,yes,no,+400-740-390-590+
1214.1,H-180,Harappa,TAB:B,151,590,741 330 368,no,no,+151-390-590-741-330-368+
1214.2,H-180,Harappa,TAB:B,151,590,741 330 368,no,no,+151-390-590-741-330-368+
1226.1,H-194,Harappa,TAB:B,740,590,240,no,no,+740-390-590-240+
1439.1,H-449,Harappa,SEAL:S,740,590,240 741 390 728,no,no,+740-390-590-240-741-390-728+
1444.1,H-454,Harappa,SEAL:S,740,590,742 700,no,no,+740-390-590-742-700+
1454.1,H-466,Harappa,SEAL:S,740,590,233 231 741 000,no,no,+740-390-590-233-231-741-000+
1455.1,H-467,Harappa,SEAL:S,741,125,<END>,yes,no,]741-390-125+
1487.1,H-510,Harappa,SEAL:S,740,590,060 795,no,no,+740-390-590-060-795+
1503.1,H-533,Harappa,SEAL:S,740,590,<END>,yes,no,+740-390-590[
1540.1,H-597,Harappa,SEAL:S,740,590,070 032 002 861,no,no,+740-390-590-070-032-002-861+
1540.2,H-597,Harappa,SEAL:S,740,590,070 032 002 861,no,no,+740-390-590-070-032-002-861+
1599.1,H-694,Harappa,TAB:B,740,590,235 368 806,no,no,+740-390-590-235-368-806+
1600.1,H-695,Harappa,TAB:B,740,590,235 368 806,no,no,+740-390-590-235-368-806+
1633.1,H-734,Harappa,TAB:B,740,590,240,no,no,+740-390-590-240+
1665.1,H-773,Harappa,TAB:B,002,530,741,no,yes,+740-798-803-002-390-530-741+
1705.1,H-816,Harappa,TAB:B,740,590,<END>,yes,no,+400-740-390-590+
1741.1,H-857,Harappa,TAB:B,740,590,235,no,no,+740-390-590-235+
1971.1,-,Kish,SEAL:S,740,590,220 003 060 840 416,no,no,+740-390-590-220-003-060-840-416+
2081.1,L-139,Lothal,TAG,<START>,590,032 002 880,no,no,]390-590-032-002-880[
2116.1,L-196,Lothal,TAG,<START>,590,032 002 000,no,no,]390-590-032-002-000[
2118.2,L-198,Lothal,TAG,740,590,032 002 000,no,no,+740-390-590-032-002-000[
2122.1,L-202,Lothal,TAG,000,590,220,no,no,]000-390-590-220[
2344.1,M-1902,Mohenjo-daro,SEAL:S,151,590,741 060 920,no,no,+151-390-590-741-060-920+
2416.1,-,Mohenjo-daro,TAB:B,740,590,033 705 000,no,no,+740-390-590-033-705-000+
2448.1,M-1739,Mohenjo-daro,SEAL:S,740,590,032 060 201,no,no,+740-390-590-032-060-201+
2489.1,-,Dholavira,SEAL:S,740,590,002 817,no,no,+740-390-590-002-817+
2540.1,M-12,Mohenjo-daro,SEAL:S,740,590,233 002 368 202 892 371,no,no,+740-390-590-233-002-368-202-892-371+
2563.1,M-35,Mohenjo-daro,SEAL:S,740,590,233 231 002 107,no,no,+740-390-590-233-231-002-107+
2566.1,M-38,Mohenjo-daro,SEAL:S,002,125,632 032,no,yes,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2594.1,M-66,Mohenjo-daro,SEAL:S,740,590,235 002 374 309 350,no,no,+740-390-590-235-002-374-309-350+
2598.1,M-70,Mohenjo-daro,SEAL:S,002,692,<END>,yes,yes,+226-032-002-390-692+
2599.1,M-71,Mohenjo-daro,SEAL:S,002,095,<END>,yes,yes,+151-279-142-002-390-095+
2621.1,M-94,Mohenjo-daro,SEAL:S,740,590,220 003,no,no,+740-390-590-220-003+
2646.1,M-119,Mohenjo-daro,SEAL:S,002,125,632 032 900 563,no,yes,+151-337-484-002-390-125-632-032-900-563+
2658.1,M-131,Mohenjo-daro,SEAL:S,740,590,741 390 790,no,no,+740-390-590-741-390-790+
2728.1,M-203,Mohenjo-daro,SEAL:S,740,590,741 081 220,no,no,+740-390-590-741-081-220+
2819.1,M-300,Mohenjo-daro,SEAL:S,740,590,001 060 820,no,no,+740-390-590-001/060-820+
2832.1,M-314,Mohenjo-daro,SEAL:S,817,125,308 809 033 740 760 706 466 520 231 240 235 002 820,no,no,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
2838.1,M-320,Mohenjo-daro,SEAL:S,741,125,<END>,yes,no,+740-176-741-390-125+
2924.1,M-430,Mohenjo-daro,TAB:B,740,590,033 705 000,no,no,+740-390-590-033-705-000+
2925.1,M-431,Mohenjo-daro,TAB:B,740,590,033 705,no,no,+740-390-590-033-705+
2926.1,M-432,Mohenjo-daro,TAB:B,740,590,033 705,no,no,+740-390-590-033-705+
2927.1,M-433,Mohenjo-daro,TAB:B,740,590,033 705 000,no,no,+740-390-590-033-705-000+
2929.1,M-437,Mohenjo-daro,TAG:P,740,590,002 820,no,no,+740-390-590-002-820+
3158.1,M-734,Mohenjo-daro,SEAL:S,368,590,<END>,yes,no,+033-033-368-390-590+
3159.1,M-735,Mohenjo-daro,SEAL:S,002,125,195,no,yes,+740-760-235-002-390-125-195+
3169.1,M-746,Mohenjo-daro,SEAL:S,741,590,032,no,no,+740-440-220-032-741-390-590-032+
3226.1,M-813,Mohenjo-daro,SEAL:S,161,590,002 861,no,no,+161-390-590-002-861+
3246.1,M-834,Mohenjo-daro,SEAL:S,151,590,900 002 861,no,no,+151-390-590-900-002-861+
3263.1,M-851,Mohenjo-daro,SEAL:S,740,590,002 817,no,no,+621-740-390-590-002-817+
3267.1,M-855,Mohenjo-daro,SEAL:S,832,590,002 817 690 544,no,no,+861-260-832-390-590-002-817-690-544+
3286.1,M-878,Mohenjo-daro,SEAL:S,741,125,<END>,yes,no,+740-900-005-741-390-125+
3290.1,M-882,Mohenjo-daro,SEAL:S,740,590,000 798 000,no,no,+621/740-390-590-000-798-000+
3305.1,M-900,Mohenjo-daro,SEAL:S,740,590,233 220 415 798 838 002 820,no,no,+740-390-590-233-220-415-798-838-002-820+
3328.1,M-933,Mohenjo-daro,SEAL:S,740,590,741 821,no,no,+740-390-590-741-821+
3335.1,-,Unknown,SEAL:S,002,590,032,no,yes,+740-205-032-002-390-590-032+
3359.1,M-965,Mohenjo-daro,SEAL:S,740,590,032 741 527,no,no,+740-390-590-032-741-527+
3361.1,M-968,Mohenjo-daro,SEAL:S,741,590,<END>,yes,no,+740-923-741-390-590+
3390.1,M-998,Mohenjo-daro,SEAL:S,820,590,<END>,yes,no,+820-390-590+
3402.1,M-1017,Mohenjo-daro,SEAL:S,740,590,000,no,no,+740-390-590-000[
3463.1,M-1089,Mohenjo-daro,SEAL:S,151,590,002 374 840,no,no,+151-390-590-002-374-840+
3648.1,M-1343,Mohenjo-daro,SEAL,740,590,235 002 861,no,no,+740-390-590-235-002-861+
3812.1,M-1592,Mohenjo-daro,POT:T:g,740,590,<END>,yes,no,+740-390-590[
3875.1,Sktd-1,Surkotada,SEAL:S,002,125,820,no,yes,+390-004-002-390-125-820+
3924.1,H-1046,Harappa,SEAL:S,151,590,<END>,yes,no,+151-390-590+
3931.1,H-1079,Harappa,SEAL:R,740,590,002 000,no,no,+740-390-590-002-000[
3967.1,H-1107,Harappa,TAB:B,740,590,235,no,no,+740-390-590-235+
3992.1,M-1825,Mohenjo-daro,SEAL:S,002,705,<END>,yes,yes,+157-031-002-390-705+
4071.1,H-1291,Harappa,TAB:I,000,590,<END>,yes,no,]000-390-590[
4155.1,-,Gonur Depe,SEAL:S,740,590,125 220 235 002 285,no,no,+740-390-590-125-220-235-002-285+
4182.1,-,Dholavira,SEAL:S,740,590,231 002 705 530 904,no,no,+740-390-590-231-002-705-530-904+
4195.1,-,Dholavira,SEAL:S,820,590,002 861,no,no,+820-390-590-002-861+
4229.1,-,Dholavira,SEAL:S,740,590,220 463 240 001 820 060,no,no,+740-390-590-220-463-240-001-820-060+
4237.1,-,Dholavira,SEAL:S,002,705,<END>,yes,yes,+151-032-388-002-390-705+
