"scope","policy","policy_class","rows","tokens","unique_tokens","flipped_rows","stored_higher","reversed_higher","ties","stored_win_share","mean_stored_minus_reversed_per_transition","null_mean","null_p05","null_median","null_p95","null_ge_stored_as_is_share"
"all_harsh","stored_as_is","deterministic","365","1725","358","0","307","47","11","0.841096","1.052098","","","","",""
"all_harsh","reverse_all","deterministic","365","1725","358","365","307","47","11","0.841096","1.052098","","","","",""
"all_harsh","flip_LR_only","deterministic","365","1725","358","11","297","56","12","0.813699","0.955961","","","","",""
"all_harsh","flip_RL_only","deterministic","365","1725","358","354","297","56","12","0.813699","0.955961","","","","",""
"R_L_only","stored_as_is","deterministic","354","1683","354","0","297","44","13","0.838983","1.057448","","","","",""
"R_L_only","reverse_all","deterministic","354","1683","354","354","297","44","13","0.838983","1.057448","","","","",""
"R_L_only","flip_LR_only","deterministic","354","1683","354","0","297","44","13","0.838983","1.057448","","","","",""
"R_L_only","flip_RL_only","deterministic","354","1683","354","354","297","44","13","0.838983","1.057448","","","","",""
"Mohenjo_daro_R_L_only","stored_as_is","deterministic","209","1037","272","0","170","21","18","0.813397","0.979878","","","","",""
"Mohenjo_daro_R_L_only","reverse_all","deterministic","209","1037","272","209","170","21","18","0.813397","0.979878","","","","",""
"Mohenjo_daro_R_L_only","flip_LR_only","deterministic","209","1037","272","0","170","21","18","0.813397","0.979878","","","","",""
"Mohenjo_daro_R_L_only","flip_RL_only","deterministic","209","1037","272","209","170","21","18","0.813397","0.979878","","","","",""
"Harappa_R_L_only","stored_as_is","deterministic","104","438","176","0","80","13","11","0.769231","0.730325","","","","",""
"Harappa_R_L_only","reverse_all","deterministic","104","438","176","104","80","13","11","0.769231","0.730325","","","","",""
"Harappa_R_L_only","flip_LR_only","deterministic","104","438","176","0","80","13","11","0.769231","0.730325","","","","",""
"Harappa_R_L_only","flip_RL_only","deterministic","104","438","176","104","80","13","11","0.769231","0.730325","","","","",""
"all_harsh","random_row_flips","randomized","365","1725","358","","","","","","","0.471134","0.416438","0.471233","0.526027","0"
"all_harsh","random_site_flips","randomized","365","1725","358","","","","","","","0.697553","0.553425","0.761644","0.816438","0"
"all_harsh","random_direction_label_flips","randomized","365","1725","358","","","","","","","0.827315","0.813699","0.813699","0.841096","0"
"R_L_only","random_row_flips","randomized","354","1683","354","","","","","","","0.469201","0.412429","0.468927","0.528249","0"
"R_L_only","random_site_flips","randomized","354","1683","354","","","","","","","0.694768","0.576271","0.745763","0.813559","0.002"
"R_L_only","random_direction_label_flips","randomized","354","1683","354","","","","","","","0.838983","0.838983","0.838983","0.838983","1"
"Mohenjo_daro_R_L_only","random_row_flips","randomized","209","1037","272","","","","","","","0.448268","0.37799","0.449761","0.521531","0"
"Mohenjo_daro_R_L_only","random_site_flips","randomized","209","1037","272","","","","","","","0.813397","0.813397","0.813397","0.813397","1"
"Mohenjo_daro_R_L_only","random_direction_label_flips","randomized","209","1037","272","","","","","","","0.813397","0.813397","0.813397","0.813397","1"
"Harappa_R_L_only","random_row_flips","randomized","104","438","176","","","","","","","0.430923","0.326923","0.432692","0.538462","0"
"Harappa_R_L_only","random_site_flips","randomized","104","438","176","","","","","","","0.769231","0.769231","0.769231","0.769231","0"
"Harappa_R_L_only","random_direction_label_flips","randomized","104","438","176","","","","","","","0.769231","0.769231","0.769231","0.769231","0"
