"scope","group_kind","group_value","source_rows","duplicate_rows_removed","rows","tokens","unique_signs","exact_sequence_groups","exact_duplicate_groups","exact_duplicate_rows","top_sequence_count","rows_length_gt_1","stored_higher_than_reversed","reversed_higher_than_stored","ties","stored_higher_share","mean_stored_minus_reversed","median_stored_minus_reversed"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","all","all","2887","1089","1798","8212","571","1798","0","0","1","1798","1705","84","9","0.948276","9.403535","9.200559"
"lipi_direction_clean_candidate_total_exact_sequence_collapsed","all","all","3308","1128","2180","10168","610","2180","0","0","1","2179","2039","113","27","0.93575","8.930605","8.523772"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:S","1101","83","1018","4920","451","1018","0","0","1","1018","978","33","7","0.960707","9.480054","9.334462"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:R","218","6","212","1085","215","212","0","0","1","212","200","8","4","0.943396","5.976188","5.755742"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:I","533","360","173","559","144","173","0","0","1","173","150","17","6","0.867052","4.061978","3.637586"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:B","705","393","312","1213","225","312","0","0","1","312","290","17","5","0.929487","5.832207","5.886104"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:C","157","104","53","252","73","53","0","0","1","53","49","1","3","0.924528","4.874007","5.257495"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Harappa","1430","768","662","2674","349","662","0","0","1","662","609","43","10","0.91994","6.580565","6.771936"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Kalibangan","55","7","48","190","90","48","0","0","1","48","40","3","5","0.833333","1.85283","1.700599"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Lothal","84","21","63","279","101","63","0","0","1","63","51","5","7","0.809524","2.639362","2.70805"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Mohenjo-daro","1217","208","1009","4889","448","1009","0","0","1","1009","971","30","8","0.962339","9.73025","9.546813"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Lower Indus","1282","214","1068","5156","465","1068","0","0","1","1068","1027","32","9","0.96161","9.484297","9.27104"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Gujarat/Kutch","90","21","69","315","111","69","0","0","1","69","55","5","9","0.797101","2.574088","2.397895"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Inter-Riverine","1486","782","704","2849","359","704","0","0","1","704","646","48","10","0.917614","6.603549","6.783325"
