"dataset","scope","outcome","a220_yes","a220_total","a220_rate","outside_yes","outside_total","outside_rate","odds_ratio"
"strict_occurrence","all_032_rows","next1_is_002","24","57","0.4211","18","457","0.0394","17.7374"
"strict_occurrence","all_032_rows","core_002_861_820_817","16","57","0.2807","10","457","0.0219","17.4439"
"strict_occurrence","all_032_rows","core_terminal_tail","14","57","0.2456","8","457","0.0175","18.2733"
"strict_occurrence","rows_with_next002_only","core_given_032_002","16","24","0.6667","10","18","0.5556","1.6"
"strict_occurrence","rows_with_next002_only","y_terminal_given_032_002","16","24","0.6667","11","18","0.6111","1.2727"
"strict_occurrence","rows_with_next002_only","core_terminal_given_032_002","14","24","0.5833","8","18","0.4444","1.75"
"frame_text_dedup_unit","all_032_rows","next1_is_002","24","55","0.4364","16","257","0.0623","11.6613"
"frame_text_dedup_unit","all_032_rows","core_002_861_820_817","16","55","0.2909","8","257","0.0311","12.7692"
"frame_text_dedup_unit","all_032_rows","core_terminal_tail","14","55","0.2545","6","257","0.0233","14.2846"
"frame_text_dedup_unit","rows_with_next002_only","core_given_032_002","16","24","0.6667","8","16","0.5","2"
"frame_text_dedup_unit","rows_with_next002_only","y_terminal_given_032_002","16","24","0.6667","9","16","0.5625","1.5556"
"frame_text_dedup_unit","rows_with_next002_only","core_terminal_given_032_002","14","24","0.5833","6","16","0.375","2.3333"
