"checked_date","cisi","fig4_number","manufacturing_group","template_class","hidden_side","actual_role","actual_text","predicted_text_role_majority_loo","failure_type","research_consequence","accepted_decipherment_claim"
"2026-05-25","H-2237","17","group_3","template_700_861_15x","3","role_15x_003","+154-003+","+156-003+","singleton_exact_text_failure","exactly the two singleton minimal-contrast variants remain as source-validation targets","0"
"2026-05-25","H-2238","18","group_3","template_700_861_15x","1","role_700_03x","+700-033+","+700-034+","singleton_exact_text_failure","exactly the two singleton minimal-contrast variants remain as source-validation targets","0"
