"model","metric","observed","null_mean","null_sd","null_min","null_p05","null_p50","null_p95","null_max","observed_minus_mean","empirical_p_ge","empirical_p_le"
"length_frequency_shuffle","exact_duplicate_sequence_groups","1","0.012000","0.108885","0","0.000000","0.000000","0.000000","1","0.988000","0.013972","1.000000"
"length_frequency_shuffle","exact_duplicate_pairs","1","0.012000","0.108885","0","0.000000","0.000000","0.000000","1","0.988000","0.013972","1.000000"
"length_frequency_shuffle","variant_pairs_total","129","47.044000","8.498357","30","35.000000","46.000000","63.000000","80","81.956000","0.001996","1.000000"
"length_frequency_shuffle","near_pairs_edit_distance_le_2","75","41.142000","7.991861","24","30.000000","40.000000","55.050000","73","33.858000","0.001996","1.000000"
"length_frequency_shuffle","single_substitution_pairs","5","1.124000","1.128106","0","0.000000","1.000000","3.000000","7","3.876000","0.015968","0.996008"
"length_frequency_shuffle","two_substitution_pairs","33","26.472000","4.656739","17","20.000000","26.000000","34.000000","45","6.528000","0.099800","0.930140"
"length_frequency_shuffle","single_insertion_deletion_pairs","2","0.258000","0.543540","0","0.000000","0.000000","1.000000","4","1.742000","0.033932","0.996008"
"length_frequency_shuffle","shared_edge_frame_pairs","69","6.614000","3.152936","0","2.000000","6.000000","12.000000","18","62.386000","0.001996","1.000000"
"length_frequency_shuffle","frame_families_count","14","4.876000","1.825548","0","2.000000","5.000000","8.000000","10","9.124000","0.001996","1.000000"
"length_frequency_shuffle","top_frame_rows","10","2.632000","0.764576","0","2.000000","2.000000","4.000000","5","7.368000","0.001996","1.000000"
"length_frequency_shuffle","slot_candidate_groups","3","1.000000","0.909945","0","0.000000","1.000000","3.000000","5","2.000000","0.061876","0.990020"
"edge_position_preserving_shuffle","exact_duplicate_sequence_groups","1","0.172000","0.403009","0","0.000000","0.000000","1.000000","2","0.828000","0.163673","0.990020"
"edge_position_preserving_shuffle","exact_duplicate_pairs","1","0.204000","0.535149","0","0.000000","0.000000","1.000000","4","0.796000","0.163673","0.976048"
"edge_position_preserving_shuffle","variant_pairs_total","129","159.806000","24.879396","100","122.000000","158.000000","203.000000","267","-30.806000","0.902196","0.103792"
"edge_position_preserving_shuffle","near_pairs_edit_distance_le_2","75","98.324000","19.878909","56","69.000000","96.000000","136.000000","187","-23.324000","0.894212","0.111776"
"edge_position_preserving_shuffle","single_substitution_pairs","5","5.770000","3.037943","0","2.000000","5.000000","11.000000","19","-0.770000","0.620758","0.520958"
"edge_position_preserving_shuffle","two_substitution_pairs","33","53.852000","12.774588","21","35.950000","53.000000","79.000000","111","-20.852000","0.976048","0.029940"
"edge_position_preserving_shuffle","single_insertion_deletion_pairs","2","1.194000","1.464365","0","0.000000","1.000000","4.000000","9","0.806000","0.325349","0.848303"
"edge_position_preserving_shuffle","shared_edge_frame_pairs","69","69.620000","17.435125","31","45.000000","67.000000","102.000000","140","-0.620000","0.467066","0.558882"
"edge_position_preserving_shuffle","frame_families_count","14","12.458000","2.106237","6","9.000000","12.000000","16.000000","18","1.542000","0.313373","0.834331"
"edge_position_preserving_shuffle","top_frame_rows","10","9.612000","2.066266","5","6.000000","10.000000","13.000000","16","0.388000","0.514970","0.672655"
"edge_position_preserving_shuffle","slot_candidate_groups","3","3.060000","1.343280","0","1.000000","3.000000","5.000000","7","-0.060000","0.630739","0.656687"
