context,sign,context_rows,a,b,c,d,share,background_share,relative_rate,fisher_p
material_copper,407,119,18,101,52,3332,0.15126050420168066,0.015366430260047281,9.843568196509372,5.303502441750925e-12
material_copper,597,119,4,115,0,3384,0.03361344537815126,0,Infinity,0.0000012678164588122361
material_copper,845,119,7,112,14,3370,0.058823529411764705,0.004137115839243499,14.218487394957984,0.0000034289122789014325
material_copper,095,119,7,112,15,3369,0.058823529411764705,0.004432624113475178,13.270588235294117,0.000004888536212101491
material_copper,142,119,11,108,52,3332,0.09243697478991597,0.015366430260047281,6.01551389786684,0.000006043845910015774
material_copper,909,119,3,116,0,3384,0.025210084033613446,0,Infinity,0.00003825308280912535
material_copper,900,119,11,108,72,3312,0.09243697478991597,0.02127659574468085,4.344537815126051,0.00008904424936126171
material_copper,617,119,9,110,49,3335,0.07563025210084033,0.014479905437352246,5.223117818555994,0.00011650585028198303
material_copper,176,119,12,107,110,3274,0.10084033613445378,0.03250591016548463,3.1022154316271964,0.0007414230837431107
material_copper,749,119,2,117,0,3384,0.01680672268907563,0,Infinity,0.0011446499394366073
material_copper,913,119,2,117,0,3384,0.01680672268907563,0,Infinity,0.0011446499394366073
material_copper,747,119,3,116,4,3380,0.025210084033613446,0.001182033096926714,21.327731092436977,0.001210893029551099
material_copper,905,119,3,116,5,3379,0.025210084033613446,0.0014775413711583924,17.06218487394958,0.001889556874965519
material_copper,790,119,6,113,37,3347,0.05042016806722689,0.010933806146572104,4.61140131728367,0.0029501950070403462
material_copper,585,119,6,113,38,3346,0.05042016806722689,0.011229314420803783,4.490048651039363,0.0033228637760218433
material_copper,421,119,2,117,1,3383,0.01680672268907563,0.0002955082742316785,56.87394957983193,0.0033574436527088556
material_copper,595,119,6,113,39,3345,0.05042016806722689,0.01152482269503546,4.374919198448611,0.003729575267005916
material_copper,003,119,12,107,142,3242,0.10084033613445378,0.04196217494089834,2.403124630133744,0.005436513894846738
material_copper,422,119,2,117,2,3382,0.01680672268907563,0.000591016548463357,28.436974789915965,0.006565678423549057
material_copper,222,119,3,116,9,3375,0.025210084033613446,0.0026595744680851063,9.478991596638656,0.00671893976534537
material_copper,435,119,6,113,49,3335,0.05042016806722689,0.014479905437352246,3.4820785457039958,0.010077473178262773
material_copper,690,119,7,112,67,3317,0.058823529411764705,0.01979905437352246,2.971027216856892,0.011957276941134298
material_copper,233,119,12,107,160,3224,0.10084033613445378,0.04728132387706856,2.1327731092436975,0.012793812355606567
material_copper,006,119,2,117,4,3380,0.01680672268907563,0.001182033096926714,14.218487394957982,0.015695684260296192
material_copper,930,119,2,117,5,3379,0.01680672268907563,0.0014775413711583924,11.374789915966387,0.021489600752602176
material_copper,001,119,12,107,175,3209,0.10084033613445378,0.051713947990543734,1.949963985594238,0.02342468720632137
material_copper,923,119,4,115,31,3353,0.03361344537815126,0.009160756501182032,3.6692870696665763,0.029416698319967252
material_copper,752,119,3,116,18,3366,0.025210084033613446,0.005319148936170213,4.739495798319328,0.0325344405785944
material_copper,341,119,1,118,0,3384,0.008403361344537815,0,Infinity,0.03397088210100187
material_copper,479,119,1,118,0,3384,0.008403361344537815,0,Infinity,0.03397088210100187
material_copper,628,119,1,118,0,3384,0.008403361344537815,0,Infinity,0.03397088210100187
material_copper,753,119,1,118,0,3384,0.008403361344537815,0,Infinity,0.03397088210100187
material_copper,781,119,1,118,0,3384,0.008403361344537815,0,Infinity,0.03397088210100187
material_copper,782,119,1,118,0,3384,0.008403361344537815,0,Infinity,0.03397088210100187
material_copper,835,119,1,118,0,3384,0.008403361344537815,0,Infinity,0.03397088210100187
material_copper,841,119,1,118,0,3384,0.008403361344537815,0,Infinity,0.03397088210100187
material_copper,911,119,1,118,0,3384,0.008403361344537815,0,Infinity,0.03397088210100187
material_copper,957,119,1,118,0,3384,0.008403361344537815,0,Infinity,0.03397088210100187
material_copper,408,119,2,117,7,3377,0.01680672268907563,0.0020685579196217494,8.12484993997599,0.03523967445257586
material_copper,773,119,2,117,7,3377,0.01680672268907563,0.0020685579196217494,8.12484993997599,0.03523967445257586
material_copper,850,119,4,115,34,3350,0.03361344537815126,0.01004728132387707,3.345526445872466,0.03838523315161641
material_copper,005,119,4,115,35,3349,0.03361344537815126,0.010342789598108746,3.2499399759903964,0.041686576925953255
material_copper,004,119,6,113,72,3312,0.05042016806722689,0.02127659574468085,2.369747899159664,0.04767465997796102
material_copper,231,119,6,113,77,3307,0.05042016806722689,0.022754137115839245,2.2158681654479975,0.06120382648836397
material_copper,503,119,4,115,41,3343,0.03361344537815126,0.012115839243498818,2.7743390038942404,0.06476360246146377
material_copper,266,119,1,118,1,3383,0.008403361344537815,0.0002955082742316785,28.436974789915965,0.06679711426238244
material_copper,321,119,1,118,1,3383,0.008403361344537815,0.0002955082742316785,28.436974789915965,0.06679711426238244
material_copper,343,119,1,118,1,3383,0.008403361344537815,0.0002955082742316785,28.436974789915965,0.06679711426238244
material_copper,777,119,1,118,1,3383,0.008403361344537815,0.0002955082742316785,28.436974789915965,0.06679711426238244
material_copper,780,119,1,118,1,3383,0.008403361344537815,0.0002955082742316785,28.436974789915965,0.06679711426238244
material_copper,063,119,2,117,11,3373,0.01680672268907563,0.0032505910165484633,5.170359052711993,0.06991809971615595
material_copper,071,119,1,118,2,3382,0.008403361344537815,0.000591016548463357,14.218487394957982,0.09851694956793083
material_copper,424,119,1,118,2,3382,0.008403361344537815,0.000591016548463357,14.218487394957982,0.09851694956793083
material_copper,831,119,2,117,14,3370,0.01680672268907563,0.004137115839243499,4.062424969987995,0.10076026619244004
material_copper,806,119,6,113,91,3293,0.05042016806722689,0.026891252955082743,1.8749653707636902,0.11005979099811487
material_copper,365,119,2,117,15,3369,0.01680672268907563,0.004432624113475178,3.7915966386554616,0.11174816676800686
material_copper,255,119,6,113,95,3289,0.05042016806722689,0.028073286052009455,1.7960194604157453,0.12688849590117882
material_copper,744,119,1,118,3,3381,0.008403361344537815,0.0008865248226950354,9.478991596638656,0.12916737328196368
material_copper,797,119,1,118,3,3381,0.008403361344537815,0.0008865248226950354,9.478991596638656,0.12916737328196368
material_copper,615,119,3,116,37,3347,0.025210084033613446,0.010933806146572104,2.305700658641835,0.1530329715233397
material_copper,740,119,50,69,1252,2132,0.42016806722689076,0.36997635933806144,1.1356619325046313,0.1545893387743285
