"scope","group_kind","group_value","rows","model","masked_tokens","top1","top1_accuracy","top5","top5_accuracy","mrr"
"lipi_numeric_clean_candidate","all","all","2887","frequency","11655","1238","0.106221","2916","0.250193","0.189133"
"lipi_numeric_clean_candidate","all","all","2887","position","11655","1648","0.141399","4084","0.350408","0.248654"
"lipi_numeric_clean_candidate","all","all","2887","length_position","11655","2231","0.19142","4988","0.427971","0.30716"
"lipi_numeric_clean_candidate","all","all","2887","bidirectional_bigram","11655","4759","0.408323","7762","0.66598","0.526717"
"lipi_numeric_clean_candidate","type","SEAL:S","1101","frequency","5141","543","0.105621","1302","0.253258","0.194085"
"lipi_numeric_clean_candidate","type","SEAL:S","1101","position","5141","855","0.16631","1699","0.33048","0.257303"
"lipi_numeric_clean_candidate","type","SEAL:S","1101","length_position","5141","914","0.177786","2008","0.390585","0.280057"
"lipi_numeric_clean_candidate","type","SEAL:S","1101","bidirectional_bigram","5141","1692","0.329119","2990","0.581599","0.44749"
"lipi_numeric_clean_candidate","type","SEAL:R","218","frequency","1102","110","0.099819","250","0.22686","0.174636"
"lipi_numeric_clean_candidate","type","SEAL:R","218","position","1102","126","0.114338","274","0.248639","0.19853"
"lipi_numeric_clean_candidate","type","SEAL:R","218","length_position","1102","143","0.129764","297","0.26951","0.204012"
"lipi_numeric_clean_candidate","type","SEAL:R","218","bidirectional_bigram","1102","319","0.289474","599","0.543557","0.407504"
"lipi_numeric_clean_candidate","type","TAB:I","533","frequency","1444","189","0.130886","608","0.421053","0.270315"
"lipi_numeric_clean_candidate","type","TAB:I","533","position","1444","319","0.220914","847","0.586565","0.382397"
"lipi_numeric_clean_candidate","type","TAB:I","533","length_position","1444","499","0.345568","946","0.655125","0.48767"
"lipi_numeric_clean_candidate","type","TAB:I","533","bidirectional_bigram","1444","729","0.504848","1084","0.750693","0.616808"
"lipi_numeric_clean_candidate","type","TAB:B","705","frequency","2519","274","0.108773","863","0.342596","0.226059"
"lipi_numeric_clean_candidate","type","TAB:B","705","position","2519","414","0.164351","1268","0.503374","0.312789"
"lipi_numeric_clean_candidate","type","TAB:B","705","length_position","2519","744","0.295355","1494","0.593092","0.438332"
"lipi_numeric_clean_candidate","type","TAB:B","705","bidirectional_bigram","2519","1363","0.541088","1884","0.747916","0.636244"
"lipi_numeric_clean_candidate","type","TAB:C","157","frequency","791","95","0.120101","262","0.331226","0.239415"
"lipi_numeric_clean_candidate","type","TAB:C","157","position","791","175","0.221239","488","0.616941","0.402201"
"lipi_numeric_clean_candidate","type","TAB:C","157","length_position","791","226","0.285714","654","0.826802","0.52926"
"lipi_numeric_clean_candidate","type","TAB:C","157","bidirectional_bigram","791","610","0.771176","715","0.903919","0.82855"
"lipi_numeric_clean_candidate","site","Harappa","1430","frequency","4871","494","0.101417","1609","0.330322","0.21626"
"lipi_numeric_clean_candidate","site","Harappa","1430","position","4871","731","0.150072","2233","0.458427","0.289017"
"lipi_numeric_clean_candidate","site","Harappa","1430","length_position","4871","1249","0.256416","2625","0.538904","0.380382"
"lipi_numeric_clean_candidate","site","Harappa","1430","bidirectional_bigram","4871","2206","0.452884","3411","0.700267","0.568665"
"lipi_numeric_clean_candidate","site","Kalibangan","55","frequency","232","22","0.094828","67","0.288793","0.198438"
"lipi_numeric_clean_candidate","site","Kalibangan","55","position","232","60","0.258621","93","0.400862","0.334688"
"lipi_numeric_clean_candidate","site","Kalibangan","55","length_position","232","65","0.280172","74","0.318966","0.324329"
"lipi_numeric_clean_candidate","site","Kalibangan","55","bidirectional_bigram","232","78","0.336207","98","0.422414","0.387027"
"lipi_numeric_clean_candidate","site","Lothal","84","frequency","401","44","0.109726","108","0.269327","0.215745"
"lipi_numeric_clean_candidate","site","Lothal","84","position","401","113","0.281796","200","0.498753","0.391488"
"lipi_numeric_clean_candidate","site","Lothal","84","length_position","401","160","0.399002","193","0.481297","0.448866"
"lipi_numeric_clean_candidate","site","Lothal","84","bidirectional_bigram","401","173","0.431421","227","0.566085","0.505728"
"lipi_numeric_clean_candidate","site","Mohenjo-daro","1217","frequency","5743","632","0.110047","1338","0.232979","0.187976"
"lipi_numeric_clean_candidate","site","Mohenjo-daro","1217","position","5743","880","0.15323","1746","0.304022","0.240696"
"lipi_numeric_clean_candidate","site","Mohenjo-daro","1217","length_position","5743","982","0.170991","2207","0.384294","0.277456"
"lipi_numeric_clean_candidate","site","Mohenjo-daro","1217","bidirectional_bigram","5743","2263","0.394045","3571","0.6218","0.502913"
"lipi_numeric_clean_candidate","region","Lower Indus","1282","frequency","6029","666","0.110466","1402","0.232543","0.187716"
"lipi_numeric_clean_candidate","region","Lower Indus","1282","position","6029","925","0.153425","1827","0.303035","0.23867"
"lipi_numeric_clean_candidate","region","Lower Indus","1282","length_position","6029","1043","0.172997","2309","0.382982","0.277656"
