checked_date,head,rows,terminal_rows,terminal_rate,recognized_x_rows,terminal_booster_rows,terminal_booster_close_rate,open_operator_rows,open_operator_continue_rate,global_edge_rows,unique_x,top_x,x_polarities,sites,expanded_head_bet_class
2026-05-31,390,15,9,0.600,11,5,5/5,5,5/5,1,10,125:4;095:2;705:2;072:1;140:1;346:1;530:1;590:1;692:1;707:1,open_operator:5;terminal_booster:5;other:4;global_edge:1,Mohenjo-daro:9;Harappa:3;Dholavira:1;Surkotada:1;Unknown:1,mixed_inventory_head
2026-05-31,861,34,25,0.735,13,12,12/12,1,0/1,0,23,416:6;603:3;000:2;096:2;533:2;698:2;031:1;032:1;036:1;125:1;216:1;244:1;255:1;360:1;390:1;392:1;626:1;683:1;791:1;803:1;831:1;832:1;901:1,other:21;terminal_booster:12;open_operator:1,Mohenjo-daro:18;Harappa:10;Lothal:2;Allahdino:1;Dholavira:1;Kalibangan:1;Shikarpur:1,terminal_default_head
2026-05-31,000,11,8,0.727,8,5,4/5,3,2/3,0,8,000:3;090:2;031:1;215:1;216:1;317:1;350:1;861:1,terminal_booster:5;open_operator:3;other:3,Mohenjo-daro:6;Harappa:1;Kalibangan:1;Nausharo:1;Rakhigarhi:1;Unknown:1,mixed_inventory_head
2026-05-31,220,11,1,0.091,9,1,1/1,8,8/8,0,5,455:5;065:3;000:1;627:1;880:1,open_operator:8;other:2;terminal_booster:1,Mohenjo-daro:6;Harappa:4;Kalibangan:1,open_template_head
2026-05-31,405,32,30,0.938,30,0,0/0,1,1/1,29,4,501:29;125:1;321:1;372:1,global_edge:29;other:2;open_operator:1,Harappa:30;Mohenjo-daro:2,closed_edge_template_head
2026-05-31,031,15,13,0.867,6,6,6/6,0,0/0,0,11,000:2;480:2;575:2;892:2;104:1;165:1;350:1;376:1;500:1;502:1;820:1,other:9;terminal_booster:6,Mohenjo-daro:8;Dholavira:3;Harappa:2;Chanhu-daro:1;Kalibangan:1,terminal_default_head
2026-05-31,820,8,6,0.750,5,4,4/4,1,1/1,0,6,000:2;741:2;001:1;033:1;700:1;906:1,terminal_booster:4;other:3;open_operator:1,Mohenjo-daro:6;Harappa:1;Kalibangan:1,unresolved_head
2026-05-31,056,8,8,1.000,8,0,0/0,0,0/0,8,1,091:8,global_edge:8,Kalibangan:8,closed_edge_template_head
2026-05-31,920,5,5,1.000,5,5,5/5,0,0/0,0,2,317:3;491:2,terminal_booster:5,Harappa:2;Chanhu-daro:1;Lothal:1;Mohenjo-daro:1,terminal_default_head
2026-05-31,368,12,6,0.500,5,3,3/3,2,2/2,0,11,260:2;119:1;165:1;202:1;518:1;550:1;590:1;634:1;840:1;861:1;906:1,other:7;terminal_booster:3;open_operator:2,Mohenjo-daro:6;Bala-kot:1;Banawali:1;Harappa:1;Kalibangan:1;Lothal:1;Unknown:1,mixed_inventory_head
