target_kind,pool,pool_rows,context_rows,background_rows,target_a,target_c,target_total,fisher_p,bonferroni_p,all_sign_rank,maxstat_fpr,all_pair_rank,target_label_shuffle_fpr
405,all,3503,378,3125,19,52,71,0.00011599196386446251,0.08281826219922624,8/714,0.013,,
806,all,3503,378,3125,20,77,97,0.0028854923981572506,1,15/714,0.3592,,
405,seal_s_only,1545,374,1171,19,5,24,1.6885217929981426e-8,0.000009303755079419767,2/551,0,,
806,seal_s_only,1545,374,1171,20,4,24,1.2598082828130407e-9,6.941543638299855e-7,1/551,0,,
405,square_only,1569,370,1199,19,7,26,1.0100258783376955e-7,0.000056157438835575874,2/556,0,,
806,square_only,1569,370,1199,20,7,27,3.084754073526784e-8,0.000017151232648808918,1/556,0,,
405,complete_only,2184,314,1870,19,35,54,0.00008825621724791065,0.05833735960086894,3/661,0.0058,,
806,complete_only,2184,314,1870,18,57,75,0.016408050944760704,1,14/661,0.8954,,
405,non_poor_only,1733,269,1464,16,31,47,0.0011460384083325722,0.6933532370412062,6/605,0.0988,,
806,non_poor_only,1733,269,1464,16,45,61,0.019562987146477633,1,19/605,0.9414,,
405,without_mohenjo,1971,148,1823,12,32,44,0.00005320920616824224,0.028945808155523778,5/544,0.0048,,
806,without_mohenjo,1971,148,1823,11,38,49,0.0007102347312268842,0.38636769378742497,6/544,0.0768,,
405,without_harappa,2321,272,2049,8,30,38,0.06839929222498323,1,38/623,1,,
806,without_harappa,2321,272,2049,10,45,55,0.1018316732387166,1,46/623,1,,
405_or_806,all,3503,378,3125,35,123,158,0.000017158549931030788,,,,2850/254541,0
405_or_806,seal_s_only,1545,374,1171,35,9,44,6.020420199833131e-15,,,,1/151525,0
405_or_806,square_only,1569,370,1199,35,14,49,7.228146492803221e-13,,,,1/154290,0
405_or_806,complete_only,2184,314,1870,33,86,119,0.00007007039121420008,,,,1525/218130,0
405_or_806,non_poor_only,1733,269,1464,29,71,100,0.0003049036093433969,,,,1444/182710,0.0002
405_or_806,without_mohenjo,1971,148,1823,20,67,87,0.00000280502271942147,,,,419/147696,0
405_or_806,without_harappa,2321,272,2049,17,72,89,0.026013649969892624,,,,12644/193753,0.0244
