policy,cisi,length,actual_minus_reversed,actual_vs_reversed,actual_minus_shuffle_mean,actual_beats_shuffle_mean
raw_lipi_numeric,M-1,5,2.079442,actual_higher,0.887657,True
raw_lipi_numeric,M-3,3,-0.693147,reversed_higher,-0.558322,False
raw_lipi_numeric,M-5,6,10.28875,actual_higher,8.455167,True
raw_lipi_numeric,M-6,4,-1.504077,reversed_higher,-0.218951,False
raw_lipi_numeric,M-8,3,0,tie,-0.573363,False
raw_lipi_numeric,M-9,3,-1.098612,reversed_higher,-0.384514,False
raw_lipi_numeric,M-12,9,10.450452,actual_higher,8.542114,True
raw_lipi_numeric,M-13,3,0.693147,actual_higher,0.464409,True
raw_lipi_numeric,M-14,5,9.487972,actual_higher,7.121453,True
raw_lipi_numeric,M-15,5,10.150348,actual_higher,6.850744,True
raw_lipi_numeric,M-16,4,-1.504077,reversed_higher,-0.058349,False
raw_lipi_numeric,M-17,5,4.356709,actual_higher,3.392038,True
raw_lipi_numeric,M-18,3,0.693147,actual_higher,-0.761922,False
raw_lipi_numeric,M-21,8,5.857933,actual_higher,4.076608,True
raw_lipi_numeric,M-24,7,9.100526,actual_higher,7.019056,True
raw_lipi_numeric,M-26,5,7.714231,actual_higher,5.417004,True
raw_lipi_numeric,M-29,9,10.199138,actual_higher,7.401016,True
raw_lipi_numeric,M-30,7,7.426549,actual_higher,6.227841,True
raw_lipi_numeric,M-31,6,6.461468,actual_higher,5.749638,True
raw_lipi_numeric,M-32,4,9.057189,actual_higher,5.96604,True
raw_lipi_numeric,M-33,7,5.886104,actual_higher,4.40159,True
raw_lipi_numeric,M-34,7,5.480639,actual_higher,4.310419,True
raw_lipi_numeric,M-35,7,8.658693,actual_higher,6.404659,True
raw_lipi_numeric,M-36,9,8.930626,actual_higher,7.714344,True
raw_lipi_numeric,M-37,3,4.941642,actual_higher,3.166473,True
raw_lipi_numeric,M-38,13,12.684044,actual_higher,10.535665,True
raw_lipi_numeric,M-40,5,0.693147,actual_higher,0.221807,True
raw_lipi_numeric,M-42,5,7.878534,actual_higher,6.163232,True
raw_lipi_numeric,M-43,6,5.192957,actual_higher,5.008445,True
raw_lipi_numeric,M-44,8,8.748305,actual_higher,7.514488,True
raw_lipi_numeric,M-46,8,11.585432,actual_higher,9.192483,True
raw_lipi_numeric,M-47,5,11.695247,actual_higher,9.500526,True
raw_lipi_numeric,M-48,6,4.644391,actual_higher,3.205683,True
raw_lipi_numeric,M-51,8,9.862666,actual_higher,7.589565,True
raw_lipi_numeric,M-52,10,3.940194,actual_higher,4.476468,True
raw_lipi_numeric,M-53,9,9.639522,actual_higher,7.386103,True
raw_lipi_numeric,M-54,7,5.411646,actual_higher,4.532641,True
raw_lipi_numeric,M-56,8,7.56008,actual_higher,5.885391,True
raw_lipi_numeric,M-57,6,1.791759,actual_higher,0.928452,True
raw_lipi_numeric,M-58,5,9.487972,actual_higher,7.162308,True
raw_lipi_numeric,M-59,5,2.079442,actual_higher,1.230248,True
raw_lipi_numeric,M-63,4,2.484907,actual_higher,1.935872,True
raw_lipi_numeric,M-64,6,4.941642,actual_higher,3.908919,True
raw_lipi_numeric,M-65,6,3.555348,actual_higher,2.764027,True
raw_lipi_numeric,M-69,5,7.649693,actual_higher,5.563495,True
raw_lipi_numeric,M-70,5,7.069874,actual_higher,4.601937,True
raw_lipi_numeric,M-71,6,2.484907,actual_higher,1.47865,True
raw_lipi_numeric,M-74,4,1.609438,actual_higher,0.980808,True
raw_lipi_numeric,M-75,5,9.642123,actual_higher,7.477566,True
raw_lipi_numeric,M-77,5,5.010635,actual_higher,3.790592,True
raw_lipi_numeric,M-78,4,5.480639,actual_higher,3.92716,True
raw_lipi_numeric,M-80,5,5.799093,actual_higher,4.189174,True
raw_lipi_numeric,M-82,6,1.455287,actual_higher,2.22172,True
raw_lipi_numeric,M-83,3,1.871802,actual_higher,1.36153,True
raw_lipi_numeric,M-84,6,6.866933,actual_higher,4.989521,True
raw_lipi_numeric,M-85,5,3.044522,actual_higher,2.602337,True
raw_lipi_numeric,M-86,7,8.39163,actual_higher,6.774085,True
raw_lipi_numeric,M-87,3,0.693147,actual_higher,0.457477,True
raw_lipi_numeric,M-88,3,1.098612,actual_higher,0.488236,True
raw_lipi_numeric,M-89,5,5.480639,actual_higher,3.957343,True
raw_lipi_numeric,M-90,6,10.181119,actual_higher,7.792569,True
raw_lipi_numeric,M-91,9,12.331824,actual_higher,9.610437,True
raw_lipi_numeric,M-92,7,7.56008,actual_higher,6.286184,True
raw_lipi_numeric,M-93,5,2.70805,actual_higher,1.965339,True
raw_lipi_numeric,M-94,5,7.56008,actual_higher,4.856506,True
raw_lipi_numeric,M-95,5,4.356709,actual_higher,3.160203,True
raw_lipi_numeric,M-96,2,2.302585,actual_higher,1.105241,True
raw_lipi_numeric,M-97,3,2.302585,actual_higher,1.69005,True
raw_lipi_numeric,M-99,5,5.192957,actual_higher,3.634992,True
raw_lipi_numeric,M-100,6,9.4572,actual_higher,6.753697,True
raw_lipi_numeric,M-101,6,6.572283,actual_higher,4.279691,True
raw_lipi_numeric,M-102,4,1.386294,actual_higher,0.554247,True
raw_lipi_numeric,M-103,4,5.337538,actual_higher,4.043671,True
raw_lipi_numeric,M-104,5,6.238325,actual_higher,4.064513,True
raw_lipi_numeric,M-107,6,4.49981,actual_higher,3.697771,True
raw_lipi_numeric,M-108,7,2.367124,actual_higher,1.842323,True
raw_lipi_numeric,M-109,7,7.783224,actual_higher,5.939473,True
raw_lipi_numeric,M-112,8,6.802395,actual_higher,5.603652,True
raw_lipi_numeric,M-113,6,6.173786,actual_higher,4.768224,True
raw_lipi_numeric,M-114,6,8.188689,actual_higher,6.485454,True
raw_lipi_numeric,M-115,8,4.356709,actual_higher,3.96164,True
raw_lipi_numeric,M-116,7,10.586584,actual_higher,8.391755,True
raw_lipi_numeric,M-117,8,7.5807,actual_higher,7.139153,True
raw_lipi_numeric,M-118,8,12.437184,actual_higher,10.700945,True
raw_lipi_numeric,M-119,10,4.564348,actual_higher,3.258182,True
raw_lipi_numeric,M-121,5,7.272398,actual_higher,5.466902,True
raw_lipi_numeric,M-122,3,6.194405,actual_higher,3.777454,True
raw_lipi_numeric,M-123,4,0.693147,actual_higher,0.198386,True
raw_lipi_numeric,M-124,4,8.188689,actual_higher,5.710573,True
raw_lipi_numeric,M-127,5,0.693147,actual_higher,-0.544485,False
raw_lipi_numeric,M-128,6,6.39693,actual_higher,4.686502,True
raw_lipi_numeric,M-129,6,5.68358,actual_higher,4.395549,True
raw_lipi_numeric,M-130,6,7.138867,actual_higher,5.451309,True
raw_lipi_numeric,M-131,6,7.56008,actual_higher,4.415972,True
raw_lipi_numeric,M-132,3,4.094345,actual_higher,2.56014,True
raw_lipi_numeric,M-133,8,1.791759,actual_higher,1.681898,True
raw_lipi_numeric,M-134,3,1.252763,actual_higher,0.75987,True
raw_lipi_numeric,M-135,4,5.501258,actual_higher,4.720322,True
raw_lipi_numeric,M-136,7,8.030084,actual_higher,5.671548,True
raw_lipi_numeric,M-138,3,5.886104,actual_higher,3.704315,True
raw_lipi_numeric,M-139,5,0,tie,-0.554518,False
raw_lipi_numeric,M-140,7,7.56008,actual_higher,6.222168,True
raw_lipi_numeric,M-142,4,4.60517,actual_higher,2.778195,True
raw_lipi_numeric,M-143,6,6.733402,actual_higher,4.76118,True
raw_lipi_numeric,M-144,6,10.586584,actual_higher,8.670989,True
raw_lipi_numeric,M-145,4,4.094345,actual_higher,2.589576,True
raw_lipi_numeric,M-146,5,7.244228,actual_higher,6.339469,True
raw_lipi_numeric,M-147,6,1.568616,actual_higher,2.824792,True
raw_lipi_numeric,M-148,3,4.094345,actual_higher,1.807701,True
raw_lipi_numeric,M-149,5,8.881836,actual_higher,6.708358,True
raw_lipi_numeric,M-150,2,3.401197,actual_higher,1.802635,True
raw_lipi_numeric,M-151,3,1.386294,actual_higher,0.970406,True
raw_lipi_numeric,M-152,4,9.392662,actual_higher,6.692585,True
raw_lipi_numeric,M-153,3,0.693147,actual_higher,0.429751,True
raw_lipi_numeric,M-154,7,4.248495,actual_higher,3.484548,True
raw_lipi_numeric,M-155,3,4.787492,actual_higher,3.089784,True
raw_lipi_numeric,M-157,7,8.253228,actual_higher,7.42885,True
raw_lipi_numeric,M-158,4,5.455321,actual_higher,3.82734,True
raw_lipi_numeric,M-159,5,4.094345,actual_higher,3.184721,True
raw_lipi_numeric,M-160,6,3.583519,actual_higher,2.290961,True
raw_lipi_numeric,M-163,5,6.615619,actual_higher,5.804156,True
raw_lipi_numeric,M-164,5,8.794825,actual_higher,6.218699,True
raw_lipi_numeric,M-166,6,7.863267,actual_higher,6.289705,True
raw_lipi_numeric,M-170,8,8.006368,actual_higher,6.354767,True
raw_lipi_numeric,M-171,8,5.164786,actual_higher,3.67762,True
raw_lipi_numeric,M-172,6,0,tie,-0.28419,False
raw_lipi_numeric,M-173,5,4.787492,actual_higher,3.489061,True
raw_lipi_numeric,M-174,6,12.214041,actual_higher,10.289531,True
raw_lipi_numeric,M-177,4,2.410799,actual_higher,2.473968,True
raw_lipi_numeric,M-178,2,2.970414,actual_higher,1.188166,True
raw_lipi_numeric,M-179,2,3.951244,actual_higher,2.054647,True
raw_lipi_numeric,M-180,2,4.094345,actual_higher,1.883398,True
raw_lipi_numeric,M-181,5,1.94591,actual_higher,2.014205,True
raw_lipi_numeric,M-183,4,3.73767,actual_higher,2.983834,True
