id,cisi,site,region,type,material,shape,symbol,cult,condition,complete,dir,class,text,token_index_032,prev3_frame,prev2,prev1,y_after_002,next_after_y,y_terminal,frame_kind,strict_complete_closed,text_dedup_key
62.1,C-65,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAF,Good,N,R/L,??,+000-100-240-220-032-002-861+,4,100-240-220,240,220,861,<END>,true,target_240_220_032,false,000 100 240 220 032 002 861
69.1,C-60,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,SP,+740-176-032-002-861+,2,740-176,740,176,861,<END>,true,outside_032,true,740 176 032 002 861
98.1,C-10,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,Y,R/L,SP,+740-231-220-032-002-817+,3,740-231-220,231,220,817,<END>,true,non240_a_220_032,true,740 231 220 032 002 817
125.1,Dlp-3,Desalpur,Gujarat/Kutch,TAG,-,rectangular,None,None,Fair,Y,-,SC,+394-032-002-892-740+,1,394,<START>,394,892,740,false,outside_032,true,394 032 002 892 740
507.1,H-1681,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,-,Poor,N,R/L,??,]000-032-002-820+,1,000,<START>,000,820,<END>,true,outside_032,false,000 032 002 820
1020.1,H-1657,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,LP,+740-405-590-032-900-003-806-235-220-032-002-690-921+,9,806-235-220,235,220,690,921,false,non240_a_220_032,true,740 405 590 032 900 003 806 235 220 032 002 690 921
1078.1,H-18,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,-,Poor,N,R/L,??,]000-220-032-002-820+,2,000-220,000,220,820,<END>,true,non240_a_220_032,false,000 220 032 002 820
1181.1,H-140,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Fine,Y,R/L,IT,+740-384-032-002-817+,2,740-384,740,384,817,<END>,true,outside_032,true,740 384 032 002 817
1434.1,H-444,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:W,SAF,Good,Y,R/L,SP,+241-220-032-002-861+,2,241-220,241,220,861,<END>,true,non240_a_220_032,true,241 220 032 002 861
1485.1,H-507,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,SAN,Poor,N,R/L,??,]000-032-002-820+,1,000,<START>,000,820,<END>,true,outside_032,false,000 032 002 820
1540.1,H-597,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,SAN,Fair,Y,R/L,LP,+740-390-590-070-032-002-861+,4,390-590-070,590,070,861,<END>,true,outside_032,true,740 390 590 070 032 002 861
1540.2,H-597,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,SAN,Fair,Y,R/L,LP,+740-390-590-070-032-002-861+,4,390-590-070,590,070,861,<END>,true,outside_032,true,740 390 590 070 032 002 861
1555.1,H-640,Harappa,Inter-Riverine,SEAL:R,-,cuboid-convex,None,None,Poor,?,R/L,UC,]220-032-002-817+,1,220,<START>,220,817,<END>,true,non240_a_220_032,false,220 032 002 817
1993.1,L-15,Lothal,Gujarat/Kutch,SEAL:S,Clay,square,None,None,Poor,N,-,??,+000-000-000-000/032-832-032-002-415+,6,000-032-832,032,832,415,<END>,true,outside_032,false,000 000 000 000 032 832 032 002 415
2081.1,L-139,Lothal,Gujarat/Kutch,TAG,Clay,-,-,-,Poor,?,R/L,UC,]390-590-032-002-880[,2,390-590,390,590,880,<END>,true,outside_032,false,390 590 032 002 880
2116.1,L-196,Lothal,Gujarat/Kutch,TAG,Clay,-,-,-,Poor,N,R/L,??,]390-590-032-002-000[,2,390-590,390,590,000,<END>,true,outside_032,false,390 590 032 002 000
2118.2,L-198,Lothal,Gujarat/Kutch,TAG,Clay,-,-,-,Poor,N,R/L,??,+740-390-590-032-002-000[,3,740-390-590,390,590,000,<END>,true,outside_032,false,740 390 590 032 002 000
2229.1,M-1737,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,LP,+740-760-072-921-032-002-820+,4,760-072-921,072,921,820,<END>,true,outside_032,true,740 760 072 921 032 002 820
2236.1,M-1677,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,-,Fair,Y,R/L,LC,+520-382-032-002-820-001-440-012+,2,520-382,520,382,820,001,false,outside_032,true,520 382 032 002 820 001 440 012
2313.1,M-1763,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:W,SAN,Fair,Y,R/L,LP,+416-001-565-740-220-032-002-861+,5,565-740-220,740,220,861,<END>,true,non240_a_220_032,true,416 001 565 740 220 032 002 861
2381.1,M-1686,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,SP,+740-904-220-032-002-142+,3,740-904-220,904,220,142,<END>,true,non240_a_220_032,true,740 904 220 032 002 142
2417.1,M-1728,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,LP,+161-055-240-220-032-002-820+,4,055-240-220,240,220,820,<END>,true,target_240_220_032,true,161 055 240 220 032 002 820
2490.1,M-1667,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,Y,R/L,LP,+740-690-435-255-220-032-002-717-820+,5,435-255-220,255,220,717,820,false,non240_a_220_032,true,740 690 435 255 220 032 002 717 820
