"corpus","scope","control","metric","iterations","observed","null_mean","null_p05","null_median","null_p95","null_max","null_ge_observed_share"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","edge_frame_shuffle","masked_top1_accuracy","40","0.367123","0.099384","0.073836","0.09863","0.128904","0.136986","0"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","edge_frame_shuffle","masked_top5_accuracy","40","0.673973","0.503699","0.454658","0.50411","0.545342","0.561644","0"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","edge_frame_shuffle","masked_mrr","40","0.507111","0.283966","0.262017","0.282574","0.303705","0.316412","0"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","global_token_shuffle","masked_top1_accuracy","40","0.367123","0.11226","0.081644","0.115068","0.145205","0.156164","0"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","global_token_shuffle","masked_top5_accuracy","40","0.673973","0.545","0.498356","0.547945","0.589726","0.610959","0"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","global_token_shuffle","masked_mrr","40","0.507111","0.301869","0.271018","0.306492","0.322759","0.339281","0"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","position_slot_shuffle","masked_top1_accuracy","40","0.367123","0.115137","0.084795","0.115068","0.14589","0.161644","0"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","position_slot_shuffle","masked_top5_accuracy","40","0.673973","0.491781","0.446301","0.493151","0.529589","0.561644","0"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","position_slot_shuffle","masked_mrr","40","0.507111","0.292799","0.270308","0.292005","0.312823","0.330538","0"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","row_internal_shuffle","masked_top1_accuracy","40","0.367123","0.453425","0.418767","0.458904","0.476849","0.49589","1"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","row_internal_shuffle","masked_top5_accuracy","40","0.673973","0.728082","0.698493","0.728767","0.759041","0.764384","1"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","row_internal_shuffle","masked_mrr","40","0.507111","0.578659","0.554303","0.583353","0.600756","0.606467","1"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","edge_frame_shuffle","masked_top1_accuracy","40","0.177966","0.065466","0.033898","0.059322","0.110169","0.118644","0"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","edge_frame_shuffle","masked_top5_accuracy","40","0.5","0.283475","0.219915","0.279661","0.347458","0.355932","0"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","edge_frame_shuffle","masked_mrr","40","0.336675","0.190615","0.163908","0.186546","0.225115","0.253635","0"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","global_token_shuffle","masked_top1_accuracy","40","0.177966","0.058051","0.016949","0.059322","0.085169","0.110169","0"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","global_token_shuffle","masked_top5_accuracy","40","0.5","0.211653","0.143644","0.211864","0.272034","0.29661","0"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","global_token_shuffle","masked_mrr","40","0.336675","0.16167","0.124839","0.160425","0.192565","0.211125","0"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","position_slot_shuffle","masked_top1_accuracy","40","0.177966","0.093008","0.059322","0.088983","0.135593","0.144068","0"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","position_slot_shuffle","masked_top5_accuracy","40","0.5","0.335593","0.295763","0.330508","0.415678","0.423729","0"
